"Vcc
References : ['dBm(HB.OUT)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","harmindex
References : ['dBm(HB.OUT)']
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Integer","dBm(HB.OUT)
References : []
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Real"
3.000,0,<invalid>
3.000,1,5.149
3.000,2,-4.554
3.000,3,-13.976
3.000,4,-12.599
3.000,5,-31.052
3.000,6,-28.062
3.000,7,-42.882
3.100,0,<invalid>
3.100,1,5.528
3.100,2,-4.546
3.100,3,-12.223
3.100,4,-11.963
3.100,5,-31.874
3.100,6,-25.591
3.100,7,-43.758
3.200,0,<invalid>
3.200,1,5.885
3.200,2,-4.520
3.200,3,-10.722
3.200,4,-11.308
3.200,5,-29.689
3.200,6,-23.354
3.200,7,-36.996
3.300,0,<invalid>
3.300,1,6.223
3.300,2,-4.475
3.300,3,-9.433
3.300,4,-10.660
3.300,5,-26.825
3.300,6,-21.483
3.300,7,-32.976
3.400,0,<invalid>
3.400,1,6.543
3.400,2,-4.418
3.400,3,-8.326
3.400,4,-10.048
3.400,5,-24.449
3.400,6,-19.949
3.400,7,-30.442
3.500,0,<invalid>
3.500,1,6.838
3.500,2,-4.422
3.500,3,-7.448
3.500,4,-9.596
3.500,5,-22.962
3.500,6,-18.871
3.500,7,-29.658
3.600,0,<invalid>
3.600,1,7.100
3.600,2,-4.544
3.600,3,-6.818
3.600,4,-9.397
3.600,5,-22.204
3.600,6,-18.287
3.600,7,-31.086
