"Vcc
References : ['ts(HB.OUT)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.OUT)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.OUT)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.000,0.0000 sec,-377.9 mV
3.000,3.002 psec,-416.1 mV
3.000,6.005 psec,-449.9 mV
3.000,9.007 psec,-479.4 mV
3.000,12.01 psec,-504.8 mV
3.000,15.01 psec,-526.2 mV
3.000,18.01 psec,-544.1 mV
3.000,21.02 psec,-558.8 mV
3.000,24.02 psec,-570.6 mV
3.000,27.02 psec,-580.1 mV
3.000,30.02 psec,-587.7 mV
3.000,33.03 psec,-594.0 mV
3.000,36.03 psec,-599.5 mV
3.000,39.03 psec,-604.8 mV
3.000,42.03 psec,-610.5 mV
3.000,45.03 psec,-616.9 mV
3.000,48.04 psec,-624.3 mV
3.000,51.04 psec,-632.9 mV
3.000,54.04 psec,-642.7 mV
3.000,57.04 psec,-653.4 mV
3.000,60.05 psec,-664.5 mV
3.000,63.05 psec,-675.3 mV
3.000,66.05 psec,-685.0 mV
3.000,69.05 psec,-692.5 mV
3.000,72.06 psec,-696.6 mV
3.000,75.06 psec,-696.3 mV
3.000,78.06 psec,-690.4 mV
3.000,81.06 psec,-677.8 mV
3.000,84.06 psec,-657.8 mV
3.000,87.07 psec,-629.7 mV
3.000,90.07 psec,-593.4 mV
3.000,93.07 psec,-548.8 mV
3.000,96.07 psec,-496.3 mV
3.000,99.08 psec,-436.8 mV
3.000,102.1 psec,-371.3 mV
3.000,105.1 psec,-301.3 mV
3.000,108.1 psec,-228.4 mV
3.000,111.1 psec,-154.3 mV
3.000,114.1 psec,-80.83 mV
3.000,117.1 psec,-9.827 mV
3.000,120.1 psec,57.08 mV
3.000,123.1 psec,118.5 mV
3.000,126.1 psec,173.2 mV
3.000,129.1 psec,220.5 mV
