"freq
References : ['dB(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,0.042
1.000 GHz,0.043
1.001 GHz,0.043
1.001 GHz,0.043
1.001 GHz,0.044
1.001 GHz,0.044
1.002 GHz,0.045
1.002 GHz,0.045
1.002 GHz,0.046
1.003 GHz,0.046
1.003 GHz,0.046
1.003 GHz,0.047
1.003 GHz,0.047
1.004 GHz,0.048
1.004 GHz,0.048
1.004 GHz,0.048
1.004 GHz,0.049
1.005 GHz,0.049
1.005 GHz,0.050
1.005 GHz,0.050
1.006 GHz,0.050
1.006 GHz,0.051
1.006 GHz,0.051
1.006 GHz,0.052
1.007 GHz,0.052
1.007 GHz,0.053
1.007 GHz,0.053
1.008 GHz,0.053
1.008 GHz,0.054
1.008 GHz,0.054
1.008 GHz,0.055
1.009 GHz,0.055
1.009 GHz,0.055
1.009 GHz,0.056
1.010 GHz,0.056
1.010 GHz,0.057
1.010 GHz,0.057
1.010 GHz,0.058
1.011 GHz,0.059
1.011 GHz,0.060
1.011 GHz,0.061
1.012 GHz,0.062
1.012 GHz,0.062
1.012 GHz,0.063
1.012 GHz,0.064
1.013 GHz,0.065
1.013 GHz,0.066
1.013 GHz,0.067
1.014 GHz,0.067
1.014 GHz,0.068
1.014 GHz,0.069
1.014 GHz,0.070
1.015 GHz,0.071
1.015 GHz,0.072
1.015 GHz,0.072
1.015 GHz,0.073
1.016 GHz,0.074
1.016 GHz,0.075
1.016 GHz,0.076
1.017 GHz,0.077
1.017 GHz,0.078
1.017 GHz,0.078
1.017 GHz,0.079
1.018 GHz,0.080
1.018 GHz,0.081
1.018 GHz,0.082
1.019 GHz,0.083
1.019 GHz,0.083
1.019 GHz,0.084
1.019 GHz,0.085
1.020 GHz,0.086
1.020 GHz,0.087
1.020 GHz,0.088
1.021 GHz,0.088
1.021 GHz,0.089
1.021 GHz,0.090
1.021 GHz,0.091
1.022 GHz,0.091
1.022 GHz,0.092
1.022 GHz,0.093
1.022 GHz,0.094
1.023 GHz,0.094
1.023 GHz,0.095
1.023 GHz,0.096
1.024 GHz,0.097
1.024 GHz,0.098
1.024 GHz,0.098
1.024 GHz,0.099
1.025 GHz,0.100
1.025 GHz,0.101
1.025 GHz,0.101
1.026 GHz,0.102
1.026 GHz,0.103
1.026 GHz,0.104
1.026 GHz,0.104
1.027 GHz,0.105
1.027 GHz,0.106
1.027 GHz,0.107
1.028 GHz,0.108
1.028 GHz,0.108
1.028 GHz,0.109
1.028 GHz,0.110
1.029 GHz,0.111
1.029 GHz,0.111
1.029 GHz,0.112
1.030 GHz,0.113
1.030 GHz,0.114
1.030 GHz,0.115
1.030 GHz,0.115
1.031 GHz,0.116
1.031 GHz,0.117
1.031 GHz,0.118
1.032 GHz,0.119
1.032 GHz,0.120
1.032 GHz,0.121
1.032 GHz,0.121
1.033 GHz,0.122
1.033 GHz,0.123
1.033 GHz,0.124
1.033 GHz,0.125
1.034 GHz,0.126
1.034 GHz,0.127
1.034 GHz,0.128
1.035 GHz,0.128
1.035 GHz,0.129
1.035 GHz,0.130
1.035 GHz,0.131
1.036 GHz,0.132
1.036 GHz,0.133
1.036 GHz,0.134
1.037 GHz,0.135
1.037 GHz,0.135
1.037 GHz,0.136
1.037 GHz,0.137
1.038 GHz,0.138
1.038 GHz,0.139
1.038 GHz,0.140
1.039 GHz,0.141
1.039 GHz,0.142
1.039 GHz,0.143
1.039 GHz,0.143
1.040 GHz,0.144
1.040 GHz,0.145
1.040 GHz,0.146
1.040 GHz,0.146
1.041 GHz,0.146
1.041 GHz,0.146
1.041 GHz,0.146
1.042 GHz,0.147
1.042 GHz,0.147
1.042 GHz,0.147
1.042 GHz,0.147
1.043 GHz,0.148
1.043 GHz,0.148
1.043 GHz,0.148
1.044 GHz,0.148
1.044 GHz,0.149
1.044 GHz,0.149
1.044 GHz,0.149
1.045 GHz,0.149
1.045 GHz,0.150
1.045 GHz,0.150
1.046 GHz,0.150
1.046 GHz,0.150
1.046 GHz,0.151
1.046 GHz,0.151
1.047 GHz,0.151
1.047 GHz,0.151
1.047 GHz,0.152
1.048 GHz,0.152
1.048 GHz,0.152
1.048 GHz,0.152
1.048 GHz,0.153
1.049 GHz,0.153
1.049 GHz,0.153
1.049 GHz,0.153
1.050 GHz,0.154
1.050 GHz,0.154
1.050 GHz,0.154
1.050 GHz,0.155
1.051 GHz,0.156
1.051 GHz,0.157
1.051 GHz,0.158
1.051 GHz,0.159
