"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,-49.462
1.000 GHz,-49.474
1.001 GHz,-49.486
1.001 GHz,-49.498
1.001 GHz,-49.510
1.001 GHz,-49.522
1.002 GHz,-49.534
1.002 GHz,-49.545
1.002 GHz,-49.557
1.003 GHz,-49.569
1.003 GHz,-49.581
1.003 GHz,-49.593
1.003 GHz,-49.605
1.004 GHz,-49.617
1.004 GHz,-49.629
1.004 GHz,-49.641
1.004 GHz,-49.652
1.005 GHz,-49.664
1.005 GHz,-49.676
1.005 GHz,-49.688
1.006 GHz,-49.700
1.006 GHz,-49.712
1.006 GHz,-49.724
1.006 GHz,-49.736
1.007 GHz,-49.748
1.007 GHz,-49.759
1.007 GHz,-49.771
1.008 GHz,-49.783
1.008 GHz,-49.795
1.008 GHz,-49.807
1.008 GHz,-49.819
1.009 GHz,-49.831
1.009 GHz,-49.843
1.009 GHz,-49.854
1.010 GHz,-49.866
1.010 GHz,-49.878
1.010 GHz,-49.891
1.010 GHz,-49.906
1.011 GHz,-49.920
1.011 GHz,-49.935
1.011 GHz,-49.949
1.012 GHz,-49.963
1.012 GHz,-49.978
1.012 GHz,-49.992
1.012 GHz,-50.007
1.013 GHz,-50.021
1.013 GHz,-50.035
1.013 GHz,-50.050
1.014 GHz,-50.064
1.014 GHz,-50.079
1.014 GHz,-50.093
1.014 GHz,-50.108
1.015 GHz,-50.122
1.015 GHz,-50.136
1.015 GHz,-50.151
1.015 GHz,-50.165
1.016 GHz,-50.180
1.016 GHz,-50.194
1.016 GHz,-50.209
1.017 GHz,-50.223
1.017 GHz,-50.237
1.017 GHz,-50.252
1.017 GHz,-50.266
1.018 GHz,-50.281
1.018 GHz,-50.295
1.018 GHz,-50.309
1.019 GHz,-50.324
1.019 GHz,-50.338
1.019 GHz,-50.353
1.019 GHz,-50.367
1.020 GHz,-50.381
1.020 GHz,-50.396
1.020 GHz,-50.409
1.021 GHz,-50.421
1.021 GHz,-50.434
1.021 GHz,-50.447
1.021 GHz,-50.459
1.022 GHz,-50.472
1.022 GHz,-50.485
1.022 GHz,-50.497
1.022 GHz,-50.510
1.023 GHz,-50.523
1.023 GHz,-50.535
1.023 GHz,-50.548
1.024 GHz,-50.561
1.024 GHz,-50.573
1.024 GHz,-50.586
1.024 GHz,-50.598
1.025 GHz,-50.611
1.025 GHz,-50.624
1.025 GHz,-50.636
1.026 GHz,-50.649
1.026 GHz,-50.662
1.026 GHz,-50.674
1.026 GHz,-50.687
1.027 GHz,-50.700
1.027 GHz,-50.712
1.027 GHz,-50.725
1.028 GHz,-50.737
1.028 GHz,-50.750
1.028 GHz,-50.763
1.028 GHz,-50.775
1.029 GHz,-50.788
1.029 GHz,-50.801
1.029 GHz,-50.813
1.030 GHz,-50.826
1.030 GHz,-50.839
1.030 GHz,-50.851
1.030 GHz,-50.862
1.031 GHz,-50.873
1.031 GHz,-50.885
1.031 GHz,-50.896
1.032 GHz,-50.907
1.032 GHz,-50.919
1.032 GHz,-50.930
1.032 GHz,-50.941
1.033 GHz,-50.953
1.033 GHz,-50.964
1.033 GHz,-50.975
1.033 GHz,-50.987
1.034 GHz,-50.998
1.034 GHz,-51.009
1.034 GHz,-51.021
1.035 GHz,-51.032
1.035 GHz,-51.043
1.035 GHz,-51.055
1.035 GHz,-51.066
1.036 GHz,-51.077
1.036 GHz,-51.089
1.036 GHz,-51.100
1.037 GHz,-51.111
1.037 GHz,-51.123
1.037 GHz,-51.134
1.037 GHz,-51.145
1.038 GHz,-51.157
1.038 GHz,-51.168
1.038 GHz,-51.179
1.039 GHz,-51.191
1.039 GHz,-51.202
1.039 GHz,-51.213
1.039 GHz,-51.225
1.040 GHz,-51.236
1.040 GHz,-51.247
1.040 GHz,-51.260
1.040 GHz,-51.272
1.041 GHz,-51.285
1.041 GHz,-51.297
1.041 GHz,-51.310
1.042 GHz,-51.322
1.042 GHz,-51.335
1.042 GHz,-51.347
1.042 GHz,-51.360
1.043 GHz,-51.372
1.043 GHz,-51.385
1.043 GHz,-51.397
1.044 GHz,-51.410
1.044 GHz,-51.422
1.044 GHz,-51.435
1.044 GHz,-51.447
1.045 GHz,-51.460
1.045 GHz,-51.472
1.045 GHz,-51.485
1.046 GHz,-51.497
1.046 GHz,-51.510
1.046 GHz,-51.522
1.046 GHz,-51.535
1.047 GHz,-51.547
1.047 GHz,-51.560
1.047 GHz,-51.572
1.048 GHz,-51.585
1.048 GHz,-51.597
1.048 GHz,-51.610
1.048 GHz,-51.622
1.049 GHz,-51.634
1.049 GHz,-51.647
1.049 GHz,-51.659
1.050 GHz,-51.672
1.050 GHz,-51.684
1.050 GHz,-51.698
1.050 GHz,-51.713
1.051 GHz,-51.728
1.051 GHz,-51.743
1.051 GHz,-51.758
1.051 GHz,-51.773
1.052 GHz,-51.788
1.052 GHz,-51.804
1.052 GHz,-51.819
1.053 GHz,-51.834
1.053 GHz,-51.849
1.053 GHz,-51.864
1.053 GHz,-51.879
1.054 GHz,-51.895
1.054 GHz,-51.910
1.054 GHz,-51.925
1.055 GHz,-51.940
1.055 GHz,-51.955
1.055 GHz,-51.970
1.055 GHz,-51.986
1.056 GHz,-52.001
1.056 GHz,-52.016
1.056 GHz,-52.031
1.057 GHz,-52.046
1.057 GHz,-52.061
1.057 GHz,-52.077
1.057 GHz,-52.092
1.058 GHz,-52.107
1.058 GHz,-52.122
1.058 GHz,-52.137
1.058 GHz,-52.152
1.059 GHz,-52.167
1.059 GHz,-52.183
1.059 GHz,-52.198
1.060 GHz,-52.213
1.060 GHz,-52.228
1.060 GHz,-52.240
1.060 GHz,-52.251
1.061 GHz,-52.262
1.061 GHz,-52.273
1.061 GHz,-52.284
1.062 GHz,-52.295
1.062 GHz,-52.306
1.062 GHz,-52.317
1.062 GHz,-52.328
1.063 GHz,-52.339
1.063 GHz,-52.350
1.063 GHz,-52.361
1.064 GHz,-52.372
1.064 GHz,-52.383
1.064 GHz,-52.393
1.064 GHz,-52.404
1.065 GHz,-52.415
1.065 GHz,-52.426
