"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.850 GHz,<invalid>
2.850 GHz,-18.129
2.850 GHz,-18.062
2.850 GHz,-6.021
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,-24.346
2.850 GHz,-19.031
2.850 GHz,-24.082
2.850 GHz,-12.041
2.850 GHz,<invalid>
2.850 GHz,-13.473
2.850 GHz,-6.021
2.850 GHz,-6.021
2.850 GHz,-6.021
2.850 GHz,-24.150
2.850 GHz,<invalid>
2.850 GHz,-24.150
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,3.522
2.850 GHz,3.522
2.850 GHz,<invalid>
2.850 GHz,-12.304
2.850 GHz,3.522
2.850 GHz,-14.607
2.850 GHz,-12.041
2.850 GHz,<invalid>
2.850 GHz,-6.021
2.850 GHz,<invalid>
2.850 GHz,-24.150
2.850 GHz,-24.150
2.850 GHz,<invalid>
2.850 GHz,-24.082
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,-12.041
2.850 GHz,-6.021
2.850 GHz,<invalid>
2.850 GHz,-18.062
2.850 GHz,<invalid>
2.850 GHz,-18.633
2.850 GHz,-6.021
2.850 GHz,-24.150
2.850 GHz,6.021
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,-24.082
2.850 GHz,-18.062
2.850 GHz,0.000
2.850 GHz,-24.346
2.850 GHz,-24.150
2.850 GHz,-14.607
2.850 GHz,-24.150
2.850 GHz,-15.972
2.850 GHz,-12.041
2.850 GHz,-18.062
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,-24.150
2.850 GHz,-12.041
2.850 GHz,-6.021
2.850 GHz,-24.150
2.850 GHz,-20.824
2.851 GHz,-19.031
2.851 GHz,<invalid>
2.851 GHz,-18.062
2.851 GHz,-24.099
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,-24.346
2.851 GHz,-6.021
2.851 GHz,-6.021
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-24.150
2.851 GHz,-30.253
2.851 GHz,-24.654
2.851 GHz,<invalid>
2.851 GHz,-24.099
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-25.051
2.851 GHz,-24.346
2.851 GHz,-6.021
2.851 GHz,-12.041
2.851 GHz,<invalid>
2.851 GHz,-6.021
2.851 GHz,-6.021
2.851 GHz,0.000
2.851 GHz,-6.021
2.851 GHz,-24.346
2.851 GHz,-14.607
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-15.111
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-12.041
2.851 GHz,<invalid>
2.851 GHz,-18.633
2.851 GHz,-24.099
2.851 GHz,<invalid>
2.851 GHz,-12.041
2.851 GHz,0.000
2.851 GHz,-2.499
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,-14.607
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-14.607
2.851 GHz,<invalid>
2.851 GHz,-14.607
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-24.082
2.851 GHz,-24.487
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,3.522
2.851 GHz,<invalid>
2.851 GHz,-6.021
2.851 GHz,<invalid>
2.851 GHz,-6.021
2.851 GHz,-24.150
2.851 GHz,-24.150
2.851 GHz,-2.499
2.851 GHz,-30.170
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,-6.021
2.851 GHz,-24.346
2.851 GHz,-24.082
2.851 GHz,-6.021
2.851 GHz,-18.062
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-6.021
2.851 GHz,0.000
2.851 GHz,-12.041
2.851 GHz,-24.150
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-24.346
2.851 GHz,-12.041
2.851 GHz,-12.041
2.851 GHz,3.522
2.851 GHz,0.000
2.851 GHz,-24.082
2.851 GHz,<invalid>
2.851 GHz,-12.304
2.851 GHz,0.000
2.851 GHz,-19.031
2.851 GHz,-6.021
2.851 GHz,-15.111
2.851 GHz,-6.021
2.851 GHz,-12.041
2.851 GHz,-24.346
2.851 GHz,0.000
2.851 GHz,-24.150
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-6.021
2.851 GHz,-6.021
2.851 GHz,<invalid>
2.851 GHz,-18.129
2.851 GHz,0.000
2.851 GHz,-12.041
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-2.499
2.851 GHz,-24.082
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,-24.346
2.852 GHz,-6.021
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-6.021
2.852 GHz,<invalid>
2.852 GHz,-24.150
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,0.000
2.852 GHz,-6.021
2.852 GHz,-24.150
2.852 GHz,-30.366
2.852 GHz,<invalid>
2.852 GHz,-24.654
2.852 GHz,-24.082
2.852 GHz,-18.129
2.852 GHz,<invalid>
2.852 GHz,6.021
2.852 GHz,-12.041
2.852 GHz,-24.654
2.852 GHz,-18.633
2.852 GHz,-24.346
2.852 GHz,-2.499
2.852 GHz,-13.473
2.852 GHz,-24.346
2.852 GHz,<invalid>
2.852 GHz,-18.129
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-6.021
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-18.062
2.852 GHz,<invalid>
2.852 GHz,-18.062
2.852 GHz,<invalid>
2.852 GHz,-14.540
2.852 GHz,-12.041
2.852 GHz,-6.021
2.852 GHz,0.000
2.852 GHz,-6.021
2.852 GHz,-13.010
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-18.062
2.852 GHz,-12.041
2.852 GHz,-6.021
2.852 GHz,-24.150
2.852 GHz,-12.109
2.852 GHz,<invalid>
2.852 GHz,6.021
2.852 GHz,-6.021
2.852 GHz,-24.654
2.852 GHz,-6.021
2.852 GHz,<invalid>
2.852 GHz,-24.082
2.852 GHz,-12.041
2.852 GHz,-24.150
2.852 GHz,-18.129
2.852 GHz,-6.021
2.852 GHz,-6.021
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-14.803
2.852 GHz,-18.062
2.852 GHz,<invalid>
2.852 GHz,<invalid>
2.852 GHz,-12.041
2.852 GHz,-2.499
2.852 GHz,-14.607
2.852 GHz,-6.021
2.852 GHz,-24.150
2.852 GHz,<invalid>
2.852 GHz,-24.082
2.852 GHz,<invalid>
2.852 GHz,-2.499
2.852 GHz,-15.111
2.852 GHz,-18.062
2.852 GHz,-12.041
2.852 GHz,3.522
