"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.850 GHz,0.000
2.850 GHz,-82.875
2.850 GHz,-90.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-75.964
2.850 GHz,-63.435
2.850 GHz,90.000
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,-57.995
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-82.875
2.850 GHz,<invalid>
2.850 GHz,97.125
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,-75.964
2.850 GHz,0.000
2.850 GHz,97.125
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,180.000
2.850 GHz,<invalid>
2.850 GHz,97.125
2.850 GHz,-82.875
2.850 GHz,0.000
2.850 GHz,90.000
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-90.000
2.850 GHz,0.000
2.850 GHz,-69.444
2.850 GHz,0.000
2.850 GHz,-97.125
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-90.000
2.850 GHz,-90.000
2.850 GHz,0.000
2.850 GHz,-75.964
2.850 GHz,97.125
2.850 GHz,82.875
2.850 GHz,-97.125
2.850 GHz,-57.995
2.850 GHz,90.000
2.850 GHz,90.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-82.875
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-97.125
2.850 GHz,-75.964
2.851 GHz,-63.435
2.851 GHz,<invalid>
2.851 GHz,90.000
2.851 GHz,93.576
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,-75.964
2.851 GHz,180.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,-82.875
2.851 GHz,-79.380
2.851 GHz,-69.444
2.851 GHz,0.000
2.851 GHz,93.576
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,116.565
2.851 GHz,75.964
2.851 GHz,180.000
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,180.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,-75.964
2.851 GHz,82.875
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,-69.444
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,-69.444
2.851 GHz,93.576
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,180.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,97.125
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,97.125
2.851 GHz,<invalid>
2.851 GHz,82.875
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,90.000
2.851 GHz,-72.646
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,<invalid>
2.851 GHz,180.000
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,-82.875
2.851 GHz,82.875
2.851 GHz,0.000
2.851 GHz,97.125
2.851 GHz,<invalid>
2.851 GHz,<invalid>
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,180.000
2.851 GHz,-75.964
2.851 GHz,-90.000
2.851 GHz,0.000
2.851 GHz,90.000
2.851 GHz,<invalid>
2.851 GHz,<invalid>
