"indep(__d, 1)
References : ['plot_vs(pnmx, noisefreq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(pnmx, noisefreq)
References : []
Dependency : []
Num. Points : [601]
Matrix Size : scalar
Type : Real"
1.000  Hz,29.484
1.023  Hz,29.183
1.047  Hz,28.883
1.072  Hz,28.583
1.096  Hz,28.282
1.122  Hz,27.982
1.148  Hz,27.682
1.175  Hz,27.382
1.202  Hz,27.081
1.230  Hz,26.781
1.259  Hz,26.481
1.288  Hz,26.180
1.318  Hz,25.880
1.349  Hz,25.580
1.380  Hz,25.280
1.413  Hz,24.979
1.445  Hz,24.679
1.479  Hz,24.379
1.514  Hz,24.079
1.549  Hz,23.778
1.585  Hz,23.478
1.622  Hz,23.178
1.660  Hz,22.878
1.698  Hz,22.578
1.738  Hz,22.277
1.778  Hz,21.977
1.820  Hz,21.677
1.862  Hz,21.377
1.905  Hz,21.077
1.950  Hz,20.776
1.995  Hz,20.476
2.042  Hz,20.176
2.089  Hz,19.876
2.138  Hz,19.576
2.188  Hz,19.276
2.239  Hz,18.975
2.291  Hz,18.675
2.344  Hz,18.375
2.399  Hz,18.075
2.455  Hz,17.775
2.512  Hz,17.475
2.570  Hz,17.175
2.630  Hz,16.874
2.692  Hz,16.574
2.754  Hz,16.274
2.818  Hz,15.974
2.884  Hz,15.674
2.951  Hz,15.374
3.020  Hz,15.074
3.090  Hz,14.774
3.162  Hz,14.474
3.236  Hz,14.173
3.311  Hz,13.873
3.388  Hz,13.573
3.467  Hz,13.273
3.548  Hz,12.973
3.631  Hz,12.673
3.715  Hz,12.373
3.802  Hz,12.073
3.890  Hz,11.773
3.981  Hz,11.473
4.074  Hz,11.173
4.169  Hz,10.873
4.266  Hz,10.572
4.365  Hz,10.272
4.467  Hz,9.972
4.571  Hz,9.672
4.677  Hz,9.372
4.786  Hz,9.072
4.898  Hz,8.772
5.012  Hz,8.472
5.129  Hz,8.172
5.248  Hz,7.872
5.370  Hz,7.572
5.495  Hz,7.272
5.623  Hz,6.972
5.754  Hz,6.672
5.888  Hz,6.372
6.026  Hz,6.072
6.166  Hz,5.772
6.310  Hz,5.472
6.457  Hz,5.172
6.607  Hz,4.872
6.761  Hz,4.572
6.918  Hz,4.271
7.079  Hz,3.971
7.244  Hz,3.671
7.413  Hz,3.371
7.586  Hz,3.071
7.762  Hz,2.771
7.943  Hz,2.471
8.128  Hz,2.171
8.318  Hz,1.871
8.511  Hz,1.571
8.710  Hz,1.271
8.913  Hz,0.971
9.120  Hz,0.671
9.333  Hz,0.371
9.550  Hz,0.071
9.772  Hz,-0.229
10.00  Hz,-0.529
10.23  Hz,-0.829
10.47  Hz,-1.129
10.72  Hz,-1.429
10.96  Hz,-1.729
11.22  Hz,-2.029
11.48  Hz,-2.329
11.75  Hz,-2.629
12.02  Hz,-2.929
12.30  Hz,-3.229
12.59  Hz,-3.529
12.88  Hz,-3.829
13.18  Hz,-4.129
13.49  Hz,-4.429
13.80  Hz,-4.729
14.13  Hz,-5.029
14.45  Hz,-5.329
14.79  Hz,-5.629
15.14  Hz,-5.928
15.49  Hz,-6.228
15.85  Hz,-6.528
16.22  Hz,-6.828
16.60  Hz,-7.128
16.98  Hz,-7.428
17.38  Hz,-7.728
17.78  Hz,-8.028
18.20  Hz,-8.328
18.62  Hz,-8.628
19.05  Hz,-8.928
19.50  Hz,-9.228
19.95  Hz,-9.528
20.42  Hz,-9.828
20.89  Hz,-10.128
21.38  Hz,-10.428
21.88  Hz,-10.728
22.39  Hz,-11.028
22.91  Hz,-11.328
23.44  Hz,-11.628
23.99  Hz,-11.928
24.55  Hz,-12.227
25.12  Hz,-12.527
25.70  Hz,-12.827
26.30  Hz,-13.127
26.92  Hz,-13.427
27.54  Hz,-13.727
28.18  Hz,-14.027
28.84  Hz,-14.327
29.51  Hz,-14.627
30.20  Hz,-14.927
30.90  Hz,-15.227
31.62  Hz,-15.527
32.36  Hz,-15.826
33.11  Hz,-16.126
33.88  Hz,-16.426
34.67  Hz,-16.726
35.48  Hz,-17.026
36.31  Hz,-17.326
37.15  Hz,-17.626
38.02  Hz,-17.926
38.90  Hz,-18.226
39.81  Hz,-18.525
40.74  Hz,-18.825
41.69  Hz,-19.125
42.66  Hz,-19.425
43.65  Hz,-19.725
44.67  Hz,-20.025
45.71  Hz,-20.325
46.77  Hz,-20.624
47.86  Hz,-20.924
48.98  Hz,-21.224
50.12  Hz,-21.524
51.29  Hz,-21.824
52.48  Hz,-22.124
53.70  Hz,-22.423
54.95  Hz,-22.723
56.23  Hz,-23.023
57.54  Hz,-23.323
58.88  Hz,-23.623
60.26  Hz,-23.922
61.66  Hz,-24.222
63.10  Hz,-24.522
64.57  Hz,-24.822
66.07  Hz,-25.122
67.61  Hz,-25.421
69.18  Hz,-25.721
70.79  Hz,-26.021
72.44  Hz,-26.321
74.13  Hz,-26.620
75.86  Hz,-26.920
77.62  Hz,-27.220
79.43  Hz,-27.520
81.28  Hz,-27.819
83.18  Hz,-28.119
85.11  Hz,-28.419
87.10  Hz,-28.718
89.13  Hz,-29.018
91.20  Hz,-29.318
93.33  Hz,-29.618
95.50  Hz,-29.917
97.72  Hz,-30.217
100.0  Hz,-30.517
102.3  Hz,-30.816
104.7  Hz,-31.116
107.2  Hz,-31.416
109.6  Hz,-31.715
112.2  Hz,-32.015
114.8  Hz,-32.314
117.5  Hz,-32.614
120.2  Hz,-32.914
123.0  Hz,-33.213
125.9  Hz,-33.513
128.8  Hz,-33.812
131.8  Hz,-34.112
134.9  Hz,-34.411
138.0  Hz,-34.711
141.3  Hz,-35.010
144.5  Hz,-35.310
147.9  Hz,-35.609
151.4  Hz,-35.909
154.9  Hz,-36.208
158.5  Hz,-36.508
162.2  Hz,-36.807
166.0  Hz,-37.107
169.8  Hz,-37.406
173.8  Hz,-37.706
177.8  Hz,-38.005
182.0  Hz,-38.304
186.2  Hz,-38.604
190.5  Hz,-38.903
195.0  Hz,-39.202
199.5  Hz,-39.502
204.2  Hz,-39.801
208.9  Hz,-40.100
213.8  Hz,-40.400
218.8  Hz,-40.699
223.9  Hz,-40.998
229.1  Hz,-41.297
234.4  Hz,-41.596
239.9  Hz,-41.896
245.5  Hz,-42.195
251.2  Hz,-42.494
257.0  Hz,-42.793
263.0  Hz,-43.092
269.2  Hz,-43.391
275.4  Hz,-43.690
281.8  Hz,-43.989
288.4  Hz,-44.288
295.1  Hz,-44.587
302.0  Hz,-44.886
309.0  Hz,-45.185
316.2  Hz,-45.484
323.6  Hz,-45.783
331.1  Hz,-46.082
338.8  Hz,-46.381
346.7  Hz,-46.680
354.8  Hz,-46.979
363.1  Hz,-47.277
371.5  Hz,-47.576
380.2  Hz,-47.875
389.0  Hz,-48.173
398.1  Hz,-48.472
407.4  Hz,-48.771
416.9  Hz,-49.069
426.6  Hz,-49.368
436.5  Hz,-49.666
446.7  Hz,-49.965
457.1  Hz,-50.263
467.7  Hz,-50.562
478.6  Hz,-50.860
489.8  Hz,-51.159
501.2  Hz,-51.457
512.9  Hz,-51.755
524.8  Hz,-52.053
537.0  Hz,-52.352
549.5  Hz,-52.650
562.3  Hz,-52.948
575.4  Hz,-53.246
588.8  Hz,-53.544
602.6  Hz,-53.842
616.6  Hz,-54.140
631.0  Hz,-54.438
645.7  Hz,-54.735
660.7  Hz,-55.033
676.1  Hz,-55.331
691.8  Hz,-55.629
707.9  Hz,-55.926
724.4  Hz,-56.224
741.3  Hz,-56.521
758.6  Hz,-56.819
776.2  Hz,-57.116
794.3  Hz,-57.414
812.8  Hz,-57.711
831.8  Hz,-58.008
851.1  Hz,-58.305
871.0  Hz,-58.602
891.3  Hz,-58.899
912.0  Hz,-59.196
933.3  Hz,-59.493
955.0  Hz,-59.790
977.2  Hz,-60.087
1.000 kHz,-60.384
1.023 kHz,-60.680
1.047 kHz,-60.977
1.072 kHz,-61.273
1.096 kHz,-61.570
1.122 kHz,-61.866
1.148 kHz,-62.162
1.175 kHz,-62.458
1.202 kHz,-62.754
1.230 kHz,-63.050
1.259 kHz,-63.346
1.288 kHz,-63.642
1.318 kHz,-63.938
1.349 kHz,-64.233
1.380 kHz,-64.529
1.413 kHz,-64.824
1.445 kHz,-65.119
1.479 kHz,-65.414
1.514 kHz,-65.709
1.549 kHz,-66.004
1.585 kHz,-66.299
1.622 kHz,-66.594
1.660 kHz,-66.889
1.698 kHz,-67.183
1.738 kHz,-67.478
1.778 kHz,-67.772
1.820 kHz,-68.066
1.862 kHz,-68.360
1.905 kHz,-68.654
1.950 kHz,-68.948
1.995 kHz,-69.241
2.042 kHz,-69.535
2.089 kHz,-69.828
2.138 kHz,-70.121
2.188 kHz,-70.414
2.239 kHz,-70.707
2.291 kHz,-71.000
2.344 kHz,-71.292
2.399 kHz,-71.585
2.455 kHz,-71.877
2.512 kHz,-72.169
2.570 kHz,-72.461
2.630 kHz,-72.753
2.692 kHz,-73.044
2.754 kHz,-73.336
2.818 kHz,-73.627
2.884 kHz,-73.918
2.951 kHz,-74.209
3.020 kHz,-74.500
3.090 kHz,-74.790
3.162 kHz,-75.080
3.236 kHz,-75.370
3.311 kHz,-75.660
3.388 kHz,-75.950
3.467 kHz,-76.239
3.548 kHz,-76.528
3.631 kHz,-76.817
3.715 kHz,-77.106
3.802 kHz,-77.395
3.890 kHz,-77.683
3.981 kHz,-77.971
4.074 kHz,-78.259
4.169 kHz,-78.546
4.266 kHz,-78.834
4.365 kHz,-79.121
4.467 kHz,-79.407
4.571 kHz,-79.694
4.677 kHz,-79.980
4.786 kHz,-80.266
4.898 kHz,-80.552
5.012 kHz,-80.837
5.129 kHz,-81.122
5.248 kHz,-81.407
5.370 kHz,-81.692
5.495 kHz,-81.976
5.623 kHz,-82.260
5.754 kHz,-82.544
5.888 kHz,-82.827
6.026 kHz,-83.110
6.166 kHz,-83.393
6.310 kHz,-83.675
6.457 kHz,-83.957
6.607 kHz,-84.239
6.761 kHz,-84.520
6.918 kHz,-84.801
7.079 kHz,-85.082
7.244 kHz,-85.362
7.413 kHz,-85.642
7.586 kHz,-85.921
7.762 kHz,-86.201
7.943 kHz,-86.479
8.128 kHz,-86.758
8.318 kHz,-87.036
8.511 kHz,-87.314
8.710 kHz,-87.591
8.913 kHz,-87.868
9.120 kHz,-88.144
9.333 kHz,-88.420
9.550 kHz,-88.696
9.772 kHz,-88.971
10.00 kHz,-89.246
10.23 kHz,-89.520
10.47 kHz,-89.794
10.72 kHz,-90.068
10.96 kHz,-90.341
11.22 kHz,-90.613
11.48 kHz,-90.885
11.75 kHz,-91.157
12.02 kHz,-91.428
12.30 kHz,-91.699
12.59 kHz,-91.970
12.88 kHz,-92.239
13.18 kHz,-92.509
13.49 kHz,-92.778
13.80 kHz,-93.046
14.13 kHz,-93.314
14.45 kHz,-93.582
14.79 kHz,-93.849
15.14 kHz,-94.115
15.49 kHz,-94.381
15.85 kHz,-94.646
16.22 kHz,-94.911
16.60 kHz,-95.176
16.98 kHz,-95.440
17.38 kHz,-95.703
17.78 kHz,-95.966
18.20 kHz,-96.229
18.62 kHz,-96.491
19.05 kHz,-96.752
19.50 kHz,-97.013
19.95 kHz,-97.273
20.42 kHz,-97.533
20.89 kHz,-97.792
21.38 kHz,-98.051
21.88 kHz,-98.309
22.39 kHz,-98.567
22.91 kHz,-98.824
23.44 kHz,-99.081
23.99 kHz,-99.337
24.55 kHz,-99.593
25.12 kHz,-99.848
25.70 kHz,-100.102
26.30 kHz,-100.356
26.92 kHz,-100.610
27.54 kHz,-100.863
28.18 kHz,-101.115
28.84 kHz,-101.367
29.51 kHz,-101.619
30.20 kHz,-101.870
30.90 kHz,-102.120
31.62 kHz,-102.370
32.36 kHz,-102.619
33.11 kHz,-102.868
33.88 kHz,-103.116
34.67 kHz,-103.364
35.48 kHz,-103.611
36.31 kHz,-103.858
37.15 kHz,-104.104
38.02 kHz,-104.350
38.90 kHz,-104.595
39.81 kHz,-104.840
40.74 kHz,-105.084
41.69 kHz,-105.328
42.66 kHz,-105.571
43.65 kHz,-105.814
44.67 kHz,-106.056
45.71 kHz,-106.298
