"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
0.0000 Hz,-77.858
5.000 MHz,-95.781
10.00 MHz,-96.212
15.00 MHz,-96.111
20.00 MHz,-104.618
25.00 MHz,-102.215
30.00 MHz,-103.395
35.00 MHz,-108.916
40.00 MHz,-106.769
45.00 MHz,-101.152
50.00 MHz,-103.831
55.00 MHz,-104.920
60.00 MHz,-119.546
65.00 MHz,-110.214
70.00 MHz,-110.343
75.00 MHz,-101.691
80.00 MHz,-111.228
85.00 MHz,-107.875
90.00 MHz,-108.554
95.00 MHz,-107.346
100.0 MHz,-109.112
105.0 MHz,-101.836
110.0 MHz,-116.164
115.0 MHz,-106.297
120.0 MHz,-115.062
125.0 MHz,-108.970
130.0 MHz,-119.896
135.0 MHz,-104.921
140.0 MHz,-116.619
145.0 MHz,-111.804
150.0 MHz,-111.511
155.0 MHz,-105.054
160.0 MHz,-122.204
165.0 MHz,-106.255
170.0 MHz,-117.560
175.0 MHz,-108.976
180.0 MHz,-114.054
185.0 MHz,-109.171
190.0 MHz,-113.249
195.0 MHz,-106.069
200.0 MHz,-109.173
205.0 MHz,-105.587
210.0 MHz,-110.359
215.0 MHz,-109.435
220.0 MHz,-108.551
225.0 MHz,-103.327
230.0 MHz,-109.349
235.0 MHz,-102.304
240.0 MHz,-120.717
245.0 MHz,-105.061
250.0 MHz,-106.851
255.0 MHz,-103.959
260.0 MHz,-106.220
265.0 MHz,-103.579
270.0 MHz,-107.971
275.0 MHz,-111.675
280.0 MHz,-111.319
285.0 MHz,-102.092
290.0 MHz,-119.881
295.0 MHz,-110.005
300.0 MHz,-106.199
305.0 MHz,-102.500
310.0 MHz,-118.636
315.0 MHz,-102.008
320.0 MHz,-115.248
325.0 MHz,-104.424
330.0 MHz,-111.212
335.0 MHz,-106.690
340.0 MHz,-109.547
345.0 MHz,-106.537
350.0 MHz,-107.257
355.0 MHz,-100.841
360.0 MHz,-117.668
365.0 MHz,-102.172
370.0 MHz,-102.740
375.0 MHz,-105.477
380.0 MHz,-109.852
385.0 MHz,-100.725
390.0 MHz,-108.054
395.0 MHz,-121.912
400.0 MHz,-113.842
405.0 MHz,-104.224
410.0 MHz,-110.847
415.0 MHz,-116.714
420.0 MHz,-102.800
425.0 MHz,-102.597
430.0 MHz,-118.586
435.0 MHz,-103.983
440.0 MHz,-119.008
445.0 MHz,-104.096
450.0 MHz,-106.161
455.0 MHz,-100.916
460.0 MHz,-108.388
465.0 MHz,-102.263
470.0 MHz,-114.870
475.0 MHz,-105.153
480.0 MHz,-101.202
485.0 MHz,-101.677
490.0 MHz,-111.905
495.0 MHz,-105.027
500.0 MHz,-109.958
505.0 MHz,-100.590
510.0 MHz,-110.273
515.0 MHz,-101.209
520.0 MHz,-102.910
525.0 MHz,-100.704
530.0 MHz,-106.532
535.0 MHz,-105.731
540.0 MHz,-104.736
545.0 MHz,-105.165
550.0 MHz,-107.834
555.0 MHz,-102.371
560.0 MHz,-105.129
565.0 MHz,-114.869
570.0 MHz,-107.371
575.0 MHz,-104.992
580.0 MHz,-109.684
585.0 MHz,-103.643
590.0 MHz,-123.114
595.0 MHz,-104.904
600.0 MHz,-105.926
605.0 MHz,-105.589
610.0 MHz,-112.871
615.0 MHz,-103.366
620.0 MHz,-110.722
625.0 MHz,-108.493
630.0 MHz,-107.968
635.0 MHz,-102.613
640.0 MHz,-109.323
645.0 MHz,-104.707
650.0 MHz,-123.286
655.0 MHz,-107.740
660.0 MHz,-115.299
665.0 MHz,-103.790
670.0 MHz,-109.595
675.0 MHz,-107.825
680.0 MHz,-126.974
685.0 MHz,-104.749
690.0 MHz,-106.681
695.0 MHz,-111.968
700.0 MHz,-106.083
705.0 MHz,-102.260
710.0 MHz,-103.408
715.0 MHz,-102.739
720.0 MHz,-110.449
725.0 MHz,-103.789
730.0 MHz,-104.442
735.0 MHz,-107.910
740.0 MHz,-104.522
745.0 MHz,-102.039
750.0 MHz,-108.331
755.0 MHz,-102.195
760.0 MHz,-105.313
765.0 MHz,-104.496
770.0 MHz,-102.954
775.0 MHz,-100.261
780.0 MHz,-115.729
785.0 MHz,-115.902
790.0 MHz,-111.430
795.0 MHz,-114.944
800.0 MHz,-110.498
805.0 MHz,-102.461
810.0 MHz,-100.966
815.0 MHz,-101.758
820.0 MHz,-112.415
825.0 MHz,-100.828
830.0 MHz,-112.254
835.0 MHz,-103.009
840.0 MHz,-110.506
845.0 MHz,-102.192
850.0 MHz,-118.438
855.0 MHz,-114.321
860.0 MHz,-105.450
865.0 MHz,-104.301
870.0 MHz,-114.048
875.0 MHz,-105.687
880.0 MHz,-101.912
885.0 MHz,-103.303
890.0 MHz,-103.864
895.0 MHz,-97.653
900.0 MHz,-101.744
905.0 MHz,-97.508
910.0 MHz,-106.940
915.0 MHz,-111.018
920.0 MHz,-112.042
925.0 MHz,-99.100
930.0 MHz,-115.599
935.0 MHz,-97.279
940.0 MHz,-105.554
945.0 MHz,-111.646
950.0 MHz,-97.967
955.0 MHz,-113.394
960.0 MHz,-94.589
965.0 MHz,-96.566
970.0 MHz,-106.310
975.0 MHz,-94.645
980.0 MHz,-88.480
985.0 MHz,-90.175
990.0 MHz,-88.325
995.0 MHz,-93.330
1.000 GHz,-91.043
1.005 GHz,-100.529
1.010 GHz,-93.810
1.015 GHz,-101.202
1.020 GHz,-105.197
1.025 GHz,-121.728
1.030 GHz,-103.430
1.035 GHz,-106.218
1.040 GHz,-96.844
1.045 GHz,-118.166
1.050 GHz,-101.856
1.055 GHz,-100.324
1.060 GHz,-106.533
1.065 GHz,-97.504
1.070 GHz,-107.740
1.075 GHz,-98.769
1.080 GHz,-109.209
1.085 GHz,-99.561
1.090 GHz,-103.339
1.095 GHz,-100.912
1.100 GHz,-100.147
1.105 GHz,-113.085
1.110 GHz,-96.753
1.115 GHz,-101.359
1.120 GHz,-112.544
1.125 GHz,-101.704
1.130 GHz,-99.908
1.135 GHz,-97.304
1.140 GHz,-99.585
1.145 GHz,-107.594
1.150 GHz,-95.028
1.155 GHz,-93.878
1.160 GHz,-99.740
1.165 GHz,-97.027
1.170 GHz,-101.316
1.175 GHz,-105.396
1.180 GHz,-101.585
1.185 GHz,-101.668
1.190 GHz,-103.206
1.195 GHz,-99.233
1.200 GHz,-113.721
1.205 GHz,-106.047
1.210 GHz,-103.233
1.215 GHz,-106.412
1.220 GHz,-96.195
1.225 GHz,-101.297
1.230 GHz,-119.209
1.235 GHz,-103.917
1.240 GHz,-107.818
1.245 GHz,-95.695
1.250 GHz,-106.420
1.255 GHz,-99.121
1.260 GHz,-108.529
1.265 GHz,-100.756
1.270 GHz,-98.302
1.275 GHz,-97.245
1.280 GHz,-100.967
1.285 GHz,-109.966
1.290 GHz,-97.978
1.295 GHz,-91.254
1.300 GHz,-101.905
1.305 GHz,-118.546
1.310 GHz,-91.978
1.315 GHz,-97.221
1.320 GHz,-102.836
1.325 GHz,-96.004
1.330 GHz,-98.587
1.335 GHz,-100.965
1.340 GHz,-100.385
1.345 GHz,-100.953
1.350 GHz,-96.976
1.355 GHz,-95.130
1.360 GHz,-104.614
1.365 GHz,-98.440
1.370 GHz,-100.556
1.375 GHz,-96.967
1.380 GHz,-97.269
1.385 GHz,-99.215
1.390 GHz,-95.620
1.395 GHz,-91.930
1.400 GHz,-102.527
1.405 GHz,-107.051
1.410 GHz,-94.289
1.415 GHz,-91.219
1.420 GHz,-97.278
1.425 GHz,-99.379
1.430 GHz,-95.445
1.435 GHz,-96.658
1.440 GHz,-92.221
1.445 GHz,-88.012
1.450 GHz,-87.578
1.455 GHz,-85.327
1.460 GHz,-87.862
1.465 GHz,-88.695
1.470 GHz,-88.273
1.475 GHz,-91.576
1.480 GHz,-92.906
1.485 GHz,-81.562
1.490 GHz,-90.159
1.495 GHz,-91.474
1.500 GHz,-90.410
1.505 GHz,-88.769
1.510 GHz,-86.426
1.515 GHz,-85.727
1.520 GHz,-88.464
1.525 GHz,-85.482
1.530 GHz,-92.235
1.535 GHz,-97.134
1.540 GHz,-95.215
1.545 GHz,-106.476
1.550 GHz,-94.485
1.555 GHz,-92.140
1.560 GHz,-95.358
1.565 GHz,-103.021
1.570 GHz,-99.148
1.575 GHz,-100.594
1.580 GHz,-94.690
1.585 GHz,-96.140
1.590 GHz,-93.855
1.595 GHz,-113.353
1.600 GHz,-95.515
1.605 GHz,-103.276
1.610 GHz,-99.289
1.615 GHz,-104.164
1.620 GHz,-104.538
1.625 GHz,-95.933
1.630 GHz,-99.280
1.635 GHz,-105.318
1.640 GHz,-101.913
1.645 GHz,-94.627
1.650 GHz,-96.030
1.655 GHz,-98.911
1.660 GHz,-92.417
1.665 GHz,-99.334
1.670 GHz,-110.830
1.675 GHz,-93.162
1.680 GHz,-101.720
1.685 GHz,-103.478
1.690 GHz,-97.493
1.695 GHz,-98.862
1.700 GHz,-97.132
1.705 GHz,-112.413
1.710 GHz,-96.503
1.715 GHz,-95.835
1.720 GHz,-107.265
1.725 GHz,-97.872
1.730 GHz,-111.472
1.735 GHz,-105.359
1.740 GHz,-101.888
1.745 GHz,-94.300
1.750 GHz,-98.737
1.755 GHz,-104.561
1.760 GHz,-102.867
1.765 GHz,-99.504
1.770 GHz,-100.571
1.775 GHz,-103.496
1.780 GHz,-109.545
1.785 GHz,-99.204
1.790 GHz,-104.008
1.795 GHz,-103.941
1.800 GHz,-92.860
1.805 GHz,-96.090
1.810 GHz,-94.886
1.815 GHz,-93.681
1.820 GHz,-95.825
1.825 GHz,-92.942
1.830 GHz,-97.564
1.835 GHz,-96.759
1.840 GHz,-106.484
1.845 GHz,-96.800
1.850 GHz,-111.223
1.855 GHz,-95.483
1.860 GHz,-102.761
1.865 GHz,-107.018
1.870 GHz,-98.960
1.875 GHz,-99.848
1.880 GHz,-100.077
1.885 GHz,-100.964
1.890 GHz,-94.393
1.895 GHz,-106.109
1.900 GHz,-107.553
1.905 GHz,-95.275
1.910 GHz,-108.315
1.915 GHz,-91.724
1.920 GHz,-99.915
1.925 GHz,-93.674
1.930 GHz,-111.189
1.935 GHz,-101.563
1.940 GHz,-103.620
1.945 GHz,-100.261
1.950 GHz,-100.906
1.955 GHz,-102.151
1.960 GHz,-104.951
1.965 GHz,-94.336
1.970 GHz,-88.956
1.975 GHz,-89.056
1.980 GHz,-83.953
1.985 GHz,-86.615
1.990 GHz,-86.354
1.995 GHz,-95.927
2.000 GHz,-92.483
2.005 GHz,-94.861
2.010 GHz,-103.430
2.015 GHz,-106.933
2.020 GHz,-98.751
2.025 GHz,-102.011
2.030 GHz,-91.915
2.035 GHz,-94.429
2.040 GHz,-108.422
2.045 GHz,-94.658
2.050 GHz,-97.528
2.055 GHz,-97.334
2.060 GHz,-97.281
2.065 GHz,-92.699
2.070 GHz,-108.617
2.075 GHz,-95.975
2.080 GHz,-104.676
2.085 GHz,-101.055
2.090 GHz,-95.444
2.095 GHz,-102.787
2.100 GHz,-101.334
2.105 GHz,-102.284
2.110 GHz,-98.951
2.115 GHz,-102.709
2.120 GHz,-103.757
2.125 GHz,-97.314
2.130 GHz,-104.156
2.135 GHz,-96.394
2.140 GHz,-106.949
2.145 GHz,-98.123
2.150 GHz,-99.011
2.155 GHz,-96.621
2.160 GHz,-107.494
2.165 GHz,-96.078
2.170 GHz,-108.319
2.175 GHz,-93.292
2.180 GHz,-102.733
2.185 GHz,-107.279
2.190 GHz,-100.766
2.195 GHz,-98.235
2.200 GHz,-97.183
2.205 GHz,-97.993
2.210 GHz,-104.292
2.215 GHz,-101.152
2.220 GHz,-107.498
2.225 GHz,-96.049
2.230 GHz,-100.295
2.235 GHz,-95.994
2.240 GHz,-98.048
2.245 GHz,-101.365
2.250 GHz,-100.404
2.255 GHz,-91.692
2.260 GHz,-103.499
2.265 GHz,-99.932
2.270 GHz,-101.547
2.275 GHz,-93.806
2.280 GHz,-106.572
2.285 GHz,-96.584
2.290 GHz,-99.936
2.295 GHz,-93.556
2.300 GHz,-102.006
2.305 GHz,-115.515
2.310 GHz,-104.483
2.315 GHz,-100.894
2.320 GHz,-99.958
2.325 GHz,-103.645
