"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
50.00 fsec,0.3556E-18 V
100.0 fsec,0.07171E-18 V
250.0 fsec,2.354 aV
700.0 fsec,-1.569 aV
2.050 psec,-44.22 aV
6.100 psec,-411.0 aV
11.10 psec,-119.8 aV
16.10 psec,774.5 aV
21.10 psec,1.392 fV
26.10 psec,1.536 fV
31.10 psec,1.323 fV
36.10 psec,1.295 fV
41.10 psec,1.755 fV
46.10 psec,2.495 fV
51.10 psec,3.048 fV
56.10 psec,2.589 fV
61.10 psec,1.160 fV
66.10 psec,114.6 aV
71.10 psec,-116.9 aV
76.10 psec,-481.5 aV
81.10 psec,-1.229 fV
86.10 psec,-1.916 fV
91.10 psec,-2.358 fV
96.10 psec,-2.698 fV
101.1 psec,-3.065 fV
106.1 psec,-3.338 fV
111.1 psec,-3.004 fV
116.1 psec,-2.006 fV
121.1 psec,-854.7 aV
126.1 psec,-256.6 aV
131.1 psec,-542.9 aV
136.1 psec,-705.8 aV
141.1 psec,-221.1 aV
146.1 psec,291.6 aV
151.1 psec,115.9 aV
156.1 psec,-336.2 aV
161.1 psec,-27.84 aV
166.1 psec,898.4 aV
171.1 psec,1.509 fV
176.1 psec,1.656 fV
181.1 psec,1.779 fV
186.1 psec,2.382 fV
191.1 psec,3.087 fV
196.1 psec,3.542 fV
201.1 psec,4.024 fV
206.1 psec,4.570 fV
211.1 psec,4.845 fV
216.1 psec,4.871 fV
221.1 psec,5.266 fV
226.1 psec,5.948 fV
231.1 psec,6.112 fV
236.1 psec,6.396 fV
241.1 psec,6.699 fV
246.1 psec,6.513 fV
251.1 psec,6.123 fV
256.1 psec,6.034 fV
261.1 psec,6.378 fV
266.1 psec,6.732 fV
271.1 psec,6.741 fV
276.1 psec,6.336 fV
281.1 psec,5.763 fV
286.1 psec,5.180 fV
291.1 psec,4.051 fV
296.1 psec,2.676 fV
301.1 psec,1.513 fV
306.1 psec,260.9 aV
311.1 psec,-1.399 fV
316.1 psec,-2.839 fV
321.1 psec,-3.782 fV
326.1 psec,-4.622 fV
331.1 psec,-5.360 fV
336.1 psec,-5.719 fV
341.1 psec,-6.078 fV
346.1 psec,-6.348 fV
351.1 psec,-5.910 fV
356.1 psec,-5.221 fV
361.1 psec,-5.315 fV
366.1 psec,-6.092 fV
371.1 psec,-6.689 fV
376.1 psec,-7.168 fV
381.1 psec,-7.902 fV
386.1 psec,-8.720 fV
391.1 psec,-9.585 fV
396.1 psec,-10.23 fV
401.1 psec,-9.650 fV
406.1 psec,-8.366 fV
411.1 psec,-7.711 fV
416.1 psec,-7.889 fV
421.1 psec,-8.303 fV
426.1 psec,-8.757 fV
431.1 psec,-8.614 fV
436.1 psec,-7.585 fV
441.1 psec,-6.826 fV
446.1 psec,-6.662 fV
451.1 psec,-6.200 fV
456.1 psec,-5.103 fV
461.1 psec,-3.406 fV
466.1 psec,-2.017 fV
471.1 psec,-1.423 fV
476.1 psec,-573.4 aV
481.1 psec,632.9 aV
486.1 psec,1.734 fV
491.1 psec,2.980 fV
496.1 psec,4.190 fV
501.1 psec,5.093 fV
506.1 psec,5.536 fV
511.1 psec,5.561 fV
516.1 psec,5.870 fV
521.1 psec,6.311 fV
526.1 psec,6.222 fV
531.1 psec,6.149 fV
536.1 psec,6.432 fV
541.1 psec,6.268 fV
546.1 psec,5.821 fV
551.1 psec,5.073 fV
556.1 psec,4.440 fV
561.1 psec,4.187 fV
566.1 psec,4.084 fV
571.1 psec,3.602 fV
576.1 psec,2.724 fV
581.1 psec,2.344 fV
586.1 psec,2.248 fV
591.1 psec,1.512 fV
596.1 psec,217.7 aV
601.1 psec,-969.8 aV
606.1 psec,-1.825 fV
611.1 psec,-2.784 fV
616.1 psec,-4.265 fV
621.1 psec,-5.685 fV
626.1 psec,-6.906 fV
631.1 psec,-7.684 fV
636.1 psec,-8.042 fV
641.1 psec,-8.385 fV
646.1 psec,-9.009 fV
651.1 psec,-9.626 fV
656.1 psec,-8.885 fV
661.1 psec,-7.728 fV
666.1 psec,-7.172 fV
671.1 psec,-6.799 fV
676.1 psec,-6.598 fV
681.1 psec,-6.659 fV
686.1 psec,-6.386 fV
691.1 psec,-6.146 fV
696.1 psec,-6.124 fV
701.1 psec,-6.361 fV
706.1 psec,-6.518 fV
711.1 psec,-6.344 fV
716.1 psec,-6.134 fV
721.1 psec,-6.637 fV
726.1 psec,-7.295 fV
731.1 psec,-7.146 fV
736.1 psec,-6.576 fV
741.1 psec,-6.643 fV
746.1 psec,-7.215 fV
751.1 psec,-7.486 fV
756.1 psec,-7.782 fV
761.1 psec,-7.895 fV
766.1 psec,-7.779 fV
771.1 psec,-7.867 fV
776.1 psec,-8.333 fV
781.1 psec,-8.528 fV
786.1 psec,-8.218 fV
791.1 psec,-7.860 fV
796.1 psec,-7.555 fV
801.1 psec,-6.724 fV
806.1 psec,-5.793 fV
811.1 psec,-5.074 fV
816.1 psec,-4.355 fV
821.1 psec,-3.673 fV
826.1 psec,-3.401 fV
831.1 psec,-3.369 fV
836.1 psec,-3.508 fV
841.1 psec,-3.647 fV
846.1 psec,-3.493 fV
851.1 psec,-3.168 fV
856.1 psec,-3.707 fV
861.1 psec,-4.500 fV
866.1 psec,-4.847 fV
871.1 psec,-4.777 fV
876.1 psec,-4.685 fV
881.1 psec,-4.910 fV
886.1 psec,-5.424 fV
891.1 psec,-6.067 fV
896.1 psec,-6.839 fV
901.1 psec,-6.866 fV
906.1 psec,-6.444 fV
911.1 psec,-6.833 fV
916.1 psec,-7.995 fV
921.1 psec,-9.102 fV
926.1 psec,-9.701 fV
931.1 psec,-10.06 fV
936.1 psec,-10.19 fV
941.1 psec,-10.23 fV
946.1 psec,-10.45 fV
951.1 psec,-10.55 fV
956.1 psec,-10.25 fV
961.1 psec,-9.616 fV
966.1 psec,-8.806 fV
971.1 psec,-7.807 fV
976.1 psec,-6.986 fV
981.1 psec,-6.568 fV
986.1 psec,-6.293 fV
991.1 psec,-5.821 fV
996.1 psec,-5.164 fV
1.000 nsec,-4.846 fV
1.000 nsec,-4.874 fV
1.002 nsec,-4.887 fV
1.006 nsec,-4.946 fV
1.012 nsec,-5.431 fV
1.017 nsec,-6.212 fV
1.022 nsec,-6.536 fV
1.027 nsec,-6.195 fV
1.032 nsec,-6.284 fV
1.037 nsec,-6.614 fV
1.042 nsec,-6.656 fV
1.047 nsec,-6.864 fV
1.052 nsec,-7.282 fV
1.057 nsec,-7.258 fV
1.062 nsec,-7.184 fV
1.067 nsec,-6.884 fV
1.072 nsec,-6.988 fV
1.077 nsec,-7.514 fV
1.082 nsec,-8.381 fV
1.087 nsec,-9.550 fV
1.092 nsec,-10.36 fV
1.097 nsec,-10.51 fV
1.100 nsec,-10.54 fV
1.101 nsec,-10.60 fV
1.102 nsec,-10.77 fV
1.107 nsec,-10.87 fV
1.112 nsec,-10.44 fV
1.117 nsec,-10.85 fV
1.122 nsec,-12.52 fV
1.127 nsec,-14.20 fV
1.132 nsec,-14.90 fV
1.137 nsec,-14.88 fV
1.142 nsec,-15.09 fV
1.147 nsec,-15.60 fV
1.152 nsec,-15.71 fV
1.157 nsec,-15.53 fV
1.162 nsec,-15.15 fV
1.167 nsec,-14.35 fV
1.172 nsec,-13.79 fV
1.177 nsec,-13.21 fV
1.182 nsec,-12.34 fV
1.187 nsec,-11.44 fV
1.192 nsec,-10.46 fV
1.197 nsec,-9.677 fV
1.202 nsec,-9.491 fV
1.207 nsec,-8.951 fV
1.212 nsec,-8.470 fV
1.217 nsec,-8.588 fV
1.222 nsec,-8.743 fV
1.227 nsec,-8.347 fV
1.232 nsec,-7.678 fV
1.237 nsec,-6.855 fV
1.242 nsec,-5.617 fV
1.247 nsec,-4.323 fV
1.252 nsec,-3.105 fV
1.257 nsec,-1.683 fV
1.262 nsec,-386.0 aV
1.267 nsec,568.4 aV
1.272 nsec,1.194 fV
1.277 nsec,2.046 fV
1.282 nsec,2.645 fV
1.287 nsec,2.790 fV
1.292 nsec,2.554 fV
1.297 nsec,2.326 fV
1.302 nsec,1.615 fV
1.307 nsec,512.8 aV
1.312 nsec,-172.9 aV
1.317 nsec,-1.085 fV
1.322 nsec,-1.835 fV
1.327 nsec,-2.710 fV
1.332 nsec,-3.747 fV
1.337 nsec,-4.407 fV
