"Vcc
References : ['dBm(HB.OUT)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","harmindex
References : ['dBm(HB.OUT)']
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Integer","dBm(HB.OUT)
References : []
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Real"
5.000,0,<invalid>
5.000,1,5.948
5.000,2,-1.318
5.000,3,-17.145
5.000,4,-12.572
5.000,5,-25.904
5.000,6,-25.799
5.000,7,-27.363
5.100,0,<invalid>
5.100,1,6.168
5.100,2,-1.202
5.100,3,-16.903
5.100,4,-12.180
5.100,5,-25.475
5.100,6,-25.427
5.100,7,-27.082
5.200,0,<invalid>
5.200,1,6.380
5.200,2,-1.100
5.200,3,-16.548
5.200,4,-11.791
5.200,5,-25.047
5.200,6,-25.142
5.200,7,-26.892
5.300,0,<invalid>
5.300,1,6.583
5.300,2,-1.009
5.300,3,-16.129
5.300,4,-11.431
5.300,5,-24.719
5.300,6,-24.962
5.300,7,-26.840
5.400,0,<invalid>
5.400,1,6.778
5.400,2,-0.934
5.400,3,-15.700
5.400,4,-11.127
5.400,5,-24.596
5.400,6,-24.920
5.400,7,-27.001
5.500,0,<invalid>
5.500,1,6.964
5.500,2,-0.872
5.500,3,-15.271
5.500,4,-10.881
5.500,5,-24.705
5.500,6,-25.001
5.500,7,-27.401
5.600,0,<invalid>
5.600,1,7.143
5.600,2,-0.819
5.600,3,-14.821
5.600,4,-10.672
5.600,5,-24.990
5.600,6,-25.139
5.600,7,-27.984
