"Vcc
References : ['ts(HB.OUT)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.OUT)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.OUT)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.000,0.0000 sec,-428.9 mV
5.000,3.011 psec,-469.1 mV
5.000,6.021 psec,-508.4 mV
5.000,9.032 psec,-546.9 mV
5.000,12.04 psec,-584.6 mV
5.000,15.05 psec,-620.9 mV
5.000,18.06 psec,-655.2 mV
5.000,21.07 psec,-686.9 mV
5.000,24.08 psec,-715.3 mV
5.000,27.09 psec,-739.9 mV
5.000,30.11 psec,-760.6 mV
5.000,33.12 psec,-777.5 mV
5.000,36.13 psec,-791.1 mV
5.000,39.14 psec,-802.0 mV
5.000,42.15 psec,-811.0 mV
5.000,45.16 psec,-819.0 mV
5.000,48.17 psec,-826.7 mV
5.000,51.18 psec,-834.3 mV
5.000,54.19 psec,-841.6 mV
5.000,57.20 psec,-848.2 mV
5.000,60.21 psec,-852.7 mV
5.000,63.22 psec,-853.7 mV
5.000,66.23 psec,-849.3 mV
5.000,69.24 psec,-837.7 mV
5.000,72.25 psec,-817.0 mV
5.000,75.26 psec,-785.8 mV
5.000,78.27 psec,-743.3 mV
5.000,81.28 psec,-689.1 mV
5.000,84.29 psec,-623.8 mV
5.000,87.31 psec,-548.5 mV
5.000,90.32 psec,-465.1 mV
5.000,93.33 psec,-376.1 mV
5.000,96.34 psec,-284.1 mV
5.000,99.35 psec,-191.9 mV
5.000,102.4 psec,-102.1 mV
5.000,105.4 psec,-17.11 mV
5.000,108.4 psec,61.11 mV
5.000,111.4 psec,131.2 mV
5.000,114.4 psec,192.4 mV
5.000,117.4 psec,244.5 mV
5.000,120.4 psec,287.6 mV
5.000,123.4 psec,322.4 mV
5.000,126.4 psec,349.6 mV
5.000,129.5 psec,370.1 mV
5.000,132.5 psec,385.1 mV
5.000,135.5 psec,395.2 mV
5.000,138.5 psec,401.5 mV
5.000,141.5 psec,404.4 mV
5.000,144.5 psec,404.7 mV
5.000,147.5 psec,402.9 mV
5.000,150.5 psec,399.5 mV
5.000,153.5 psec,395.0 mV
5.000,156.5 psec,389.9 mV
5.000,159.6 psec,384.8 mV
5.000,162.6 psec,380.2 mV
5.000,165.6 psec,376.5 mV
5.000,168.6 psec,374.2 mV
5.000,171.6 psec,373.3 mV
5.000,174.6 psec,374.0 mV
5.000,177.6 psec,376.1 mV
5.000,180.6 psec,379.3 mV
5.000,183.6 psec,383.1 mV
5.000,186.7 psec,387.1 mV
5.000,189.7 psec,390.7 mV
5.000,192.7 psec,393.6 mV
5.000,195.7 psec,395.4 mV
5.000,198.7 psec,396.1 mV
5.000,201.7 psec,395.8 mV
5.000,204.7 psec,394.7 mV
5.000,207.7 psec,393.3 mV
5.000,210.7 psec,391.9 mV
5.000,213.7 psec,391.1 mV
5.000,216.8 psec,391.2 mV
5.000,219.8 psec,392.3 mV
5.000,222.8 psec,394.4 mV
5.000,225.8 psec,397.4 mV
5.000,228.8 psec,400.8 mV
5.000,231.8 psec,404.3 mV
5.000,234.8 psec,407.3 mV
5.000,237.8 psec,409.4 mV
5.000,240.8 psec,410.5 mV
5.000,243.9 psec,410.5 mV
5.000,246.9 psec,409.6 mV
5.000,249.9 psec,408.3 mV
5.000,252.9 psec,407.2 mV
5.000,255.9 psec,406.8 mV
5.000,258.9 psec,407.9 mV
5.000,261.9 psec,410.8 mV
5.000,264.9 psec,415.4 mV
5.000,267.9 psec,421.6 mV
5.000,270.9 psec,428.6 mV
5.000,274.0 psec,435.1 mV
5.000,277.0 psec,439.8 mV
5.000,280.0 psec,440.8 mV
5.000,283.0 psec,436.5 mV
5.000,286.0 psec,425.4 mV
5.000,289.0 psec,406.1 mV
5.000,292.0 psec,378.0 mV
5.000,295.0 psec,340.9 mV
5.000,298.0 psec,295.3 mV
5.000,301.1 psec,242.1 mV
5.000,304.1 psec,183.0 mV
5.000,307.1 psec,119.7 mV
5.000,310.1 psec,54.33 mV
5.000,313.1 psec,-11.26 mV
5.000,316.1 psec,-75.36 mV
5.000,319.1 psec,-136.6 mV
5.000,322.1 psec,-194.3 mV
5.000,325.1 psec,-247.9 mV
5.000,328.1 psec,-297.6 mV
5.000,331.2 psec,-343.9 mV
5.000,334.2 psec,-387.4 mV
5.000,337.2 psec,-428.9 mV
5.000,340.2 psec,-469.1 mV
5.000,343.2 psec,-508.4 mV
5.000,346.2 psec,-546.9 mV
5.000,349.2 psec,-584.6 mV
5.000,352.2 psec,-620.9 mV
5.000,355.2 psec,-655.2 mV
5.000,358.3 psec,-686.9 mV
5.000,361.3 psec,-715.3 mV
5.000,364.3 psec,-739.9 mV
5.000,367.3 psec,-760.6 mV
5.000,370.3 psec,-777.5 mV
5.000,373.3 psec,-791.1 mV
5.000,376.3 psec,-802.0 mV
5.000,379.3 psec,-811.0 mV
5.000,382.3 psec,-819.0 mV
5.000,385.3 psec,-826.7 mV
5.000,388.4 psec,-834.3 mV
5.000,391.4 psec,-841.6 mV
5.000,394.4 psec,-848.2 mV
5.000,397.4 psec,-852.7 mV
5.000,400.4 psec,-853.7 mV
5.000,403.4 psec,-849.3 mV
5.000,406.4 psec,-837.7 mV
5.000,409.4 psec,-817.0 mV
5.000,412.4 psec,-785.8 mV
5.000,415.5 psec,-743.3 mV
5.000,418.5 psec,-689.1 mV
5.000,421.5 psec,-623.8 mV
