"freq
References : ['dB(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,0.892
1.000 GHz,0.893
1.001 GHz,0.893
1.001 GHz,0.894
1.001 GHz,0.895
1.001 GHz,0.896
1.002 GHz,0.897
1.002 GHz,0.897
1.002 GHz,0.898
1.003 GHz,0.899
1.003 GHz,0.900
1.003 GHz,0.901
1.003 GHz,0.901
1.004 GHz,0.902
1.004 GHz,0.903
1.004 GHz,0.904
1.004 GHz,0.905
1.005 GHz,0.905
1.005 GHz,0.906
1.005 GHz,0.907
1.006 GHz,0.908
1.006 GHz,0.909
1.006 GHz,0.910
1.006 GHz,0.910
1.007 GHz,0.911
1.007 GHz,0.912
1.007 GHz,0.913
1.008 GHz,0.914
1.008 GHz,0.914
1.008 GHz,0.915
1.008 GHz,0.916
1.009 GHz,0.917
1.009 GHz,0.918
1.009 GHz,0.918
1.010 GHz,0.919
1.010 GHz,0.920
1.010 GHz,0.921
1.010 GHz,0.922
1.011 GHz,0.924
1.011 GHz,0.925
1.011 GHz,0.926
1.012 GHz,0.927
1.012 GHz,0.929
1.012 GHz,0.930
1.012 GHz,0.931
1.013 GHz,0.932
1.013 GHz,0.933
1.013 GHz,0.935
1.014 GHz,0.936
1.014 GHz,0.937
1.014 GHz,0.938
1.014 GHz,0.940
1.015 GHz,0.941
1.015 GHz,0.942
1.015 GHz,0.943
1.015 GHz,0.945
1.016 GHz,0.946
1.016 GHz,0.947
1.016 GHz,0.948
1.017 GHz,0.950
1.017 GHz,0.951
1.017 GHz,0.952
1.017 GHz,0.953
1.018 GHz,0.955
1.018 GHz,0.956
1.018 GHz,0.957
1.019 GHz,0.958
1.019 GHz,0.960
1.019 GHz,0.961
1.019 GHz,0.962
1.020 GHz,0.963
1.020 GHz,0.965
1.020 GHz,0.966
1.021 GHz,0.967
1.021 GHz,0.968
1.021 GHz,0.969
1.021 GHz,0.970
1.022 GHz,0.972
1.022 GHz,0.973
1.022 GHz,0.974
1.022 GHz,0.975
1.023 GHz,0.976
1.023 GHz,0.977
1.023 GHz,0.979
1.024 GHz,0.980
1.024 GHz,0.981
1.024 GHz,0.982
1.024 GHz,0.983
1.025 GHz,0.984
1.025 GHz,0.986
1.025 GHz,0.987
1.026 GHz,0.988
1.026 GHz,0.989
1.026 GHz,0.990
1.026 GHz,0.991
1.027 GHz,0.993
1.027 GHz,0.994
1.027 GHz,0.995
1.028 GHz,0.996
1.028 GHz,0.997
1.028 GHz,0.998
1.028 GHz,1.000
1.029 GHz,1.001
1.029 GHz,1.002
1.029 GHz,1.003
1.030 GHz,1.004
1.030 GHz,1.005
1.030 GHz,1.007
1.030 GHz,1.008
1.031 GHz,1.009
1.031 GHz,1.010
1.031 GHz,1.012
1.032 GHz,1.013
1.032 GHz,1.014
1.032 GHz,1.016
1.032 GHz,1.017
1.033 GHz,1.018
