"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,-48.862
1.000 GHz,-48.874
1.001 GHz,-48.886
1.001 GHz,-48.899
1.001 GHz,-48.911
1.001 GHz,-48.923
1.002 GHz,-48.936
1.002 GHz,-48.948
1.002 GHz,-48.961
1.003 GHz,-48.973
1.003 GHz,-48.985
1.003 GHz,-48.998
1.003 GHz,-49.010
1.004 GHz,-49.023
1.004 GHz,-49.035
1.004 GHz,-49.047
1.004 GHz,-49.060
1.005 GHz,-49.072
1.005 GHz,-49.085
1.005 GHz,-49.097
1.006 GHz,-49.109
1.006 GHz,-49.122
1.006 GHz,-49.134
1.006 GHz,-49.147
1.007 GHz,-49.159
1.007 GHz,-49.171
1.007 GHz,-49.184
1.008 GHz,-49.196
1.008 GHz,-49.209
1.008 GHz,-49.221
1.008 GHz,-49.233
1.009 GHz,-49.246
1.009 GHz,-49.258
1.009 GHz,-49.270
1.010 GHz,-49.283
1.010 GHz,-49.295
1.010 GHz,-49.309
1.010 GHz,-49.324
1.011 GHz,-49.339
1.011 GHz,-49.354
1.011 GHz,-49.369
1.012 GHz,-49.383
1.012 GHz,-49.398
1.012 GHz,-49.413
1.012 GHz,-49.428
1.013 GHz,-49.443
1.013 GHz,-49.458
1.013 GHz,-49.473
1.014 GHz,-49.488
1.014 GHz,-49.503
1.014 GHz,-49.518
1.014 GHz,-49.533
1.015 GHz,-49.548
1.015 GHz,-49.563
1.015 GHz,-49.578
1.015 GHz,-49.593
1.016 GHz,-49.607
1.016 GHz,-49.622
1.016 GHz,-49.637
1.017 GHz,-49.652
1.017 GHz,-49.667
1.017 GHz,-49.682
1.017 GHz,-49.697
1.018 GHz,-49.712
1.018 GHz,-49.727
1.018 GHz,-49.742
1.019 GHz,-49.757
1.019 GHz,-49.772
1.019 GHz,-49.787
1.019 GHz,-49.802
1.020 GHz,-49.816
1.020 GHz,-49.831
1.020 GHz,-49.845
1.021 GHz,-49.858
1.021 GHz,-49.871
1.021 GHz,-49.884
1.021 GHz,-49.897
1.022 GHz,-49.911
1.022 GHz,-49.924
1.022 GHz,-49.937
1.022 GHz,-49.950
1.023 GHz,-49.963
1.023 GHz,-49.976
1.023 GHz,-49.990
1.024 GHz,-50.003
1.024 GHz,-50.016
1.024 GHz,-50.029
1.024 GHz,-50.042
1.025 GHz,-50.055
1.025 GHz,-50.068
1.025 GHz,-50.082
1.026 GHz,-50.095
1.026 GHz,-50.108
1.026 GHz,-50.121
1.026 GHz,-50.134
1.027 GHz,-50.147
1.027 GHz,-50.161
1.027 GHz,-50.174
1.028 GHz,-50.187
1.028 GHz,-50.200
1.028 GHz,-50.213
1.028 GHz,-50.226
1.029 GHz,-50.240
1.029 GHz,-50.253
1.029 GHz,-50.266
1.030 GHz,-50.279
1.030 GHz,-50.292
1.030 GHz,-50.305
1.030 GHz,-50.317
1.031 GHz,-50.329
1.031 GHz,-50.340
1.031 GHz,-50.352
1.032 GHz,-50.364
1.032 GHz,-50.376
1.032 GHz,-50.388
1.032 GHz,-50.400
1.033 GHz,-50.412
1.033 GHz,-50.423
1.033 GHz,-50.435
1.033 GHz,-50.447
1.034 GHz,-50.459
1.034 GHz,-50.471
1.034 GHz,-50.483
1.035 GHz,-50.495
1.035 GHz,-50.506
1.035 GHz,-50.518
1.035 GHz,-50.530
1.036 GHz,-50.542
1.036 GHz,-50.554
1.036 GHz,-50.566
1.037 GHz,-50.578
1.037 GHz,-50.589
1.037 GHz,-50.601
1.037 GHz,-50.613
1.038 GHz,-50.625
1.038 GHz,-50.637
1.038 GHz,-50.649
1.039 GHz,-50.661
1.039 GHz,-50.672
1.039 GHz,-50.684
1.039 GHz,-50.696
1.040 GHz,-50.708
1.040 GHz,-50.720
1.040 GHz,-50.733
1.040 GHz,-50.746
1.041 GHz,-50.759
1.041 GHz,-50.772
1.041 GHz,-50.785
1.042 GHz,-50.798
1.042 GHz,-50.811
1.042 GHz,-50.824
1.042 GHz,-50.837
1.043 GHz,-50.850
1.043 GHz,-50.863
1.043 GHz,-50.876
1.044 GHz,-50.889
1.044 GHz,-50.902
1.044 GHz,-50.915
1.044 GHz,-50.928
1.045 GHz,-50.941
1.045 GHz,-50.954
1.045 GHz,-50.967
1.046 GHz,-50.980
1.046 GHz,-50.993
1.046 GHz,-51.006
1.046 GHz,-51.019
1.047 GHz,-51.032
1.047 GHz,-51.045
1.047 GHz,-51.058
1.048 GHz,-51.071
1.048 GHz,-51.084
1.048 GHz,-51.097
1.048 GHz,-51.110
1.049 GHz,-51.123
1.049 GHz,-51.136
1.049 GHz,-51.149
1.050 GHz,-51.162
1.050 GHz,-51.175
1.050 GHz,-51.189
1.050 GHz,-51.205
1.051 GHz,-51.220
1.051 GHz,-51.236
1.051 GHz,-51.252
1.051 GHz,-51.267
1.052 GHz,-51.283
1.052 GHz,-51.299
1.052 GHz,-51.314
1.053 GHz,-51.330
1.053 GHz,-51.346
1.053 GHz,-51.362
1.053 GHz,-51.377
1.054 GHz,-51.393
1.054 GHz,-51.409
1.054 GHz,-51.424
1.055 GHz,-51.440
1.055 GHz,-51.456
1.055 GHz,-51.471
1.055 GHz,-51.487
1.056 GHz,-51.503
1.056 GHz,-51.518
1.056 GHz,-51.534
1.057 GHz,-51.550
1.057 GHz,-51.566
1.057 GHz,-51.581
1.057 GHz,-51.597
1.058 GHz,-51.613
1.058 GHz,-51.628
1.058 GHz,-51.644
1.058 GHz,-51.660
1.059 GHz,-51.675
1.059 GHz,-51.691
1.059 GHz,-51.707
1.060 GHz,-51.722
1.060 GHz,-51.738
1.060 GHz,-51.751
1.060 GHz,-51.762
1.061 GHz,-51.774
1.061 GHz,-51.785
1.061 GHz,-51.797
1.062 GHz,-51.808
1.062 GHz,-51.820
1.062 GHz,-51.831
1.062 GHz,-51.843
1.063 GHz,-51.854
1.063 GHz,-51.866
1.063 GHz,-51.877
1.064 GHz,-51.889
1.064 GHz,-51.900
1.064 GHz,-51.912
1.064 GHz,-51.923
1.065 GHz,-51.935
1.065 GHz,-51.946
1.065 GHz,-51.957
1.066 GHz,-51.969
1.066 GHz,-51.980
1.066 GHz,-51.992
1.066 GHz,-52.003
1.067 GHz,-52.015
1.067 GHz,-52.026
1.067 GHz,-52.038
1.067 GHz,-52.049
1.068 GHz,-52.061
1.068 GHz,-52.072
1.068 GHz,-52.084
1.069 GHz,-52.095
1.069 GHz,-52.107
1.069 GHz,-52.118
1.069 GHz,-52.129
1.070 GHz,-52.141
1.070 GHz,-52.153
1.070 GHz,-52.166
1.071 GHz,-52.179
1.071 GHz,-52.193
1.071 GHz,-52.206
1.071 GHz,-52.220
1.072 GHz,-52.233
1.072 GHz,-52.246
1.072 GHz,-52.260
1.073 GHz,-52.273
1.073 GHz,-52.286
1.073 GHz,-52.300
1.073 GHz,-52.313
1.074 GHz,-52.326
1.074 GHz,-52.340
1.074 GHz,-52.353
