"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.850 GHz,-20.565
2.850 GHz,<invalid>
2.850 GHz,0.009
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,0.009
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,-20.578
2.850 GHz,24.082
2.850 GHz,-6.025
2.850 GHz,<invalid>
2.850 GHz,-6.025
2.850 GHz,7.959
2.850 GHz,18.167
2.850 GHz,<invalid>
2.850 GHz,1.938
2.850 GHz,<invalid>
2.850 GHz,-6.021
2.850 GHz,<invalid>
2.850 GHz,7.959
2.850 GHz,-22.161
2.850 GHz,<invalid>
2.850 GHz,-5.954
2.850 GHz,12.191
2.850 GHz,<invalid>
2.850 GHz,-22.212
2.850 GHz,1.938
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,-22.182
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,1.938
2.850 GHz,-1.584
2.850 GHz,-11.938
2.850 GHz,-6.021
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,-22.161
2.850 GHz,-1.584
2.850 GHz,-6.025
2.850 GHz,-22.161
2.850 GHz,-6.021
2.850 GHz,-22.182
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,1.938
2.850 GHz,-22.148
2.850 GHz,-22.182
2.850 GHz,1.938
2.850 GHz,<invalid>
2.850 GHz,1.938
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,14.645
2.850 GHz,<invalid>
2.850 GHz,<invalid>
2.850 GHz,-20.628
2.851 GHz,14.645
2.851 GHz,-6.021
2.851 GHz,<invalid>
2.851 GHz,-28.191
2.851 GHz,<invalid>
2.851 GHz,-22.212
2.851 GHz,-1.584
2.851 GHz,1.938
2.851 GHz,-5.933
2.851 GHz,-22.182
2.851 GHz,<invalid>
2.851 GHz,-20.565
2.851 GHz,<invalid>
2.851 GHz,-11.938
2.851 GHz,-0.012
2.851 GHz,<invalid>
2.851 GHz,-22.182
2.851 GHz,<invalid>
2.851 GHz,<invalid>
