"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.850 GHz,-88.210
2.850 GHz,<invalid>
2.850 GHz,0.891
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-0.891
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,86.424
2.850 GHz,90.000
2.850 GHz,1.790
2.850 GHz,0.000
2.850 GHz,-1.790
2.850 GHz,0.000
2.850 GHz,81.119
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,86.424
2.850 GHz,<invalid>
2.850 GHz,3.525
2.850 GHz,79.380
2.850 GHz,<invalid>
2.850 GHz,82.875
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-84.644
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-7.985
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-86.424
2.850 GHz,0.000
2.850 GHz,1.790
2.850 GHz,-86.424
2.850 GHz,0.000
2.850 GHz,-84.644
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,-88.210
2.850 GHz,84.644
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,<invalid>
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-81.119
2.850 GHz,0.000
2.850 GHz,0.000
2.850 GHz,-82.875
2.851 GHz,81.119
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,85.533
2.851 GHz,0.000
2.851 GHz,82.875
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,5.304
2.851 GHz,84.644
2.851 GHz,<invalid>
2.851 GHz,-88.210
2.851 GHz,0.000
2.851 GHz,-7.985
2.851 GHz,-0.889
2.851 GHz,<invalid>
2.851 GHz,84.644
2.851 GHz,0.000
2.851 GHz,0.000
2.851 GHz,-86.424
2.851 GHz,0.000
2.851 GHz,90.000
2.851 GHz,-88.210
2.851 GHz,0.000
