"indep(__d, 1)
References : ['plot_vs(pnmx, noisefreq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(pnmx, noisefreq)
References : []
Dependency : []
Num. Points : [601]
Matrix Size : scalar
Type : Real"
1.000  Hz,20.279
1.023  Hz,19.960
1.047  Hz,19.642
1.072  Hz,19.324
1.096  Hz,19.006
1.122  Hz,18.689
1.148  Hz,18.373
1.175  Hz,18.056
1.202  Hz,17.740
1.230  Hz,17.425
1.259  Hz,17.110
1.288  Hz,16.795
1.318  Hz,16.480
1.349  Hz,16.166
1.380  Hz,15.852
1.413  Hz,15.539
1.445  Hz,15.225
1.479  Hz,14.913
1.514  Hz,14.600
1.549  Hz,14.288
1.585  Hz,13.976
1.622  Hz,13.664
1.660  Hz,13.353
1.698  Hz,13.041
1.738  Hz,12.730
1.778  Hz,12.420
1.820  Hz,12.109
1.862  Hz,11.799
1.905  Hz,11.489
1.950  Hz,11.180
1.995  Hz,10.870
2.042  Hz,10.561
2.089  Hz,10.252
2.138  Hz,9.943
2.188  Hz,9.634
2.239  Hz,9.326
2.291  Hz,9.018
2.344  Hz,8.710
2.399  Hz,8.402
2.455  Hz,8.094
2.512  Hz,7.787
2.570  Hz,7.479
2.630  Hz,7.172
2.692  Hz,6.865
2.754  Hz,6.558
2.818  Hz,6.252
2.884  Hz,5.945
2.951  Hz,5.639
3.020  Hz,5.333
3.090  Hz,5.027
3.162  Hz,4.721
3.236  Hz,4.415
3.311  Hz,4.109
3.388  Hz,3.804
3.467  Hz,3.499
3.548  Hz,3.193
3.631  Hz,2.888
3.715  Hz,2.583
3.802  Hz,2.278
3.890  Hz,1.973
3.981  Hz,1.669
4.074  Hz,1.364
4.169  Hz,1.060
4.266  Hz,0.755
4.365  Hz,0.451
4.467  Hz,0.147
4.571  Hz,-0.157
4.677  Hz,-0.461
4.786  Hz,-0.765
4.898  Hz,-1.069
5.012  Hz,-1.372
5.129  Hz,-1.676
5.248  Hz,-1.979
5.370  Hz,-2.283
5.495  Hz,-2.586
5.623  Hz,-2.890
5.754  Hz,-3.193
5.888  Hz,-3.496
6.026  Hz,-3.799
6.166  Hz,-4.102
6.310  Hz,-4.405
6.457  Hz,-4.708
6.607  Hz,-5.010
6.761  Hz,-5.313
6.918  Hz,-5.616
7.079  Hz,-5.918
7.244  Hz,-6.221
7.413  Hz,-6.523
7.586  Hz,-6.826
7.762  Hz,-7.128
7.943  Hz,-7.430
8.128  Hz,-7.732
8.318  Hz,-8.035
8.511  Hz,-8.337
8.710  Hz,-8.639
8.913  Hz,-8.941
9.120  Hz,-9.243
9.333  Hz,-9.545
9.550  Hz,-9.847
9.772  Hz,-10.148
10.00  Hz,-10.450
10.23  Hz,-10.752
10.47  Hz,-11.054
10.72  Hz,-11.355
10.96  Hz,-11.657
11.22  Hz,-11.958
11.48  Hz,-12.260
11.75  Hz,-12.561
12.02  Hz,-12.863
12.30  Hz,-13.164
12.59  Hz,-13.466
12.88  Hz,-13.767
13.18  Hz,-14.068
13.49  Hz,-14.370
13.80  Hz,-14.671
14.13  Hz,-14.972
14.45  Hz,-15.273
14.79  Hz,-15.574
15.14  Hz,-15.875
15.49  Hz,-16.176
15.85  Hz,-16.477
16.22  Hz,-16.778
16.60  Hz,-17.079
16.98  Hz,-17.380
17.38  Hz,-17.681
17.78  Hz,-17.982
18.20  Hz,-18.283
18.62  Hz,-18.584
19.05  Hz,-18.885
19.50  Hz,-19.186
19.95  Hz,-19.486
20.42  Hz,-19.787
20.89  Hz,-20.088
21.38  Hz,-20.388
21.88  Hz,-20.689
22.39  Hz,-20.990
22.91  Hz,-21.290
23.44  Hz,-21.591
23.99  Hz,-21.892
24.55  Hz,-22.192
25.12  Hz,-22.493
25.70  Hz,-22.793
26.30  Hz,-23.094
26.92  Hz,-23.394
27.54  Hz,-23.694
28.18  Hz,-23.995
28.84  Hz,-24.295
29.51  Hz,-24.596
30.20  Hz,-24.896
30.90  Hz,-25.196
31.62  Hz,-25.497
32.36  Hz,-25.797
33.11  Hz,-26.097
33.88  Hz,-26.398
34.67  Hz,-26.698
35.48  Hz,-26.998
36.31  Hz,-27.298
37.15  Hz,-27.598
38.02  Hz,-27.899
38.90  Hz,-28.199
39.81  Hz,-28.499
40.74  Hz,-28.799
41.69  Hz,-29.099
42.66  Hz,-29.399
43.65  Hz,-29.699
44.67  Hz,-29.999
45.71  Hz,-30.299
46.77  Hz,-30.599
47.86  Hz,-30.899
48.98  Hz,-31.199
50.12  Hz,-31.499
