"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
0.0000 Hz,-90.756
5.000 MHz,-117.340
10.00 MHz,-111.247
15.00 MHz,-110.921
20.00 MHz,-109.457
25.00 MHz,-111.506
30.00 MHz,-108.979
35.00 MHz,-113.028
40.00 MHz,-110.526
45.00 MHz,-113.779
50.00 MHz,-110.629
55.00 MHz,-113.517
60.00 MHz,-110.478
65.00 MHz,-111.973
70.00 MHz,-109.736
75.00 MHz,-113.597
80.00 MHz,-109.134
85.00 MHz,-113.521
90.00 MHz,-109.544
95.00 MHz,-111.353
100.0 MHz,-110.258
105.0 MHz,-111.489
110.0 MHz,-111.367
115.0 MHz,-112.293
120.0 MHz,-110.604
125.0 MHz,-112.203
130.0 MHz,-112.179
135.0 MHz,-111.937
140.0 MHz,-110.658
145.0 MHz,-112.885
150.0 MHz,-109.432
155.0 MHz,-112.487
160.0 MHz,-111.625
165.0 MHz,-111.986
170.0 MHz,-110.836
175.0 MHz,-111.601
180.0 MHz,-109.241
185.0 MHz,-112.177
190.0 MHz,-110.555
195.0 MHz,-113.266
200.0 MHz,-109.274
205.0 MHz,-110.235
210.0 MHz,-112.448
215.0 MHz,-113.813
220.0 MHz,-109.287
225.0 MHz,-111.274
230.0 MHz,-110.395
235.0 MHz,-111.838
240.0 MHz,-110.892
245.0 MHz,-110.444
250.0 MHz,-109.164
255.0 MHz,-112.244
260.0 MHz,-111.961
265.0 MHz,-111.008
270.0 MHz,-111.932
275.0 MHz,-113.126
280.0 MHz,-110.423
285.0 MHz,-110.719
290.0 MHz,-110.455
295.0 MHz,-112.403
300.0 MHz,-110.328
305.0 MHz,-113.964
310.0 MHz,-111.273
315.0 MHz,-113.537
320.0 MHz,-110.163
325.0 MHz,-110.890
330.0 MHz,-111.307
335.0 MHz,-111.604
340.0 MHz,-108.148
345.0 MHz,-112.940
350.0 MHz,-108.112
355.0 MHz,-109.924
360.0 MHz,-109.852
365.0 MHz,-110.930
370.0 MHz,-109.613
375.0 MHz,-111.177
380.0 MHz,-109.922
385.0 MHz,-110.151
390.0 MHz,-111.693
395.0 MHz,-112.284
400.0 MHz,-112.052
405.0 MHz,-114.779
410.0 MHz,-110.720
415.0 MHz,-110.061
420.0 MHz,-108.979
425.0 MHz,-110.413
430.0 MHz,-109.231
435.0 MHz,-108.983
440.0 MHz,-111.715
445.0 MHz,-115.792
450.0 MHz,-109.538
455.0 MHz,-108.906
460.0 MHz,-107.960
465.0 MHz,-113.004
470.0 MHz,-114.010
475.0 MHz,-109.848
480.0 MHz,-108.282
485.0 MHz,-110.328
490.0 MHz,-111.042
495.0 MHz,-108.797
500.0 MHz,-108.679
505.0 MHz,-118.759
510.0 MHz,-108.546
515.0 MHz,-106.601
520.0 MHz,-114.834
525.0 MHz,-108.985
530.0 MHz,-109.202
535.0 MHz,-119.052
540.0 MHz,-108.166
545.0 MHz,-117.693
550.0 MHz,-105.492
555.0 MHz,-108.821
560.0 MHz,-107.101
565.0 MHz,-108.640
570.0 MHz,-116.388
575.0 MHz,-108.947
580.0 MHz,-110.356
585.0 MHz,-105.484
590.0 MHz,-108.176
595.0 MHz,-111.675
600.0 MHz,-105.288
605.0 MHz,-124.526
610.0 MHz,-109.307
615.0 MHz,-115.822
620.0 MHz,-116.228
625.0 MHz,-106.199
630.0 MHz,-109.289
635.0 MHz,-107.881
640.0 MHz,-104.893
645.0 MHz,-107.451
650.0 MHz,-110.490
655.0 MHz,-110.117
660.0 MHz,-105.537
665.0 MHz,-106.332
670.0 MHz,-107.432
675.0 MHz,-124.738
680.0 MHz,-115.472
685.0 MHz,-110.696
690.0 MHz,-109.121
695.0 MHz,-108.938
700.0 MHz,-112.476
705.0 MHz,-110.078
710.0 MHz,-113.251
715.0 MHz,-110.374
720.0 MHz,-111.126
725.0 MHz,-110.323
730.0 MHz,-115.466
735.0 MHz,-117.471
740.0 MHz,-113.836
745.0 MHz,-114.506
750.0 MHz,-111.083
755.0 MHz,-127.607
760.0 MHz,-110.229
765.0 MHz,-118.675
770.0 MHz,-111.141
775.0 MHz,-117.718
780.0 MHz,-110.621
785.0 MHz,-112.309
790.0 MHz,-107.451
795.0 MHz,-107.385
800.0 MHz,-107.130
805.0 MHz,-111.242
810.0 MHz,-107.531
815.0 MHz,-111.164
820.0 MHz,-109.883
825.0 MHz,-113.004
830.0 MHz,-113.267
835.0 MHz,-113.105
840.0 MHz,-109.214
845.0 MHz,-109.251
850.0 MHz,-105.874
855.0 MHz,-108.419
860.0 MHz,-105.917
865.0 MHz,-109.930
870.0 MHz,-112.144
875.0 MHz,-113.060
880.0 MHz,-111.884
885.0 MHz,-106.845
890.0 MHz,-106.350
895.0 MHz,-113.010
900.0 MHz,-116.425
905.0 MHz,-112.319
910.0 MHz,-105.169
915.0 MHz,-104.599
920.0 MHz,-106.979
925.0 MHz,-129.878
930.0 MHz,-106.178
935.0 MHz,-107.884
940.0 MHz,-110.080
945.0 MHz,-109.713
950.0 MHz,-112.013
955.0 MHz,-109.201
960.0 MHz,-103.220
965.0 MHz,-107.328
970.0 MHz,-127.340
975.0 MHz,-109.533
980.0 MHz,-101.709
985.0 MHz,-109.561
990.0 MHz,-110.801
995.0 MHz,-106.594
1.000 GHz,-106.419
1.005 GHz,-115.452
1.010 GHz,-109.154
1.015 GHz,-107.349
1.020 GHz,-109.470
1.025 GHz,-109.573
1.030 GHz,-112.411
1.035 GHz,-111.436
1.040 GHz,-107.186
1.045 GHz,-109.217
1.050 GHz,-114.463
1.055 GHz,-106.051
1.060 GHz,-108.976
1.065 GHz,-117.838
1.070 GHz,-107.835
1.075 GHz,-111.390
1.080 GHz,-105.117
1.085 GHz,-104.552
1.090 GHz,-106.270
1.095 GHz,-111.786
1.100 GHz,-108.361
1.105 GHz,-106.285
1.110 GHz,-107.226
1.115 GHz,-106.726
1.120 GHz,-112.130
1.125 GHz,-109.314
1.130 GHz,-109.016
1.135 GHz,-111.351
1.140 GHz,-106.195
1.145 GHz,-114.708
1.150 GHz,-108.828
1.155 GHz,-113.940
1.160 GHz,-112.380
1.165 GHz,-114.819
1.170 GHz,-109.262
1.175 GHz,-115.774
1.180 GHz,-107.721
1.185 GHz,-111.163
1.190 GHz,-106.499
1.195 GHz,-112.767
1.200 GHz,-105.492
1.205 GHz,-106.386
1.210 GHz,-105.661
1.215 GHz,-109.161
1.220 GHz,-108.391
1.225 GHz,-116.724
1.230 GHz,-118.322
1.235 GHz,-109.314
1.240 GHz,-107.111
1.245 GHz,-104.706
1.250 GHz,-104.694
