"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
50.00 fsec,1.051 aV
100.0 fsec,0.4863E-18 V
250.0 fsec,3.932 aV
700.0 fsec,-14.13 aV
2.050 psec,-158.3 aV
6.100 psec,-523.1 aV
11.10 psec,-576.9 aV
16.10 psec,-1.868 fV
21.10 psec,-3.575 fV
26.10 psec,-5.592 fV
31.10 psec,-6.944 fV
36.10 psec,-6.883 fV
41.10 psec,-6.523 fV
46.10 psec,-6.994 fV
51.10 psec,-7.748 fV
56.10 psec,-7.600 fV
61.10 psec,-7.004 fV
66.10 psec,-7.136 fV
71.10 psec,-6.854 fV
76.10 psec,-6.167 fV
81.10 psec,-6.186 fV
86.10 psec,-5.869 fV
91.10 psec,-4.558 fV
96.10 psec,-2.938 fV
101.1 psec,-2.238 fV
106.1 psec,-1.542 fV
111.1 psec,165.9 aV
116.1 psec,1.090 fV
121.1 psec,1.404 fV
126.1 psec,2.549 fV
131.1 psec,3.700 fV
136.1 psec,4.001 fV
141.1 psec,4.012 fV
146.1 psec,3.748 fV
151.1 psec,3.135 fV
156.1 psec,2.889 fV
161.1 psec,3.621 fV
166.1 psec,4.269 fV
171.1 psec,4.782 fV
176.1 psec,5.928 fV
181.1 psec,7.095 fV
186.1 psec,7.896 fV
191.1 psec,8.759 fV
196.1 psec,9.530 fV
201.1 psec,9.035 fV
206.1 psec,7.710 fV
211.1 psec,6.354 fV
216.1 psec,5.055 fV
221.1 psec,3.105 fV
226.1 psec,1.242 fV
231.1 psec,-96.24 aV
236.1 psec,-1.991 fV
241.1 psec,-3.958 fV
246.1 psec,-5.153 fV
251.1 psec,-5.911 fV
256.1 psec,-5.434 fV
261.1 psec,-4.042 fV
266.1 psec,-3.427 fV
271.1 psec,-3.751 fV
276.1 psec,-3.763 fV
281.1 psec,-1.948 fV
286.1 psec,733.3 aV
291.1 psec,3.163 fV
296.1 psec,4.588 fV
301.1 psec,4.831 fV
306.1 psec,5.850 fV
311.1 psec,7.510 fV
316.1 psec,8.051 fV
321.1 psec,6.929 fV
326.1 psec,5.573 fV
331.1 psec,4.850 fV
336.1 psec,5.219 fV
341.1 psec,5.734 fV
346.1 psec,4.984 fV
351.1 psec,3.933 fV
356.1 psec,3.624 fV
361.1 psec,4.292 fV
366.1 psec,5.580 fV
371.1 psec,6.081 fV
376.1 psec,5.659 fV
381.1 psec,4.464 fV
386.1 psec,3.211 fV
391.1 psec,2.764 fV
396.1 psec,2.678 fV
401.1 psec,2.233 fV
406.1 psec,1.695 fV
411.1 psec,1.852 fV
416.1 psec,2.638 fV
421.1 psec,3.310 fV
426.1 psec,3.636 fV
431.1 psec,3.166 fV
436.1 psec,2.230 fV
441.1 psec,1.903 fV
446.1 psec,2.048 fV
451.1 psec,2.288 fV
456.1 psec,2.874 fV
461.1 psec,3.377 fV
466.1 psec,4.023 fV
471.1 psec,4.532 fV
476.1 psec,4.375 fV
481.1 psec,4.300 fV
486.1 psec,4.697 fV
491.1 psec,4.720 fV
496.1 psec,4.211 fV
501.1 psec,2.448 fV
506.1 psec,889.7 aV
511.1 psec,287.5 aV
516.1 psec,-339.1 aV
521.1 psec,-1.511 fV
526.1 psec,-2.537 fV
531.1 psec,-3.958 fV
536.1 psec,-6.102 fV
541.1 psec,-8.536 fV
546.1 psec,-9.982 fV
551.1 psec,-10.55 fV
556.1 psec,-11.48 fV
561.1 psec,-12.37 fV
566.1 psec,-13.20 fV
571.1 psec,-13.60 fV
576.1 psec,-13.03 fV
581.1 psec,-12.50 fV
586.1 psec,-12.19 fV
591.1 psec,-11.60 fV
596.1 psec,-10.35 fV
601.1 psec,-9.339 fV
606.1 psec,-7.825 fV
611.1 psec,-5.558 fV
616.1 psec,-3.581 fV
621.1 psec,-2.337 fV
626.1 psec,-1.022 fV
631.1 psec,779.4 aV
636.1 psec,2.271 fV
641.1 psec,3.375 fV
646.1 psec,4.978 fV
651.1 psec,6.805 fV
656.1 psec,7.768 fV
661.1 psec,7.951 fV
666.1 psec,7.993 fV
671.1 psec,8.262 fV
676.1 psec,8.276 fV
681.1 psec,9.088 fV
686.1 psec,10.71 fV
691.1 psec,11.24 fV
696.1 psec,11.26 fV
701.1 psec,12.05 fV
706.1 psec,13.07 fV
711.1 psec,13.42 fV
716.1 psec,13.17 fV
721.1 psec,13.02 fV
726.1 psec,12.46 fV
731.1 psec,11.16 fV
736.1 psec,9.945 fV
741.1 psec,9.210 fV
746.1 psec,8.281 fV
751.1 psec,7.326 fV
756.1 psec,6.342 fV
761.1 psec,4.767 fV
766.1 psec,3.206 fV
771.1 psec,1.816 fV
776.1 psec,-55.74 aV
781.1 psec,-2.106 fV
786.1 psec,-3.695 fV
791.1 psec,-3.803 fV
796.1 psec,-2.675 fV
801.1 psec,-2.507 fV
806.1 psec,-3.418 fV
811.1 psec,-3.617 fV
816.1 psec,-2.793 fV
821.1 psec,-2.136 fV
826.1 psec,-2.485 fV
831.1 psec,-3.499 fV
836.1 psec,-3.706 fV
841.1 psec,-2.389 fV
846.1 psec,-1.566 fV
851.1 psec,-2.068 fV
856.1 psec,-2.675 fV
861.1 psec,-2.845 fV
866.1 psec,-1.760 fV
871.1 psec,70.27 aV
876.1 psec,1.038 fV
881.1 psec,364.2 aV
886.1 psec,-609.3 aV
891.1 psec,-559.6 aV
896.1 psec,458.7 aV
901.1 psec,815.2 aV
906.1 psec,-41.29 aV
911.1 psec,-1.293 fV
