"IB
References : ['IC.i']
Dependency : [IB]
Num. Points : [11]
Matrix Size : scalar
Type : Real","VCE
References : ['IC.i']
Dependency : [IB,VCE]
Num. Points : [11,301]
Matrix Size : scalar
Type : Real","IC.i
References : []
Dependency : [IB,VCE]
Num. Points : [11,301]
Matrix Size : scalar
Type : Real"
5.000E-6,0.000,21.49 uA
5.000E-6,0.020,-102.9 uA
5.000E-6,0.040,-293.0 uA
5.000E-6,0.060,-539.3 uA
5.000E-6,0.080,-802.6 uA
5.000E-6,0.100,-1.035 mA
5.000E-6,0.120,-1.206 mA
5.000E-6,0.140,-1.317 mA
5.000E-6,0.160,-1.382 mA
5.000E-6,0.180,-1.419 mA
5.000E-6,0.200,-1.440 mA
5.000E-6,0.220,-1.451 mA
5.000E-6,0.240,-1.457 mA
5.000E-6,0.260,-1.461 mA
5.000E-6,0.280,-1.463 mA
5.000E-6,0.300,-1.465 mA
5.000E-6,0.320,-1.466 mA
5.000E-6,0.340,-1.467 mA
5.000E-6,0.360,-1.468 mA
5.000E-6,0.380,-1.468 mA
5.000E-6,0.400,-1.469 mA
5.000E-6,0.420,-1.469 mA
5.000E-6,0.440,-1.470 mA
5.000E-6,0.460,-1.470 mA
5.000E-6,0.480,-1.471 mA
5.000E-6,0.500,-1.471 mA
5.000E-6,0.520,-1.472 mA
5.000E-6,0.540,-1.472 mA
5.000E-6,0.560,-1.473 mA
5.000E-6,0.580,-1.473 mA
5.000E-6,0.600,-1.474 mA
5.000E-6,0.620,-1.475 mA
5.000E-6,0.640,-1.475 mA
5.000E-6,0.660,-1.476 mA
5.000E-6,0.680,-1.476 mA
5.000E-6,0.700,-1.477 mA
5.000E-6,0.720,-1.477 mA
5.000E-6,0.740,-1.478 mA
5.000E-6,0.760,-1.478 mA
5.000E-6,0.780,-1.479 mA
5.000E-6,0.800,-1.479 mA
5.000E-6,0.820,-1.480 mA
5.000E-6,0.840,-1.480 mA
5.000E-6,0.860,-1.481 mA
5.000E-6,0.880,-1.481 mA
5.000E-6,0.900,-1.482 mA
5.000E-6,0.920,-1.482 mA
5.000E-6,0.940,-1.483 mA
5.000E-6,0.960,-1.483 mA
5.000E-6,0.980,-1.484 mA
5.000E-6,1.000,-1.484 mA
5.000E-6,1.020,-1.485 mA
5.000E-6,1.040,-1.485 mA
5.000E-6,1.060,-1.486 mA
5.000E-6,1.080,-1.486 mA
5.000E-6,1.100,-1.487 mA
5.000E-6,1.120,-1.487 mA
5.000E-6,1.140,-1.488 mA
5.000E-6,1.160,-1.488 mA
5.000E-6,1.180,-1.489 mA
5.000E-6,1.200,-1.489 mA
5.000E-6,1.220,-1.490 mA
5.000E-6,1.240,-1.490 mA
5.000E-6,1.260,-1.491 mA
5.000E-6,1.280,-1.491 mA
