"Vcc
References : ['dBm(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","harmindex
References : ['dBm(HB.Vout)']
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Integer","dBm(HB.Vout)
References : []
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Real"
5.000,0,<invalid>
5.000,1,-9.873
5.000,2,-18.892
5.000,3,-21.293
5.000,4,-41.035
5.000,5,-50.073
5.000,6,-81.175
5.000,7,-67.451
5.100,0,<invalid>
5.100,1,-9.620
5.100,2,-18.621
5.100,3,-20.979
5.100,4,-40.663
5.100,5,-49.672
5.100,6,-80.219
5.100,7,-67.097
5.200,0,<invalid>
5.200,1,-9.374
5.200,2,-18.360
5.200,3,-20.679
5.200,4,-40.305
5.200,5,-49.287
5.200,6,-79.227
5.200,7,-66.764
5.300,0,<invalid>
5.300,1,-9.136
5.300,2,-18.107
5.300,3,-20.392
5.300,4,-39.958
5.300,5,-48.916
5.300,6,-78.234
5.300,7,-66.449
5.400,0,<invalid>
5.400,1,-8.905
5.400,2,-17.863
5.400,3,-20.118
5.400,4,-39.623
5.400,5,-48.558
5.400,6,-77.259
5.400,7,-66.152
5.500,0,<invalid>
5.500,1,-8.680
5.500,2,-17.627
5.500,3,-19.855
5.500,4,-39.298
5.500,5,-48.213
5.500,6,-76.315
5.500,7,-65.871
5.600,0,<invalid>
5.600,1,-8.461
5.600,2,-17.398
5.600,3,-19.604
5.600,4,-38.982
5.600,5,-47.878
5.600,6,-75.407
5.600,7,-65.604
