"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.000,0.0000 sec,-63.71 mV
5.000,3.005 psec,-60.08 mV
5.000,6.009 psec,-56.71 mV
5.000,9.014 psec,-53.67 mV
5.000,12.02 psec,-51.00 mV
5.000,15.02 psec,-48.70 mV
5.000,18.03 psec,-46.80 mV
5.000,21.03 psec,-45.28 mV
5.000,24.04 psec,-44.11 mV
5.000,27.04 psec,-43.28 mV
5.000,30.05 psec,-42.72 mV
5.000,33.05 psec,-42.38 mV
5.000,36.06 psec,-42.21 mV
5.000,39.06 psec,-42.13 mV
5.000,42.07 psec,-42.07 mV
5.000,45.07 psec,-41.94 mV
5.000,48.07 psec,-41.66 mV
5.000,51.08 psec,-41.16 mV
5.000,54.08 psec,-40.35 mV
5.000,57.09 psec,-39.15 mV
5.000,60.09 psec,-37.48 mV
5.000,63.10 psec,-35.28 mV
5.000,66.10 psec,-32.49 mV
5.000,69.11 psec,-29.05 mV
5.000,72.11 psec,-24.91 mV
5.000,75.12 psec,-20.05 mV
5.000,78.12 psec,-14.43 mV
5.000,81.13 psec,-8.036 mV
5.000,84.13 psec,-872.8 uV
5.000,87.14 psec,7.052 mV
5.000,90.14 psec,15.71 mV
5.000,93.14 psec,25.07 mV
5.000,96.15 psec,35.06 mV
5.000,99.15 psec,45.61 mV
5.000,102.2 psec,56.61 mV
5.000,105.2 psec,67.94 mV
5.000,108.2 psec,79.46 mV
5.000,111.2 psec,91.00 mV
5.000,114.2 psec,102.4 mV
5.000,117.2 psec,113.4 mV
5.000,120.2 psec,123.9 mV
5.000,123.2 psec,133.7 mV
5.000,126.2 psec,142.4 mV
5.000,129.2 psec,150.1 mV
5.000,132.2 psec,156.4 mV
5.000,135.2 psec,161.3 mV
5.000,138.2 psec,164.6 mV
5.000,141.2 psec,166.3 mV
5.000,144.2 psec,166.3 mV
5.000,147.2 psec,164.6 mV
5.000,150.2 psec,161.3 mV
5.000,153.2 psec,156.5 mV
5.000,156.2 psec,150.1 mV
5.000,159.2 psec,142.5 mV
5.000,162.3 psec,133.8 mV
5.000,165.3 psec,124.0 mV
5.000,168.3 psec,113.5 mV
5.000,171.3 psec,102.4 mV
5.000,174.3 psec,90.93 mV
5.000,177.3 psec,79.28 mV
5.000,180.3 psec,67.65 mV
5.000,183.3 psec,56.21 mV
5.000,186.3 psec,45.14 mV
5.000,189.3 psec,34.58 mV
5.000,192.3 psec,24.67 mV
5.000,195.3 psec,15.51 mV
5.000,198.3 psec,7.176 mV
5.000,201.3 psec,-269.1 uV
5.000,204.3 psec,-6.802 mV
5.000,207.3 psec,-12.42 mV
5.000,210.3 psec,-17.16 mV
5.000,213.3 psec,-21.07 mV
5.000,216.3 psec,-24.22 mV
5.000,219.3 psec,-26.70 mV
5.000,222.3 psec,-28.62 mV
5.000,225.3 psec,-30.08 mV
5.000,228.4 psec,-31.22 mV
5.000,231.4 psec,-32.15 mV
5.000,234.4 psec,-32.98 mV
5.000,237.4 psec,-33.83 mV
5.000,240.4 psec,-34.78 mV
5.000,243.4 psec,-35.93 mV
