"freq
References : ['dB(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,-9.638
1.000 GHz,-9.638
1.001 GHz,-9.639
1.001 GHz,-9.640
1.001 GHz,-9.640
1.001 GHz,-9.641
1.002 GHz,-9.642
1.002 GHz,-9.643
1.002 GHz,-9.644
1.003 GHz,-9.645
1.003 GHz,-9.646
1.003 GHz,-9.647
1.003 GHz,-9.648
1.004 GHz,-9.649
1.004 GHz,-9.650
1.004 GHz,-9.651
1.004 GHz,-9.652
1.005 GHz,-9.653
1.005 GHz,-9.654
1.005 GHz,-9.655
1.006 GHz,-9.656
1.006 GHz,-9.657
1.006 GHz,-9.657
1.006 GHz,-9.658
1.007 GHz,-9.659
1.007 GHz,-9.660
1.007 GHz,-9.661
1.008 GHz,-9.661
1.008 GHz,-9.662
1.008 GHz,-9.662
1.008 GHz,-9.663
1.009 GHz,-9.663
1.009 GHz,-9.664
1.009 GHz,-9.664
1.010 GHz,-9.664
1.010 GHz,-9.664
1.010 GHz,-9.664
1.010 GHz,-9.664
1.011 GHz,-9.664
1.011 GHz,-9.663
1.011 GHz,-9.663
1.012 GHz,-9.663
1.012 GHz,-9.662
1.012 GHz,-9.661
1.012 GHz,-9.661
1.013 GHz,-9.660
1.013 GHz,-9.659
1.013 GHz,-9.659
1.014 GHz,-9.658
1.014 GHz,-9.657
1.014 GHz,-9.656
1.014 GHz,-9.655
1.015 GHz,-9.654
1.015 GHz,-9.653
1.015 GHz,-9.652
1.015 GHz,-9.651
1.016 GHz,-9.650
1.016 GHz,-9.649
1.016 GHz,-9.648
1.017 GHz,-9.647
1.017 GHz,-9.646
1.017 GHz,-9.645
1.017 GHz,-9.644
1.018 GHz,-9.643
1.018 GHz,-9.642
1.018 GHz,-9.641
1.019 GHz,-9.640
1.019 GHz,-9.639
1.019 GHz,-9.639
1.019 GHz,-9.638
1.020 GHz,-9.637
1.020 GHz,-9.636
1.020 GHz,-9.636
1.021 GHz,-9.635
1.021 GHz,-9.634
1.021 GHz,-9.634
1.021 GHz,-9.633
1.022 GHz,-9.633
1.022 GHz,-9.632
1.022 GHz,-9.631
1.022 GHz,-9.631
1.023 GHz,-9.630
1.023 GHz,-9.630
1.023 GHz,-9.629
1.024 GHz,-9.629
1.024 GHz,-9.628
1.024 GHz,-9.628
1.024 GHz,-9.627
1.025 GHz,-9.627
1.025 GHz,-9.626
1.025 GHz,-9.626
1.026 GHz,-9.625
1.026 GHz,-9.624
1.026 GHz,-9.624
1.026 GHz,-9.623
1.027 GHz,-9.623
1.027 GHz,-9.622
1.027 GHz,-9.622
1.028 GHz,-9.621
1.028 GHz,-9.621
1.028 GHz,-9.620
1.028 GHz,-9.619
1.029 GHz,-9.619
1.029 GHz,-9.618
1.029 GHz,-9.617
1.030 GHz,-9.617
1.030 GHz,-9.616
1.030 GHz,-9.615
1.030 GHz,-9.615
1.031 GHz,-9.614
1.031 GHz,-9.613
1.031 GHz,-9.612
1.032 GHz,-9.611
1.032 GHz,-9.610
1.032 GHz,-9.609
1.032 GHz,-9.608
1.033 GHz,-9.607
1.033 GHz,-9.606
1.033 GHz,-9.605
1.033 GHz,-9.604
1.034 GHz,-9.603
1.034 GHz,-9.602
1.034 GHz,-9.600
1.035 GHz,-9.599
1.035 GHz,-9.598
1.035 GHz,-9.597
1.035 GHz,-9.596
1.036 GHz,-9.595
1.036 GHz,-9.594
1.036 GHz,-9.593
1.037 GHz,-9.592
1.037 GHz,-9.591
1.037 GHz,-9.590
1.037 GHz,-9.590
1.038 GHz,-9.589
1.038 GHz,-9.588
1.038 GHz,-9.587
1.039 GHz,-9.587
1.039 GHz,-9.586
1.039 GHz,-9.586
1.039 GHz,-9.585
1.040 GHz,-9.585
1.040 GHz,-9.584
1.040 GHz,-9.584
1.040 GHz,-9.584
1.041 GHz,-9.584
1.041 GHz,-9.584
1.041 GHz,-9.584
1.042 GHz,-9.585
1.042 GHz,-9.585
1.042 GHz,-9.586
1.042 GHz,-9.586
1.043 GHz,-9.587
1.043 GHz,-9.588
1.043 GHz,-9.588
1.044 GHz,-9.589
1.044 GHz,-9.590
1.044 GHz,-9.591
1.044 GHz,-9.591
1.045 GHz,-9.592
1.045 GHz,-9.593
1.045 GHz,-9.594
1.046 GHz,-9.595
1.046 GHz,-9.595
1.046 GHz,-9.596
1.046 GHz,-9.597
1.047 GHz,-9.597
1.047 GHz,-9.598
1.047 GHz,-9.598
1.048 GHz,-9.599
1.048 GHz,-9.599
1.048 GHz,-9.599
1.048 GHz,-9.599
1.049 GHz,-9.599
1.049 GHz,-9.599
1.049 GHz,-9.599
1.050 GHz,-9.599
1.050 GHz,-9.598
1.050 GHz,-9.597
1.050 GHz,-9.597
1.051 GHz,-9.596
1.051 GHz,-9.595
1.051 GHz,-9.593
1.051 GHz,-9.592
1.052 GHz,-9.591
1.052 GHz,-9.589
1.052 GHz,-9.588
1.053 GHz,-9.586
1.053 GHz,-9.585
1.053 GHz,-9.583
