"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,-131.566
1.000 GHz,-131.531
1.001 GHz,-131.496
1.001 GHz,-131.461
1.001 GHz,-131.426
1.001 GHz,-131.391
1.002 GHz,-131.357
1.002 GHz,-131.322
1.002 GHz,-131.288
1.003 GHz,-131.254
1.003 GHz,-131.220
1.003 GHz,-131.186
1.003 GHz,-131.152
1.004 GHz,-131.119
1.004 GHz,-131.085
1.004 GHz,-131.052
1.004 GHz,-131.019
1.005 GHz,-130.986
1.005 GHz,-130.953
1.005 GHz,-130.921
1.006 GHz,-130.888
1.006 GHz,-130.856
1.006 GHz,-130.824
1.006 GHz,-130.791
1.007 GHz,-130.760
1.007 GHz,-130.728
1.007 GHz,-130.696
1.008 GHz,-130.665
1.008 GHz,-130.634
1.008 GHz,-130.603
1.008 GHz,-130.572
1.009 GHz,-130.541
1.009 GHz,-130.511
1.009 GHz,-130.481
1.010 GHz,-130.451
1.010 GHz,-130.421
1.010 GHz,-130.391
1.010 GHz,-130.362
1.011 GHz,-130.333
1.011 GHz,-130.304
1.011 GHz,-130.276
1.012 GHz,-130.248
1.012 GHz,-130.221
1.012 GHz,-130.193
1.012 GHz,-130.166
1.013 GHz,-130.139
1.013 GHz,-130.113
1.013 GHz,-130.086
1.014 GHz,-130.060
1.014 GHz,-130.034
1.014 GHz,-130.008
1.014 GHz,-129.983
1.015 GHz,-129.957
1.015 GHz,-129.931
1.015 GHz,-129.906
1.015 GHz,-129.880
1.016 GHz,-129.855
1.016 GHz,-129.830
1.016 GHz,-129.804
1.017 GHz,-129.779
1.017 GHz,-129.753
1.017 GHz,-129.728
1.017 GHz,-129.702
1.018 GHz,-129.677
1.018 GHz,-129.651
1.018 GHz,-129.625
1.019 GHz,-129.599
1.019 GHz,-129.573
1.019 GHz,-129.546
1.019 GHz,-129.520
1.020 GHz,-129.493
1.020 GHz,-129.466
1.020 GHz,-129.438
1.021 GHz,-129.411
1.021 GHz,-129.384
1.021 GHz,-129.356
1.021 GHz,-129.329
1.022 GHz,-129.301
1.022 GHz,-129.274
1.022 GHz,-129.246
1.022 GHz,-129.218
1.023 GHz,-129.190
1.023 GHz,-129.163
1.023 GHz,-129.135
1.024 GHz,-129.107
1.024 GHz,-129.079
1.024 GHz,-129.051
1.024 GHz,-129.023
1.025 GHz,-128.995
1.025 GHz,-128.967
1.025 GHz,-128.938
1.026 GHz,-128.910
1.026 GHz,-128.882
1.026 GHz,-128.854
1.026 GHz,-128.825
1.027 GHz,-128.797
1.027 GHz,-128.769
1.027 GHz,-128.740
1.028 GHz,-128.712
1.028 GHz,-128.683
1.028 GHz,-128.655
1.028 GHz,-128.626
1.029 GHz,-128.597
1.029 GHz,-128.569
1.029 GHz,-128.540
1.030 GHz,-128.511
1.030 GHz,-128.483
1.030 GHz,-128.454
1.030 GHz,-128.425
1.031 GHz,-128.396
1.031 GHz,-128.366
1.031 GHz,-128.336
1.032 GHz,-128.306
1.032 GHz,-128.276
1.032 GHz,-128.246
1.032 GHz,-128.216
1.033 GHz,-128.185
1.033 GHz,-128.155
1.033 GHz,-128.124
1.033 GHz,-128.094
1.034 GHz,-128.063
1.034 GHz,-128.032
1.034 GHz,-128.002
1.035 GHz,-127.971
1.035 GHz,-127.940
1.035 GHz,-127.910
1.035 GHz,-127.880
1.036 GHz,-127.849
1.036 GHz,-127.819
1.036 GHz,-127.789
1.037 GHz,-127.759
1.037 GHz,-127.730
1.037 GHz,-127.701
1.037 GHz,-127.671
1.038 GHz,-127.643
1.038 GHz,-127.614
1.038 GHz,-127.586
1.039 GHz,-127.558
1.039 GHz,-127.530
1.039 GHz,-127.503
1.039 GHz,-127.476
1.040 GHz,-127.450
1.040 GHz,-127.424
1.040 GHz,-127.398
1.040 GHz,-127.372
1.041 GHz,-127.347
1.041 GHz,-127.322
1.041 GHz,-127.298
1.042 GHz,-127.273
1.042 GHz,-127.249
1.042 GHz,-127.225
1.042 GHz,-127.201
1.043 GHz,-127.177
1.043 GHz,-127.154
1.043 GHz,-127.130
1.044 GHz,-127.107
1.044 GHz,-127.084
1.044 GHz,-127.061
1.044 GHz,-127.039
1.045 GHz,-127.016
1.045 GHz,-126.994
1.045 GHz,-126.972
1.046 GHz,-126.950
1.046 GHz,-126.928
1.046 GHz,-126.907
1.046 GHz,-126.885
1.047 GHz,-126.864
1.047 GHz,-126.843
1.047 GHz,-126.822
1.048 GHz,-126.801
1.048 GHz,-126.780
1.048 GHz,-126.760
1.048 GHz,-126.739
1.049 GHz,-126.719
1.049 GHz,-126.699
1.049 GHz,-126.679
1.050 GHz,-126.659
1.050 GHz,-126.639
1.050 GHz,-126.619
1.050 GHz,-126.600
1.051 GHz,-126.581
1.051 GHz,-126.562
1.051 GHz,-126.545
1.051 GHz,-126.527
1.052 GHz,-126.510
1.052 GHz,-126.493
1.052 GHz,-126.477
1.053 GHz,-126.460
1.053 GHz,-126.444
1.053 GHz,-126.429
1.053 GHz,-126.413
1.054 GHz,-126.398
1.054 GHz,-126.382
1.054 GHz,-126.367
1.055 GHz,-126.352
1.055 GHz,-126.337
1.055 GHz,-126.322
1.055 GHz,-126.306
1.056 GHz,-126.291
1.056 GHz,-126.276
1.056 GHz,-126.260
1.057 GHz,-126.244
1.057 GHz,-126.228
1.057 GHz,-126.212
1.057 GHz,-126.195
1.058 GHz,-126.178
1.058 GHz,-126.161
1.058 GHz,-126.144
1.058 GHz,-126.126
1.059 GHz,-126.107
1.059 GHz,-126.088
1.059 GHz,-126.069
1.060 GHz,-126.049
1.060 GHz,-126.028
1.060 GHz,-126.007
1.060 GHz,-125.985
1.061 GHz,-125.963
1.061 GHz,-125.939
1.061 GHz,-125.916
1.062 GHz,-125.892
1.062 GHz,-125.867
1.062 GHz,-125.842
1.062 GHz,-125.817
1.063 GHz,-125.791
1.063 GHz,-125.765
1.063 GHz,-125.739
1.064 GHz,-125.712
1.064 GHz,-125.686
1.064 GHz,-125.659
1.064 GHz,-125.632
1.065 GHz,-125.605
1.065 GHz,-125.578
1.065 GHz,-125.550
1.066 GHz,-125.523
1.066 GHz,-125.496
1.066 GHz,-125.470
1.066 GHz,-125.443
1.067 GHz,-125.416
1.067 GHz,-125.390
1.067 GHz,-125.364
1.067 GHz,-125.338
1.068 GHz,-125.313
1.068 GHz,-125.288
1.068 GHz,-125.263
1.069 GHz,-125.239
1.069 GHz,-125.215
1.069 GHz,-125.192
1.069 GHz,-125.169
1.070 GHz,-125.147
1.070 GHz,-125.126
1.070 GHz,-125.105
1.071 GHz,-125.084
1.071 GHz,-125.063
1.071 GHz,-125.043
1.071 GHz,-125.023
1.072 GHz,-125.004
1.072 GHz,-124.984
1.072 GHz,-124.965
1.073 GHz,-124.946
1.073 GHz,-124.928
1.073 GHz,-124.909
1.073 GHz,-124.891
1.074 GHz,-124.873
1.074 GHz,-124.855
1.074 GHz,-124.837
1.075 GHz,-124.820
1.075 GHz,-124.802
1.075 GHz,-124.785
1.075 GHz,-124.768
1.076 GHz,-124.752
1.076 GHz,-124.735
1.076 GHz,-124.718
1.077 GHz,-124.702
1.077 GHz,-124.686
1.077 GHz,-124.669
1.077 GHz,-124.653
1.078 GHz,-124.637
1.078 GHz,-124.621
1.078 GHz,-124.606
1.078 GHz,-124.590
1.079 GHz,-124.574
1.079 GHz,-124.559
1.079 GHz,-124.543
1.080 GHz,-124.528
1.080 GHz,-124.512
1.080 GHz,-124.497
1.080 GHz,-124.482
1.081 GHz,-124.467
1.081 GHz,-124.452
1.081 GHz,-124.438
1.082 GHz,-124.423
1.082 GHz,-124.409
1.082 GHz,-124.396
1.082 GHz,-124.382
1.083 GHz,-124.368
1.083 GHz,-124.355
1.083 GHz,-124.342
1.084 GHz,-124.329
1.084 GHz,-124.316
1.084 GHz,-124.303
1.084 GHz,-124.290
1.085 GHz,-124.277
1.085 GHz,-124.264
1.085 GHz,-124.252
1.085 GHz,-124.239
1.086 GHz,-124.226
1.086 GHz,-124.214
1.086 GHz,-124.201
1.087 GHz,-124.188
1.087 GHz,-124.175
1.087 GHz,-124.163
1.087 GHz,-124.150
1.088 GHz,-124.137
1.088 GHz,-124.124
1.088 GHz,-124.110
1.089 GHz,-124.097
1.089 GHz,-124.083
1.089 GHz,-124.070
1.089 GHz,-124.056
1.090 GHz,-124.042
1.090 GHz,-124.028
1.090 GHz,-124.013
1.091 GHz,-123.999
1.091 GHz,-123.984
1.091 GHz,-123.970
1.091 GHz,-123.955
1.092 GHz,-123.941
1.092 GHz,-123.926
1.092 GHz,-123.911
1.093 GHz,-123.896
1.093 GHz,-123.881
1.093 GHz,-123.867
1.093 GHz,-123.852
1.094 GHz,-123.837
1.094 GHz,-123.821
1.094 GHz,-123.806
1.095 GHz,-123.791
1.095 GHz,-123.776
1.095 GHz,-123.761
1.095 GHz,-123.746
1.096 GHz,-123.730
1.096 GHz,-123.715
1.096 GHz,-123.700
1.096 GHz,-123.684
1.097 GHz,-123.669
1.097 GHz,-123.654
1.097 GHz,-123.638
1.098 GHz,-123.623
1.098 GHz,-123.607
1.098 GHz,-123.592
1.098 GHz,-123.576
1.099 GHz,-123.561
1.099 GHz,-123.545
1.099 GHz,-123.529
1.100 GHz,-123.514
1.100 GHz,-123.498
1.100 GHz,-123.483
1.100 GHz,-123.467
1.101 GHz,-123.451
1.101 GHz,-123.436
1.101 GHz,-123.420
1.102 GHz,-123.404
1.102 GHz,-123.388
1.102 GHz,-123.372
1.102 GHz,-123.356
1.103 GHz,-123.340
1.103 GHz,-123.324
1.103 GHz,-123.307
1.103 GHz,-123.291
1.104 GHz,-123.275
1.104 GHz,-123.259
1.104 GHz,-123.243
1.105 GHz,-123.226
1.105 GHz,-123.210
1.105 GHz,-123.194
1.105 GHz,-123.178
1.106 GHz,-123.161
1.106 GHz,-123.145
1.106 GHz,-123.129
1.107 GHz,-123.113
1.107 GHz,-123.097
1.107 GHz,-123.081
1.107 GHz,-123.065
1.108 GHz,-123.049
1.108 GHz,-123.033
1.108 GHz,-123.017
1.109 GHz,-123.001
1.109 GHz,-122.985
1.109 GHz,-122.969
1.109 GHz,-122.954
1.110 GHz,-122.938
1.110 GHz,-122.922
1.110 GHz,-122.907
1.111 GHz,-122.891
1.111 GHz,-122.875
1.111 GHz,-122.858
1.111 GHz,-122.842
1.112 GHz,-122.825
1.112 GHz,-122.808
1.112 GHz,-122.792
1.113 GHz,-122.775
1.113 GHz,-122.758
1.113 GHz,-122.741
1.113 GHz,-122.724
1.114 GHz,-122.707
1.114 GHz,-122.690
1.114 GHz,-122.673
1.114 GHz,-122.656
1.115 GHz,-122.639
1.115 GHz,-122.623
1.115 GHz,-122.606
1.116 GHz,-122.590
1.116 GHz,-122.574
1.116 GHz,-122.559
1.116 GHz,-122.543
1.117 GHz,-122.528
1.117 GHz,-122.513
1.117 GHz,-122.499
1.118 GHz,-122.485
1.118 GHz,-122.471
1.118 GHz,-122.457
1.118 GHz,-122.445
1.119 GHz,-122.432
1.119 GHz,-122.420
1.119 GHz,-122.409
1.120 GHz,-122.398
1.120 GHz,-122.387
1.120 GHz,-122.378
1.120 GHz,-122.369
1.121 GHz,-122.360
1.121 GHz,-122.353
1.121 GHz,-122.345
1.121 GHz,-122.339
1.122 GHz,-122.333
1.122 GHz,-122.327
1.122 GHz,-122.322
1.123 GHz,-122.318
1.123 GHz,-122.313
1.123 GHz,-122.309
1.123 GHz,-122.306
1.124 GHz,-122.303
1.124 GHz,-122.299
1.124 GHz,-122.297
1.125 GHz,-122.294
1.125 GHz,-122.292
1.125 GHz,-122.289
1.125 GHz,-122.287
1.126 GHz,-122.285
1.126 GHz,-122.282
1.126 GHz,-122.280
1.127 GHz,-122.277
1.127 GHz,-122.275
1.127 GHz,-122.272
1.127 GHz,-122.270
1.128 GHz,-122.267
1.128 GHz,-122.263
1.128 GHz,-122.260
1.129 GHz,-122.256
1.129 GHz,-122.252
1.129 GHz,-122.247
1.129 GHz,-122.242
1.130 GHz,-122.236
1.130 GHz,-122.230
1.130 GHz,-122.224
1.131 GHz,-122.218
1.131 GHz,-122.211
1.131 GHz,-122.204
1.131 GHz,-122.197
1.132 GHz,-122.190
1.132 GHz,-122.182
1.132 GHz,-122.175
1.132 GHz,-122.167
1.133 GHz,-122.159
1.133 GHz,-122.151
1.133 GHz,-122.143
1.134 GHz,-122.135
1.134 GHz,-122.127
1.134 GHz,-122.119
1.134 GHz,-122.110
1.135 GHz,-122.102
1.135 GHz,-122.093
1.135 GHz,-122.085
1.136 GHz,-122.076
1.136 GHz,-122.067
1.136 GHz,-122.058
1.136 GHz,-122.049
1.137 GHz,-122.040
1.137 GHz,-122.031
1.137 GHz,-122.022
1.138 GHz,-122.013
1.138 GHz,-122.004
1.138 GHz,-121.994
1.138 GHz,-121.985
1.139 GHz,-121.976
1.139 GHz,-121.967
1.139 GHz,-121.958
1.139 GHz,-121.948
1.140 GHz,-121.939
1.140 GHz,-121.930
1.140 GHz,-121.920
1.141 GHz,-121.911
1.141 GHz,-121.901
1.141 GHz,-121.891
1.141 GHz,-121.881
1.142 GHz,-121.870
1.142 GHz,-121.860
1.142 GHz,-121.849
1.143 GHz,-121.838
1.143 GHz,-121.827
1.143 GHz,-121.816
1.143 GHz,-121.805
1.144 GHz,-121.794
1.144 GHz,-121.783
1.144 GHz,-121.772
1.145 GHz,-121.761
1.145 GHz,-121.750
1.145 GHz,-121.739
1.145 GHz,-121.728
1.146 GHz,-121.717
1.146 GHz,-121.706
1.146 GHz,-121.695
1.147 GHz,-121.685
1.147 GHz,-121.675
1.147 GHz,-121.664
1.147 GHz,-121.655
1.148 GHz,-121.645
1.148 GHz,-121.635
1.148 GHz,-121.626
1.149 GHz,-121.617
1.149 GHz,-121.608
1.149 GHz,-121.600
1.149 GHz,-121.592
1.150 GHz,-121.584
1.150 GHz,-121.577
1.150 GHz,-121.570
1.150 GHz,-121.563
1.151 GHz,-121.557
1.151 GHz,-121.550
1.151 GHz,-121.544
1.152 GHz,-121.539
1.152 GHz,-121.533
1.152 GHz,-121.528
1.152 GHz,-121.523
1.153 GHz,-121.518
1.153 GHz,-121.514
1.153 GHz,-121.509
1.154 GHz,-121.505
1.154 GHz,-121.501
1.154 GHz,-121.497
1.154 GHz,-121.493
1.155 GHz,-121.489
1.155 GHz,-121.486
1.155 GHz,-121.482
1.156 GHz,-121.478
1.156 GHz,-121.475
1.156 GHz,-121.472
1.156 GHz,-121.468
1.157 GHz,-121.465
1.157 GHz,-121.462
1.157 GHz,-121.458
1.157 GHz,-121.455
1.158 GHz,-121.452
1.158 GHz,-121.448
1.158 GHz,-121.445
1.159 GHz,-121.441
1.159 GHz,-121.438
1.159 GHz,-121.434
1.159 GHz,-121.430
1.160 GHz,-121.427
1.160 GHz,-121.423
1.160 GHz,-121.419
1.161 GHz,-121.415
1.161 GHz,-121.411
