"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.850 GHz,-4.856
2.850 GHz,-0.706
2.851 GHz,-12.041
2.852 GHz,<invalid>
2.852 GHz,-5.051
2.853 GHz,<invalid>
2.853 GHz,-6.990
2.853 GHz,-15.563
2.854 GHz,-2.499
2.854 GHz,-3.259
2.855 GHz,-3.010
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.857 GHz,-12.304
2.857 GHz,-3.010
2.857 GHz,-12.041
2.858 GHz,-5.315
2.858 GHz,6.284
2.859 GHz,-0.263
2.860 GHz,0.000
2.860 GHz,-3.259
2.861 GHz,-6.021
2.861 GHz,6.284
2.861 GHz,-6.021
2.862 GHz,-12.041
2.862 GHz,6.021
2.863 GHz,1.169
2.864 GHz,-1.871
2.864 GHz,6.284
2.865 GHz,6.990
2.865 GHz,-7.696
2.865 GHz,3.522
2.866 GHz,-13.010
2.866 GHz,-3.010
2.867 GHz,0.067
2.868 GHz,-1.871
2.868 GHz,-5.825
2.869 GHz,-0.107
2.869 GHz,-0.196
2.869 GHz,6.021
2.870 GHz,0.693
2.870 GHz,-6.726
2.871 GHz,-12.041
2.872 GHz,6.021
2.872 GHz,-6.021
2.873 GHz,-3.668
2.873 GHz,-5.051
2.873 GHz,-12.041
2.874 GHz,-8.169
2.874 GHz,-3.522
2.875 GHz,-3.522
2.876 GHz,<invalid>
2.876 GHz,-6.021
2.877 GHz,<invalid>
2.877 GHz,-6.021
2.877 GHz,<invalid>
2.878 GHz,0.263
2.878 GHz,0.067
2.879 GHz,-6.021
2.880 GHz,7.959
2.880 GHz,<invalid>
2.881 GHz,-6.726
2.881 GHz,-10.107
2.881 GHz,-12.041
2.882 GHz,0.000
2.882 GHz,<invalid>
2.883 GHz,0.000
2.884 GHz,2.583
2.884 GHz,-6.021
2.885 GHz,-6.990
2.885 GHz,<invalid>
2.885 GHz,-7.093
2.886 GHz,-6.284
2.886 GHz,-6.021
2.887 GHz,<invalid>
2.888 GHz,-5.051
2.888 GHz,-13.010
2.889 GHz,0.565
2.889 GHz,0.308
2.889 GHz,<invalid>
2.890 GHz,<invalid>
2.890 GHz,<invalid>
2.891 GHz,6.021
2.892 GHz,-0.969
2.892 GHz,7.959
2.893 GHz,-6.021
2.893 GHz,-20.000
2.893 GHz,0.000
2.894 GHz,-9.542
2.894 GHz,3.522
2.895 GHz,-1.871
2.896 GHz,-6.990
2.896 GHz,-6.021
2.897 GHz,-6.284
2.897 GHz,-6.021
2.897 GHz,6.021
2.898 GHz,<invalid>
2.898 GHz,<invalid>
2.899 GHz,<invalid>
2.900 GHz,-3.522
2.900 GHz,<invalid>
2.901 GHz,6.990
