"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.850 GHz,42.274
2.850 GHz,40.601
2.851 GHz,0.000
2.852 GHz,<invalid>
2.852 GHz,26.565
2.853 GHz,0.000
2.853 GHz,26.565
2.853 GHz,180.000
2.854 GHz,0.000
2.854 GHz,-75.964
2.855 GHz,45.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.857 GHz,75.964
2.857 GHz,-45.000
2.857 GHz,0.000
2.858 GHz,40.601
2.858 GHz,-75.964
2.859 GHz,14.036
2.860 GHz,180.000
2.860 GHz,104.036
2.861 GHz,0.000
2.861 GHz,-75.964
2.861 GHz,0.000
2.862 GHz,90.000
2.862 GHz,0.000
2.863 GHz,46.042
2.864 GHz,-29.745
2.864 GHz,104.036
2.865 GHz,63.435
2.865 GHz,-50.906
2.865 GHz,0.000
2.866 GHz,-63.435
2.866 GHz,-45.000
2.867 GHz,7.125
2.868 GHz,43.995
2.868 GHz,-46.219
2.869 GHz,32.905
2.869 GHz,-6.911
2.869 GHz,0.000
2.870 GHz,16.504
2.870 GHz,-40.601
2.871 GHz,180.000
2.872 GHz,180.000
2.872 GHz,0.000
2.873 GHz,46.042
2.873 GHz,26.565
2.873 GHz,0.000
2.874 GHz,-14.470
2.874 GHz,90.000
2.875 GHz,90.000
2.876 GHz,0.000
2.876 GHz,0.000
2.877 GHz,0.000
2.877 GHz,180.000
2.877 GHz,0.000
2.878 GHz,14.036
2.878 GHz,7.125
2.879 GHz,53.130
2.880 GHz,-53.130
2.880 GHz,<invalid>
2.881 GHz,-12.529
2.881 GHz,51.340
2.881 GHz,0.000
2.882 GHz,53.130
2.882 GHz,0.000
2.883 GHz,0.000
2.884 GHz,31.329
2.884 GHz,0.000
2.885 GHz,26.565
2.885 GHz,<invalid>
2.885 GHz,-8.130
2.886 GHz,14.036
2.886 GHz,0.000
2.887 GHz,0.000
2.888 GHz,-63.435
2.888 GHz,63.435
2.889 GHz,38.660
2.889 GHz,6.520
2.889 GHz,0.000
2.890 GHz,0.000
2.890 GHz,<invalid>
2.891 GHz,180.000
2.892 GHz,63.435
2.892 GHz,0.000
2.893 GHz,180.000
2.893 GHz,53.130
2.893 GHz,90.000
2.894 GHz,0.000
2.894 GHz,180.000
2.895 GHz,43.995
2.896 GHz,26.565
2.896 GHz,0.000
2.897 GHz,-14.036
2.897 GHz,180.000
2.897 GHz,-90.000
2.898 GHz,<invalid>
2.898 GHz,<invalid>
2.899 GHz,0.000
2.900 GHz,0.000
2.900 GHz,<invalid>
2.901 GHz,-116.565
2.901 GHz,0.000
2.901 GHz,<invalid>
2.902 GHz,<invalid>
2.902 GHz,18.435
2.903 GHz,<invalid>
2.904 GHz,116.565
2.904 GHz,0.000
2.905 GHz,53.130
2.905 GHz,-104.036
2.905 GHz,0.000
2.906 GHz,-11.094
2.906 GHz,<invalid>
2.907 GHz,-22.834
2.908 GHz,-104.036
2.908 GHz,7.125
2.909 GHz,12.529
2.909 GHz,0.000
2.909 GHz,90.000
2.910 GHz,53.130
2.910 GHz,<invalid>
2.911 GHz,-36.870
2.912 GHz,-75.964
2.912 GHz,116.565
2.913 GHz,<invalid>
2.913 GHz,0.000
2.913 GHz,26.565
2.914 GHz,0.000
2.914 GHz,75.964
2.915 GHz,-26.565
2.916 GHz,-28.072
2.916 GHz,-126.870
2.917 GHz,0.000
2.917 GHz,180.000
2.917 GHz,-6.009
2.918 GHz,0.000
2.918 GHz,180.000
2.919 GHz,104.036
2.920 GHz,0.000
2.920 GHz,<invalid>
2.921 GHz,0.000
2.921 GHz,<invalid>
2.921 GHz,2.361
2.922 GHz,11.310
2.922 GHz,12.529
2.923 GHz,0.000
2.924 GHz,14.036
2.924 GHz,<invalid>
2.925 GHz,14.036
2.925 GHz,-90.000
2.925 GHz,-75.964
2.926 GHz,90.000
2.926 GHz,0.000
2.927 GHz,26.565
2.928 GHz,104.036
2.928 GHz,0.000
2.929 GHz,12.529
2.929 GHz,24.775
2.929 GHz,12.529
2.930 GHz,0.000
2.930 GHz,180.000
2.931 GHz,63.435
2.932 GHz,0.000
2.932 GHz,0.000
2.933 GHz,-13.431
2.933 GHz,0.000
2.933 GHz,3.318
2.934 GHz,0.000
2.934 GHz,3.549
2.935 GHz,57.995
2.936 GHz,0.000
2.936 GHz,27.150
2.937 GHz,-9.181
2.937 GHz,97.125
2.938 GHz,17.613
2.938 GHz,57.995
2.938 GHz,-75.964
2.939 GHz,97.125
2.939 GHz,0.000
2.940 GHz,97.125
2.941 GHz,0.000
2.941 GHz,<invalid>
2.942 GHz,82.875
2.942 GHz,0.000
2.942 GHz,6.009
2.943 GHz,110.556
2.943 GHz,0.000
2.944 GHz,45.000
2.945 GHz,93.576
2.945 GHz,0.000
2.946 GHz,-9.181
2.946 GHz,0.000
2.946 GHz,0.000
2.947 GHz,-48.814
2.947 GHz,0.000
2.948 GHz,0.000
2.949 GHz,6.520
2.949 GHz,-3.417
2.950 GHz,82.875
2.950 GHz,82.875
2.950 GHz,0.000
2.951 GHz,0.000
2.951 GHz,180.000
2.952 GHz,-3.318
2.953 GHz,107.354
2.953 GHz,0.000
2.954 GHz,-6.520
2.954 GHz,180.000
2.954 GHz,75.964
2.955 GHz,0.000
2.955 GHz,-11.449
2.956 GHz,0.000
2.957 GHz,0.000
2.957 GHz,0.000
2.958 GHz,0.000
2.958 GHz,90.000
2.958 GHz,-57.995
2.959 GHz,0.000
2.959 GHz,0.000
2.960 GHz,14.651
2.961 GHz,1.739
2.961 GHz,-14.036
2.962 GHz,-17.110
2.962 GHz,71.030
2.962 GHz,21.523
2.963 GHz,3.359
2.963 GHz,0.000
2.964 GHz,0.000
2.965 GHz,0.000
2.965 GHz,-90.000
2.966 GHz,0.000
2.966 GHz,72.442
2.966 GHz,0.000
2.967 GHz,0.000
2.967 GHz,0.000
2.968 GHz,-90.000
2.969 GHz,3.458
2.969 GHz,-79.380
2.970 GHz,-79.380
2.970 GHz,15.291
2.970 GHz,0.000
2.971 GHz,-81.119
2.971 GHz,-56.725
2.972 GHz,-18.800
2.973 GHz,3.576
2.973 GHz,-3.525
2.974 GHz,72.646
2.974 GHz,-3.576
2.974 GHz,0.000
2.975 GHz,0.000
2.975 GHz,-79.380
2.976 GHz,9.211
2.977 GHz,-3.417
2.977 GHz,0.000
2.978 GHz,<invalid>
2.978 GHz,-57.995
2.978 GHz,17.969
2.979 GHz,0.000
