"indep(__d, 1)
References : ['plot_vs(pnmx, noisefreq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(pnmx, noisefreq)
References : []
Dependency : []
Num. Points : [61]
Matrix Size : scalar
Type : Real"
1.000  Hz,5.776
1.259  Hz,2.781
1.585  Hz,-0.214
1.995  Hz,-3.210
2.512  Hz,-6.205
3.162  Hz,-9.200
3.981  Hz,-12.195
5.012  Hz,-15.189
6.310  Hz,-18.182
7.943  Hz,-21.173
10.00  Hz,-24.163
12.59  Hz,-27.150
15.85  Hz,-30.133
19.95  Hz,-33.113
25.12  Hz,-36.088
31.62  Hz,-39.056
39.81  Hz,-42.017
50.12  Hz,-44.969
63.10  Hz,-47.908
79.43  Hz,-50.833
100.0  Hz,-53.740
125.9  Hz,-56.626
158.5  Hz,-59.487
199.5  Hz,-62.318
251.2  Hz,-65.114
316.2  Hz,-67.870
398.1  Hz,-70.582
501.2  Hz,-73.244
631.0  Hz,-75.852
794.3  Hz,-78.405
1.000 kHz,-80.900
1.259 kHz,-83.339
1.585 kHz,-85.721
1.995 kHz,-88.051
2.512 kHz,-90.332
3.162 kHz,-92.570
3.981 kHz,-94.768
5.012 kHz,-96.932
6.310 kHz,-99.067
7.943 kHz,-101.177
10.00 kHz,-103.266
12.59 kHz,-105.339
15.85 kHz,-107.397
19.95 kHz,-109.444
25.12 kHz,-111.482
31.62 kHz,-113.512
39.81 kHz,-115.536
50.12 kHz,-117.555
63.10 kHz,-119.570
79.43 kHz,-121.582
100.0 kHz,-123.592
125.9 kHz,-125.599
158.5 kHz,-127.605
199.5 kHz,-129.609
251.2 kHz,-131.611
316.2 kHz,-133.613
398.1 kHz,-135.613
501.2 kHz,-137.611
631.0 kHz,-139.607
794.3 kHz,-141.599
1.000 MHz,-143.586
