"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
50.00 fsec,0.0000 V
100.0 fsec,0.0000 V
250.0 fsec,0.0000 V
700.0 fsec,0.0000 V
2.050 psec,0.0000 V
6.100 psec,0.0000 V
11.10 psec,0.0000 V
16.10 psec,0.0000 V
21.10 psec,0.0000 V
26.10 psec,0.0000 V
31.10 psec,0.0000 V
36.10 psec,0.0000 V
41.10 psec,0.0000 V
46.10 psec,0.0000 V
51.10 psec,0.0000 V
56.10 psec,0.0000 V
61.10 psec,0.0000 V
66.10 psec,0.0000 V
71.10 psec,0.0000 V
76.10 psec,0.0000 V
81.10 psec,0.0000 V
86.10 psec,0.0000 V
91.10 psec,0.0000 V
96.10 psec,0.0000 V
101.1 psec,0.0000 V
106.1 psec,0.0000 V
111.1 psec,0.0000 V
116.1 psec,0.0000 V
121.1 psec,0.0000 V
126.1 psec,0.0000 V
131.1 psec,0.0000 V
136.1 psec,0.0000 V
141.1 psec,0.0000 V
146.1 psec,0.0000 V
151.1 psec,0.0000 V
156.1 psec,0.0000 V
161.1 psec,0.0000 V
166.1 psec,0.0000 V
171.1 psec,0.0000 V
176.1 psec,0.0000 V
181.1 psec,0.0000 V
186.1 psec,0.0000 V
191.1 psec,0.0000 V
196.1 psec,0.0000 V
201.1 psec,0.0000 V
206.1 psec,0.0000 V
211.1 psec,0.0000 V
216.1 psec,0.0000 V
221.1 psec,0.0000 V
226.1 psec,0.0000 V
231.1 psec,0.0000 V
236.1 psec,0.0000 V
241.1 psec,0.0000 V
246.1 psec,0.0000 V
251.1 psec,0.0000 V
256.1 psec,0.0000 V
261.1 psec,0.0000 V
266.1 psec,0.0000 V
271.1 psec,0.0000 V
276.1 psec,0.0000 V
281.1 psec,0.0000 V
286.1 psec,0.0000 V
291.1 psec,0.0000 V
296.1 psec,0.0000 V
301.1 psec,0.0000 V
306.1 psec,0.0000 V
311.1 psec,0.0000 V
316.1 psec,0.0000 V
321.1 psec,0.0000 V
326.1 psec,0.0000 V
331.1 psec,0.0000 V
336.1 psec,0.0000 V
341.1 psec,0.0000 V
346.1 psec,0.0000 V
351.1 psec,0.0000 V
356.1 psec,0.0000 V
361.1 psec,0.0000 V
366.1 psec,0.0000 V
371.1 psec,0.0000 V
376.1 psec,0.0000 V
381.1 psec,0.0000 V
386.1 psec,0.0000 V
391.1 psec,0.0000 V
396.1 psec,0.0000 V
401.1 psec,0.0000 V
406.1 psec,0.0000 V
411.1 psec,0.0000 V
416.1 psec,0.0000 V
421.1 psec,0.0000 V
426.1 psec,0.0000 V
431.1 psec,0.0000 V
436.1 psec,0.0000 V
441.1 psec,0.0000 V
446.1 psec,0.0000 V
451.1 psec,0.0000 V
456.1 psec,0.0000 V
461.1 psec,0.0000 V
466.1 psec,0.0000 V
471.1 psec,0.0000 V
476.1 psec,0.0000 V
481.1 psec,0.0000 V
486.1 psec,0.0000 V
491.1 psec,0.0000 V
496.1 psec,0.0000 V
501.1 psec,0.0000 V
506.1 psec,0.0000 V
511.1 psec,0.0000 V
516.1 psec,0.0000 V
521.1 psec,0.0000 V
526.1 psec,0.0000 V
531.1 psec,0.0000 V
536.1 psec,0.0000 V
541.1 psec,0.0000 V
546.1 psec,0.0000 V
551.1 psec,0.0000 V
556.1 psec,0.0000 V
561.1 psec,0.0000 V
566.1 psec,0.0000 V
571.1 psec,0.0000 V
576.1 psec,0.0000 V
581.1 psec,0.0000 V
586.1 psec,0.0000 V
591.1 psec,0.0000 V
596.1 psec,0.0000 V
601.1 psec,0.0000 V
606.1 psec,0.0000 V
611.1 psec,0.0000 V
616.1 psec,0.0000 V
621.1 psec,0.0000 V
626.1 psec,0.0000 V
631.1 psec,0.0000 V
636.1 psec,0.0000 V
641.1 psec,0.0000 V
646.1 psec,0.0000 V
651.1 psec,0.0000 V
656.1 psec,0.0000 V
661.1 psec,0.0000 V
666.1 psec,0.0000 V
671.1 psec,0.0000 V
676.1 psec,0.0000 V
681.1 psec,0.0000 V
686.1 psec,0.0000 V
691.1 psec,0.0000 V
696.1 psec,0.0000 V
701.1 psec,0.0000 V
706.1 psec,0.0000 V
711.1 psec,0.0000 V
716.1 psec,0.0000 V
721.1 psec,0.0000 V
726.1 psec,0.0000 V
731.1 psec,0.0000 V
736.1 psec,0.0000 V
741.1 psec,0.0000 V
746.1 psec,0.0000 V
751.1 psec,0.0000 V
756.1 psec,0.0000 V
761.1 psec,0.0000 V
766.1 psec,0.0000 V
771.1 psec,0.0000 V
776.1 psec,0.0000 V
781.1 psec,0.0000 V
786.1 psec,0.0000 V
791.1 psec,0.0000 V
796.1 psec,0.0000 V
801.1 psec,0.0000 V
806.1 psec,0.0000 V
811.1 psec,0.0000 V
816.1 psec,0.0000 V
821.1 psec,0.0000 V
826.1 psec,0.0000 V
831.1 psec,0.0000 V
836.1 psec,0.0000 V
841.1 psec,0.0000 V
846.1 psec,0.0000 V
851.1 psec,0.0000 V
856.1 psec,0.0000 V
