"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
0.0000 Hz,-142.861
5.000 MHz,-131.067
10.00 MHz,-136.709
15.00 MHz,-131.026
20.00 MHz,-136.657
25.00 MHz,-130.995
30.00 MHz,-135.970
35.00 MHz,-131.075
40.00 MHz,-136.638
45.00 MHz,-131.009
50.00 MHz,-136.672
55.00 MHz,-131.038
60.00 MHz,-136.769
65.00 MHz,-131.135
70.00 MHz,-136.686
75.00 MHz,-131.026
80.00 MHz,-136.682
85.00 MHz,-131.016
90.00 MHz,-136.633
95.00 MHz,-130.971
100.0 MHz,-136.664
105.0 MHz,-131.004
110.0 MHz,-136.661
115.0 MHz,-131.006
120.0 MHz,-136.659
125.0 MHz,-131.000
130.0 MHz,-136.657
135.0 MHz,-130.998
140.0 MHz,-136.653
145.0 MHz,-130.973
150.0 MHz,-136.640
155.0 MHz,-130.994
160.0 MHz,-136.604
165.0 MHz,-130.975
170.0 MHz,-136.642
175.0 MHz,-130.989
180.0 MHz,-136.636
185.0 MHz,-130.970
190.0 MHz,-136.686
195.0 MHz,-131.003
200.0 MHz,-136.611
205.0 MHz,-130.949
210.0 MHz,-136.542
215.0 MHz,-130.945
220.0 MHz,-136.630
225.0 MHz,-130.708
230.0 MHz,-136.574
235.0 MHz,-130.944
240.0 MHz,-136.616
245.0 MHz,-130.922
250.0 MHz,-136.807
255.0 MHz,-131.340
260.0 MHz,-137.166
265.0 MHz,-131.070
270.0 MHz,-136.521
275.0 MHz,-130.883
280.0 MHz,-136.539
285.0 MHz,-131.103
290.0 MHz,-134.227
295.0 MHz,-130.866
300.0 MHz,-136.443
305.0 MHz,-130.904
310.0 MHz,-136.556
315.0 MHz,-130.896
320.0 MHz,-134.563
325.0 MHz,-130.910
330.0 MHz,-136.486
335.0 MHz,-130.841
340.0 MHz,-136.418
345.0 MHz,-130.812
350.0 MHz,-136.426
355.0 MHz,-130.786
360.0 MHz,-136.436
365.0 MHz,-130.824
370.0 MHz,-136.520
375.0 MHz,-130.837
380.0 MHz,-136.480
385.0 MHz,-130.942
390.0 MHz,-137.819
395.0 MHz,-130.780
400.0 MHz,-136.341
405.0 MHz,-130.703
410.0 MHz,-136.368
415.0 MHz,-130.496
420.0 MHz,-136.178
425.0 MHz,-130.705
430.0 MHz,-136.421
435.0 MHz,-130.767
440.0 MHz,-136.428
445.0 MHz,-130.726
450.0 MHz,-136.947
455.0 MHz,-130.758
460.0 MHz,-136.303
465.0 MHz,-130.642
470.0 MHz,-136.199
475.0 MHz,-130.593
480.0 MHz,-135.557
485.0 MHz,-130.539
490.0 MHz,-136.241
495.0 MHz,-130.550
500.0 MHz,-136.376
505.0 MHz,-130.703
510.0 MHz,-135.934
515.0 MHz,-130.850
520.0 MHz,-136.328
525.0 MHz,-130.596
530.0 MHz,-136.117
535.0 MHz,-130.481
540.0 MHz,-136.526
545.0 MHz,-130.364
550.0 MHz,-135.963
555.0 MHz,-130.482
560.0 MHz,-136.215
565.0 MHz,-130.580
570.0 MHz,-136.305
575.0 MHz,-128.206
580.0 MHz,-136.488
585.0 MHz,-130.545
590.0 MHz,-136.081
595.0 MHz,-130.415
600.0 MHz,-135.881
605.0 MHz,-128.444
610.0 MHz,-136.353
615.0 MHz,-130.320
620.0 MHz,-135.987
625.0 MHz,-130.397
630.0 MHz,-136.177
635.0 MHz,-130.546
640.0 MHz,-137.057
645.0 MHz,-130.449
650.0 MHz,-136.373
655.0 MHz,-130.442
660.0 MHz,-135.825
665.0 MHz,-130.185
670.0 MHz,-135.188
675.0 MHz,-130.201
680.0 MHz,-135.735
685.0 MHz,-130.211
690.0 MHz,-135.928
695.0 MHz,-130.318
700.0 MHz,-136.296
705.0 MHz,-130.245
710.0 MHz,-136.024
715.0 MHz,-130.270
720.0 MHz,-135.807
725.0 MHz,-130.149
730.0 MHz,-135.482
735.0 MHz,-130.272
740.0 MHz,-135.554
745.0 MHz,-130.060
750.0 MHz,-135.669
755.0 MHz,-130.093
760.0 MHz,-135.905
765.0 MHz,-130.172
770.0 MHz,-135.855
775.0 MHz,-130.104
780.0 MHz,-135.773
785.0 MHz,-130.064
790.0 MHz,-135.508
795.0 MHz,-129.812
800.0 MHz,-135.998
805.0 MHz,-129.959
810.0 MHz,-135.448
815.0 MHz,-129.899
820.0 MHz,-135.597
825.0 MHz,-129.999
830.0 MHz,-134.252
835.0 MHz,-129.827
840.0 MHz,-135.618
845.0 MHz,-129.924
850.0 MHz,-135.438
855.0 MHz,-129.816
860.0 MHz,-135.915
865.0 MHz,-130.908
870.0 MHz,-135.289
875.0 MHz,-129.732
880.0 MHz,-135.326
885.0 MHz,-129.660
890.0 MHz,-135.876
895.0 MHz,-129.435
900.0 MHz,-135.297
905.0 MHz,-129.722
910.0 MHz,-135.353
915.0 MHz,-129.696
920.0 MHz,-135.120
925.0 MHz,-129.240
930.0 MHz,-135.002
935.0 MHz,-129.596
940.0 MHz,-135.089
945.0 MHz,-129.532
950.0 MHz,-135.216
955.0 MHz,-129.616
960.0 MHz,-135.598
965.0 MHz,-129.487
970.0 MHz,-135.181
975.0 MHz,-129.524
980.0 MHz,-135.046
985.0 MHz,-129.419
990.0 MHz,-134.853
995.0 MHz,-129.491
1.000 GHz,-134.908
1.005 GHz,-129.339
1.010 GHz,-134.930
1.015 GHz,-129.340
1.020 GHz,-135.137
1.025 GHz,-129.068
1.030 GHz,-135.148
1.035 GHz,-129.307
1.040 GHz,-135.642
1.045 GHz,-130.101
1.050 GHz,-134.624
1.055 GHz,-129.470
1.060 GHz,-134.762
1.065 GHz,-129.165
1.070 GHz,-134.679
1.075 GHz,-129.105
1.080 GHz,-134.783
1.085 GHz,-129.210
1.090 GHz,-134.525
1.095 GHz,-129.057
1.100 GHz,-134.707
1.105 GHz,-129.068
1.110 GHz,-134.566
1.115 GHz,-128.883
1.120 GHz,-135.474
1.125 GHz,-128.992
1.130 GHz,-134.522
1.135 GHz,-128.896
1.140 GHz,-134.473
1.145 GHz,-128.879
1.150 GHz,-133.206
1.155 GHz,-128.745
1.160 GHz,-134.453
1.165 GHz,-128.827
1.170 GHz,-134.398
1.175 GHz,-128.783
1.180 GHz,-133.118
1.185 GHz,-129.594
1.190 GHz,-134.253
1.195 GHz,-128.671
1.200 GHz,-134.183
1.205 GHz,-128.613
1.210 GHz,-134.312
1.215 GHz,-128.730
1.220 GHz,-134.142
1.225 GHz,-128.559
1.230 GHz,-134.171
1.235 GHz,-128.552
1.240 GHz,-134.016
1.245 GHz,-128.469
1.250 GHz,-134.078
1.255 GHz,-128.452
1.260 GHz,-133.932
1.265 GHz,-128.362
1.270 GHz,-133.953
1.275 GHz,-128.330
1.280 GHz,-133.819
1.285 GHz,-128.272
1.290 GHz,-131.037
1.295 GHz,-128.411
1.300 GHz,-133.825
1.305 GHz,-128.234
1.310 GHz,-133.880
1.315 GHz,-128.239
1.320 GHz,-133.685
1.325 GHz,-128.113
1.330 GHz,-133.638
1.335 GHz,-128.054
1.340 GHz,-133.741
1.345 GHz,-127.885
1.350 GHz,-133.587
1.355 GHz,-127.991
1.360 GHz,-133.571
1.365 GHz,-127.969
1.370 GHz,-133.366
1.375 GHz,-127.993
1.380 GHz,-133.468
1.385 GHz,-127.854
1.390 GHz,-133.339
1.395 GHz,-127.769
1.400 GHz,-133.369
1.405 GHz,-127.920
1.410 GHz,-133.155
1.415 GHz,-127.679
1.420 GHz,-133.284
1.425 GHz,-127.672
1.430 GHz,-133.202
1.435 GHz,-127.460
1.440 GHz,-134.050
1.445 GHz,-127.585
1.450 GHz,-133.055
1.455 GHz,-127.481
1.460 GHz,-133.011
1.465 GHz,-127.431
1.470 GHz,-131.203
1.475 GHz,-127.336
1.480 GHz,-132.947
1.485 GHz,-127.347
1.490 GHz,-132.911
1.495 GHz,-127.319
1.500 GHz,-133.239
