"Vcc
References : ['dBm(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","harmindex
References : ['dBm(HB.Vout)']
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Integer","dBm(HB.Vout)
References : []
Dependency : [Vcc,harmindex]
Num. Points : [7,8]
Matrix Size : scalar
Type : Real"
3.000,0,<invalid>
3.000,1,-13.934
3.000,2,-24.808
3.000,3,-24.379
3.000,4,-36.884
3.000,5,-50.241
3.000,6,-64.225
3.000,7,-62.166
3.100,0,<invalid>
3.100,1,-13.471
3.100,2,-24.314
3.100,3,-23.844
3.100,4,-36.203
3.100,5,-49.520
3.100,6,-63.491
3.100,7,-61.315
3.200,0,<invalid>
3.200,1,-13.036
3.200,2,-23.855
3.200,3,-23.351
3.200,4,-35.564
3.200,5,-48.849
3.200,6,-62.784
3.200,7,-60.529
3.300,0,<invalid>
3.300,1,-12.626
3.300,2,-23.426
3.300,3,-22.894
3.300,4,-34.961
3.300,5,-48.221
3.300,6,-62.103
3.300,7,-59.800
3.400,0,<invalid>
3.400,1,-12.238
3.400,2,-23.025
3.400,3,-22.472
3.400,4,-34.389
3.400,5,-47.624
3.400,6,-61.441
3.400,7,-59.123
3.500,0,<invalid>
3.500,1,-11.870
3.500,2,-22.650
3.500,3,-22.085
3.500,4,-33.839
3.500,5,-47.036
3.500,6,-60.789
3.500,7,-58.494
3.600,0,<invalid>
3.600,1,-11.521
3.600,2,-22.303
3.600,3,-21.738
3.600,4,-33.300
3.600,5,-46.425
3.600,6,-60.129
3.600,7,-57.918
