"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.000,0.0000 sec,-24.85 mV
3.000,3.000 psec,-22.50 mV
3.000,6.000 psec,-20.34 mV
3.000,9.000 psec,-18.38 mV
3.000,12.00 psec,-16.60 mV
3.000,15.00 psec,-14.99 mV
3.000,18.00 psec,-13.54 mV
3.000,21.00 psec,-12.25 mV
3.000,24.00 psec,-11.09 mV
3.000,27.00 psec,-10.06 mV
3.000,30.00 psec,-9.143 mV
3.000,33.00 psec,-8.307 mV
3.000,36.00 psec,-7.529 mV
3.000,39.00 psec,-6.775 mV
3.000,42.00 psec,-6.011 mV
3.000,45.00 psec,-5.200 mV
3.000,48.00 psec,-4.304 mV
3.000,51.00 psec,-3.285 mV
3.000,54.00 psec,-2.108 mV
3.000,57.00 psec,-741.0 uV
3.000,60.00 psec,846.4 uV
3.000,63.00 psec,2.682 mV
3.000,66.00 psec,4.792 mV
3.000,69.00 psec,7.203 mV
3.000,72.00 psec,9.941 mV
3.000,75.00 psec,13.03 mV
3.000,78.00 psec,16.50 mV
3.000,81.00 psec,20.37 mV
3.000,84.00 psec,24.67 mV
3.000,87.00 psec,29.39 mV
3.000,90.00 psec,34.55 mV
3.000,93.00 psec,40.11 mV
3.000,96.00 psec,46.05 mV
3.000,99.00 psec,52.29 mV
3.000,102.0 psec,58.75 mV
3.000,105.0 psec,65.32 mV
3.000,108.0 psec,71.85 mV
3.000,111.0 psec,78.19 mV
3.000,114.0 psec,84.17 mV
3.000,117.0 psec,89.62 mV
3.000,120.0 psec,94.36 mV
3.000,123.0 psec,98.24 mV
3.000,126.0 psec,101.1 mV
3.000,129.0 psec,102.9 mV
3.000,132.0 psec,103.5 mV
3.000,135.0 psec,102.8 mV
3.000,138.0 psec,101.0 mV
3.000,141.0 psec,97.92 mV
3.000,144.0 psec,93.74 mV
3.000,147.0 psec,88.54 mV
3.000,150.0 psec,82.44 mV
3.000,153.0 psec,75.59 mV
3.000,156.0 psec,68.14 mV
3.000,159.0 psec,60.25 mV
3.000,162.0 psec,52.10 mV
3.000,165.0 psec,43.83 mV
3.000,168.0 psec,35.60 mV
3.000,171.0 psec,27.55 mV
3.000,174.0 psec,19.81 mV
3.000,177.0 psec,12.50 mV
3.000,180.0 psec,5.718 mV
3.000,183.0 psec,-459.6 uV
3.000,186.0 psec,-5.970 mV
3.000,189.0 psec,-10.78 mV
3.000,192.0 psec,-14.86 mV
3.000,195.0 psec,-18.22 mV
3.000,198.0 psec,-20.89 mV
3.000,201.0 psec,-22.92 mV
3.000,204.0 psec,-24.38 mV
3.000,207.0 psec,-25.34 mV
3.000,210.0 psec,-25.91 mV
3.000,213.0 psec,-26.19 mV
3.000,216.0 psec,-26.28 mV
3.000,219.0 psec,-26.28 mV
3.000,222.0 psec,-26.31 mV
3.000,225.0 psec,-26.43 mV
3.000,228.0 psec,-26.74 mV
3.000,231.0 psec,-27.29 mV
3.000,234.0 psec,-28.12 mV
3.000,237.0 psec,-29.27 mV
3.000,240.0 psec,-30.75 mV
3.000,243.0 psec,-32.55 mV
3.000,246.0 psec,-34.66 mV
3.000,249.0 psec,-37.06 mV
3.000,252.0 psec,-39.70 mV
3.000,255.0 psec,-42.53 mV
3.000,258.0 psec,-45.51 mV
3.000,261.0 psec,-48.55 mV
3.000,264.0 psec,-51.60 mV
3.000,267.0 psec,-54.56 mV
3.000,270.0 psec,-57.35 mV
3.000,273.0 psec,-59.89 mV
3.000,276.0 psec,-62.10 mV
3.000,279.0 psec,-63.90 mV
3.000,282.0 psec,-65.22 mV
3.000,285.0 psec,-66.00 mV
3.000,288.0 psec,-66.22 mV
3.000,291.0 psec,-65.86 mV
3.000,294.0 psec,-64.91 mV
3.000,297.0 psec,-63.41 mV
3.000,300.0 psec,-61.40 mV
3.000,303.0 psec,-58.95 mV
3.000,306.0 psec,-56.13 mV
3.000,309.0 psec,-53.03 mV
3.000,312.0 psec,-49.74 mV
3.000,315.0 psec,-46.34 mV
3.000,318.0 psec,-42.91 mV
3.000,321.0 psec,-39.53 mV
3.000,324.0 psec,-36.25 mV
3.000,327.0 psec,-33.12 mV
3.000,330.0 psec,-30.17 mV
3.000,333.0 psec,-27.41 mV
3.000,336.0 psec,-24.85 mV
3.000,339.0 psec,-22.50 mV
3.000,342.0 psec,-20.34 mV
3.000,345.0 psec,-18.38 mV
3.000,348.0 psec,-16.60 mV
3.000,351.0 psec,-14.99 mV
3.000,354.0 psec,-13.54 mV
3.000,357.0 psec,-12.25 mV
3.000,360.0 psec,-11.09 mV
3.000,363.0 psec,-10.06 mV
3.000,366.0 psec,-9.143 mV
3.000,369.0 psec,-8.307 mV
3.000,372.0 psec,-7.529 mV
3.000,375.0 psec,-6.775 mV
3.000,378.0 psec,-6.011 mV
3.000,381.0 psec,-5.200 mV
3.000,384.0 psec,-4.304 mV
3.000,387.0 psec,-3.285 mV
3.000,390.0 psec,-2.108 mV
3.000,393.0 psec,-741.0 uV
3.000,396.0 psec,846.4 uV
3.000,399.0 psec,2.682 mV
3.000,402.0 psec,4.792 mV
3.000,405.0 psec,7.203 mV
3.000,408.0 psec,9.941 mV
3.000,411.0 psec,13.03 mV
3.000,414.0 psec,16.50 mV
3.000,417.0 psec,20.37 mV
3.000,420.0 psec,24.67 mV
3.000,423.0 psec,29.39 mV
3.000,426.0 psec,34.55 mV
3.000,429.0 psec,40.11 mV
3.000,432.0 psec,46.05 mV
3.000,435.0 psec,52.29 mV
3.000,438.0 psec,58.75 mV
3.000,441.0 psec,65.32 mV
3.000,444.0 psec,71.85 mV
3.000,447.0 psec,78.19 mV
3.000,450.0 psec,84.17 mV
3.000,453.0 psec,89.62 mV
3.000,456.0 psec,94.36 mV
3.000,459.0 psec,98.24 mV
3.000,462.0 psec,101.1 mV
3.000,465.0 psec,102.9 mV
3.000,468.0 psec,103.5 mV
3.000,471.0 psec,102.8 mV
3.000,474.0 psec,101.0 mV
3.000,477.0 psec,97.92 mV
3.000,480.0 psec,93.74 mV
3.000,483.0 psec,88.54 mV
3.000,486.0 psec,82.44 mV
3.000,489.0 psec,75.59 mV
3.000,492.0 psec,68.14 mV
3.000,495.0 psec,60.25 mV
3.000,498.0 psec,52.10 mV
3.000,501.0 psec,43.83 mV
3.000,504.0 psec,35.60 mV
3.000,507.0 psec,27.55 mV
3.000,510.0 psec,19.81 mV
3.000,513.0 psec,12.50 mV
3.000,516.0 psec,5.718 mV
3.000,519.0 psec,-459.6 uV
3.000,522.0 psec,-5.970 mV
3.000,525.0 psec,-10.78 mV
3.000,528.0 psec,-14.86 mV
3.000,531.0 psec,-18.22 mV
3.000,534.0 psec,-20.89 mV
3.000,537.0 psec,-22.92 mV
3.000,540.0 psec,-24.38 mV
3.000,543.0 psec,-25.34 mV
3.000,546.0 psec,-25.91 mV
3.000,549.0 psec,-26.19 mV
3.000,552.0 psec,-26.28 mV
3.000,555.0 psec,-26.28 mV
3.000,558.0 psec,-26.31 mV
3.000,561.0 psec,-26.43 mV
3.000,564.0 psec,-26.74 mV
3.000,567.0 psec,-27.29 mV
3.000,570.0 psec,-28.12 mV
3.000,573.0 psec,-29.27 mV
3.000,576.0 psec,-30.75 mV
3.000,579.0 psec,-32.55 mV
3.000,582.0 psec,-34.66 mV
