"freq
References : ['dB(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,-9.065
1.000 GHz,-9.069
1.001 GHz,-9.073
1.001 GHz,-9.077
1.001 GHz,-9.081
1.001 GHz,-9.085
1.002 GHz,-9.088
1.002 GHz,-9.092
1.002 GHz,-9.096
1.003 GHz,-9.100
1.003 GHz,-9.104
1.003 GHz,-9.108
1.003 GHz,-9.112
1.004 GHz,-9.116
1.004 GHz,-9.120
1.004 GHz,-9.124
1.004 GHz,-9.128
1.005 GHz,-9.132
1.005 GHz,-9.136
1.005 GHz,-9.140
1.006 GHz,-9.144
1.006 GHz,-9.148
1.006 GHz,-9.152
1.006 GHz,-9.156
1.007 GHz,-9.159
1.007 GHz,-9.163
1.007 GHz,-9.167
1.008 GHz,-9.170
1.008 GHz,-9.174
1.008 GHz,-9.177
1.008 GHz,-9.180
1.009 GHz,-9.184
1.009 GHz,-9.187
1.009 GHz,-9.190
1.010 GHz,-9.193
1.010 GHz,-9.196
1.010 GHz,-9.199
1.010 GHz,-9.202
1.011 GHz,-9.204
1.011 GHz,-9.207
1.011 GHz,-9.209
1.012 GHz,-9.212
1.012 GHz,-9.214
1.012 GHz,-9.216
1.012 GHz,-9.218
1.013 GHz,-9.220
1.013 GHz,-9.222
1.013 GHz,-9.224
1.014 GHz,-9.226
1.014 GHz,-9.228
1.014 GHz,-9.230
1.014 GHz,-9.232
1.015 GHz,-9.234
1.015 GHz,-9.235
1.015 GHz,-9.237
1.015 GHz,-9.239
1.016 GHz,-9.240
1.016 GHz,-9.242
1.016 GHz,-9.244
1.017 GHz,-9.245
1.017 GHz,-9.247
1.017 GHz,-9.249
1.017 GHz,-9.251
1.018 GHz,-9.252
1.018 GHz,-9.254
1.018 GHz,-9.256
1.019 GHz,-9.258
1.019 GHz,-9.259
1.019 GHz,-9.261
1.019 GHz,-9.263
1.020 GHz,-9.265
1.020 GHz,-9.267
1.020 GHz,-9.269
1.021 GHz,-9.271
1.021 GHz,-9.273
1.021 GHz,-9.275
1.021 GHz,-9.278
1.022 GHz,-9.280
1.022 GHz,-9.282
1.022 GHz,-9.284
1.022 GHz,-9.286
1.023 GHz,-9.288
1.023 GHz,-9.291
1.023 GHz,-9.293
1.024 GHz,-9.295
1.024 GHz,-9.297
1.024 GHz,-9.299
1.024 GHz,-9.302
1.025 GHz,-9.304
1.025 GHz,-9.306
1.025 GHz,-9.308
1.026 GHz,-9.310
1.026 GHz,-9.313
1.026 GHz,-9.315
1.026 GHz,-9.317
1.027 GHz,-9.319
1.027 GHz,-9.321
1.027 GHz,-9.323
1.028 GHz,-9.326
1.028 GHz,-9.328
1.028 GHz,-9.330
1.028 GHz,-9.332
1.029 GHz,-9.334
1.029 GHz,-9.336
1.029 GHz,-9.338
1.030 GHz,-9.340
1.030 GHz,-9.342
1.030 GHz,-9.344
1.030 GHz,-9.346
1.031 GHz,-9.348
1.031 GHz,-9.350
1.031 GHz,-9.352
1.032 GHz,-9.354
1.032 GHz,-9.356
1.032 GHz,-9.357
1.032 GHz,-9.359
1.033 GHz,-9.361
1.033 GHz,-9.363
1.033 GHz,-9.365
1.033 GHz,-9.366
1.034 GHz,-9.368
1.034 GHz,-9.370
1.034 GHz,-9.371
1.035 GHz,-9.373
1.035 GHz,-9.375
1.035 GHz,-9.377
1.035 GHz,-9.378
1.036 GHz,-9.380
1.036 GHz,-9.382
1.036 GHz,-9.384
1.037 GHz,-9.385
1.037 GHz,-9.387
1.037 GHz,-9.389
1.037 GHz,-9.391
1.038 GHz,-9.393
1.038 GHz,-9.395
1.038 GHz,-9.397
1.039 GHz,-9.399
1.039 GHz,-9.401
1.039 GHz,-9.403
1.039 GHz,-9.405
1.040 GHz,-9.407
1.040 GHz,-9.409
1.040 GHz,-9.411
1.040 GHz,-9.414
1.041 GHz,-9.416
1.041 GHz,-9.419
1.041 GHz,-9.421
1.042 GHz,-9.424
1.042 GHz,-9.427
1.042 GHz,-9.430
1.042 GHz,-9.433
1.043 GHz,-9.436
1.043 GHz,-9.438
1.043 GHz,-9.442
1.044 GHz,-9.445
1.044 GHz,-9.448
1.044 GHz,-9.451
1.044 GHz,-9.454
1.045 GHz,-9.457
1.045 GHz,-9.460
1.045 GHz,-9.463
1.046 GHz,-9.466
1.046 GHz,-9.469
1.046 GHz,-9.472
1.046 GHz,-9.475
1.047 GHz,-9.477
1.047 GHz,-9.480
1.047 GHz,-9.483
1.048 GHz,-9.485
1.048 GHz,-9.488
1.048 GHz,-9.490
1.048 GHz,-9.492
1.049 GHz,-9.495
1.049 GHz,-9.497
1.049 GHz,-9.498
1.050 GHz,-9.500
1.050 GHz,-9.502
1.050 GHz,-9.503
1.050 GHz,-9.505
1.051 GHz,-9.506
1.051 GHz,-9.507
1.051 GHz,-9.508
1.051 GHz,-9.509
1.052 GHz,-9.509
1.052 GHz,-9.510
1.052 GHz,-9.510
1.053 GHz,-9.511
1.053 GHz,-9.511
1.053 GHz,-9.511
1.053 GHz,-9.512
1.054 GHz,-9.512
1.054 GHz,-9.512
1.054 GHz,-9.512
1.055 GHz,-9.512
1.055 GHz,-9.512
1.055 GHz,-9.511
1.055 GHz,-9.511
1.056 GHz,-9.511
1.056 GHz,-9.511
1.056 GHz,-9.511
1.057 GHz,-9.511
1.057 GHz,-9.510
1.057 GHz,-9.510
1.057 GHz,-9.510
1.058 GHz,-9.510
1.058 GHz,-9.510
1.058 GHz,-9.510
1.058 GHz,-9.510
1.059 GHz,-9.510
1.059 GHz,-9.510
1.059 GHz,-9.510
1.060 GHz,-9.510
1.060 GHz,-9.510
1.060 GHz,-9.511
1.060 GHz,-9.511
1.061 GHz,-9.511
1.061 GHz,-9.512
1.061 GHz,-9.512
1.062 GHz,-9.512
1.062 GHz,-9.513
1.062 GHz,-9.513
1.062 GHz,-9.513
1.063 GHz,-9.514
1.063 GHz,-9.514
1.063 GHz,-9.514
1.064 GHz,-9.515
1.064 GHz,-9.515
