"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.000 GHz,-152.302
1.000 GHz,-152.264
1.001 GHz,-152.226
1.001 GHz,-152.189
1.001 GHz,-152.151
1.001 GHz,-152.114
1.002 GHz,-152.077
1.002 GHz,-152.040
1.002 GHz,-152.004
1.003 GHz,-151.967
1.003 GHz,-151.931
1.003 GHz,-151.895
1.003 GHz,-151.859
1.004 GHz,-151.823
1.004 GHz,-151.788
1.004 GHz,-151.752
1.004 GHz,-151.717
1.005 GHz,-151.682
1.005 GHz,-151.646
1.005 GHz,-151.611
1.006 GHz,-151.576
1.006 GHz,-151.541
1.006 GHz,-151.507
1.006 GHz,-151.472
1.007 GHz,-151.437
1.007 GHz,-151.402
1.007 GHz,-151.368
1.008 GHz,-151.333
1.008 GHz,-151.298
1.008 GHz,-151.264
1.008 GHz,-151.229
1.009 GHz,-151.195
1.009 GHz,-151.160
1.009 GHz,-151.126
1.010 GHz,-151.091
1.010 GHz,-151.056
1.010 GHz,-151.022
1.010 GHz,-150.987
1.011 GHz,-150.953
1.011 GHz,-150.919
1.011 GHz,-150.885
1.012 GHz,-150.851
1.012 GHz,-150.817
1.012 GHz,-150.783
1.012 GHz,-150.749
1.013 GHz,-150.716
1.013 GHz,-150.682
1.013 GHz,-150.649
1.014 GHz,-150.616
1.014 GHz,-150.583
1.014 GHz,-150.549
1.014 GHz,-150.516
1.015 GHz,-150.483
1.015 GHz,-150.450
1.015 GHz,-150.417
1.015 GHz,-150.384
1.016 GHz,-150.351
1.016 GHz,-150.318
1.016 GHz,-150.285
1.017 GHz,-150.252
1.017 GHz,-150.219
1.017 GHz,-150.186
1.017 GHz,-150.153
1.018 GHz,-150.120
1.018 GHz,-150.086
1.018 GHz,-150.053
1.019 GHz,-150.020
1.019 GHz,-149.986
1.019 GHz,-149.952
1.019 GHz,-149.919
1.020 GHz,-149.885
1.020 GHz,-149.851
1.020 GHz,-149.817
1.021 GHz,-149.783
1.021 GHz,-149.749
1.021 GHz,-149.715
1.021 GHz,-149.680
1.022 GHz,-149.646
1.022 GHz,-149.612
1.022 GHz,-149.578
1.022 GHz,-149.544
1.023 GHz,-149.509
1.023 GHz,-149.475
1.023 GHz,-149.441
1.024 GHz,-149.406
1.024 GHz,-149.372
1.024 GHz,-149.337
1.024 GHz,-149.303
1.025 GHz,-149.268
1.025 GHz,-149.234
1.025 GHz,-149.199
1.026 GHz,-149.164
1.026 GHz,-149.129
1.026 GHz,-149.095
1.026 GHz,-149.060
1.027 GHz,-149.025
1.027 GHz,-148.990
1.027 GHz,-148.955
1.028 GHz,-148.919
1.028 GHz,-148.884
1.028 GHz,-148.849
1.028 GHz,-148.814
1.029 GHz,-148.778
1.029 GHz,-148.743
1.029 GHz,-148.707
1.030 GHz,-148.672
1.030 GHz,-148.636
1.030 GHz,-148.600
1.030 GHz,-148.564
1.031 GHz,-148.528
1.031 GHz,-148.491
1.031 GHz,-148.454
1.032 GHz,-148.416
1.032 GHz,-148.379
1.032 GHz,-148.341
1.032 GHz,-148.303
1.033 GHz,-148.265
1.033 GHz,-148.227
1.033 GHz,-148.189
1.033 GHz,-148.150
1.034 GHz,-148.112
1.034 GHz,-148.073
1.034 GHz,-148.035
1.035 GHz,-147.996
1.035 GHz,-147.958
1.035 GHz,-147.920
1.035 GHz,-147.882
1.036 GHz,-147.844
1.036 GHz,-147.806
1.036 GHz,-147.768
1.037 GHz,-147.731
1.037 GHz,-147.694
1.037 GHz,-147.657
1.037 GHz,-147.620
1.038 GHz,-147.584
1.038 GHz,-147.548
1.038 GHz,-147.513
1.039 GHz,-147.478
1.039 GHz,-147.443
1.039 GHz,-147.409
1.039 GHz,-147.375
1.040 GHz,-147.342
1.040 GHz,-147.310
1.040 GHz,-147.278
1.040 GHz,-147.246
1.041 GHz,-147.215
1.041 GHz,-147.184
1.041 GHz,-147.154
1.042 GHz,-147.124
1.042 GHz,-147.095
1.042 GHz,-147.066
1.042 GHz,-147.037
1.043 GHz,-147.009
1.043 GHz,-146.981
1.043 GHz,-146.953
1.044 GHz,-146.926
1.044 GHz,-146.898
1.044 GHz,-146.871
1.044 GHz,-146.844
1.045 GHz,-146.817
1.045 GHz,-146.791
1.045 GHz,-146.764
1.046 GHz,-146.738
1.046 GHz,-146.712
1.046 GHz,-146.685
1.046 GHz,-146.659
1.047 GHz,-146.633
1.047 GHz,-146.607
1.047 GHz,-146.581
1.048 GHz,-146.554
1.048 GHz,-146.528
1.048 GHz,-146.502
1.048 GHz,-146.475
1.049 GHz,-146.449
1.049 GHz,-146.422
1.049 GHz,-146.395
1.050 GHz,-146.368
1.050 GHz,-146.341
1.050 GHz,-146.313
1.050 GHz,-146.286
1.051 GHz,-146.259
1.051 GHz,-146.232
1.051 GHz,-146.205
1.051 GHz,-146.178
1.052 GHz,-146.152
1.052 GHz,-146.126
1.052 GHz,-146.100
1.053 GHz,-146.074
1.053 GHz,-146.048
1.053 GHz,-146.022
1.053 GHz,-145.996
1.054 GHz,-145.970
1.054 GHz,-145.944
1.054 GHz,-145.918
1.055 GHz,-145.893
1.055 GHz,-145.867
1.055 GHz,-145.841
1.055 GHz,-145.814
1.056 GHz,-145.788
1.056 GHz,-145.762
1.056 GHz,-145.735
1.057 GHz,-145.708
1.057 GHz,-145.681
1.057 GHz,-145.654
1.057 GHz,-145.626
1.058 GHz,-145.599
1.058 GHz,-145.570
1.058 GHz,-145.542
1.058 GHz,-145.513
1.059 GHz,-145.484
1.059 GHz,-145.455
1.059 GHz,-145.425
1.060 GHz,-145.394
1.060 GHz,-145.363
1.060 GHz,-145.332
1.060 GHz,-145.300
1.061 GHz,-145.267
1.061 GHz,-145.234
1.061 GHz,-145.200
1.062 GHz,-145.165
1.062 GHz,-145.130
1.062 GHz,-145.095
1.062 GHz,-145.059
1.063 GHz,-145.023
1.063 GHz,-144.986
1.063 GHz,-144.949
1.064 GHz,-144.912
1.064 GHz,-144.875
1.064 GHz,-144.838
1.064 GHz,-144.800
1.065 GHz,-144.763
1.065 GHz,-144.725
1.065 GHz,-144.687
1.066 GHz,-144.650
1.066 GHz,-144.612
1.066 GHz,-144.575
1.066 GHz,-144.538
1.067 GHz,-144.501
1.067 GHz,-144.464
1.067 GHz,-144.428
1.067 GHz,-144.392
1.068 GHz,-144.357
1.068 GHz,-144.321
1.068 GHz,-144.287
1.069 GHz,-144.253
1.069 GHz,-144.219
1.069 GHz,-144.186
1.069 GHz,-144.154
1.070 GHz,-144.122
1.070 GHz,-144.091
1.070 GHz,-144.061
1.071 GHz,-144.030
1.071 GHz,-144.001
1.071 GHz,-143.971
1.071 GHz,-143.942
1.072 GHz,-143.914
1.072 GHz,-143.885
1.072 GHz,-143.857
1.073 GHz,-143.830
1.073 GHz,-143.802
1.073 GHz,-143.775
1.073 GHz,-143.748
1.074 GHz,-143.722
1.074 GHz,-143.695
1.074 GHz,-143.669
1.075 GHz,-143.643
1.075 GHz,-143.617
1.075 GHz,-143.592
1.075 GHz,-143.566
1.076 GHz,-143.541
1.076 GHz,-143.516
1.076 GHz,-143.491
1.077 GHz,-143.467
