"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.850 GHz,-0.969
2.850 GHz,2.672
2.851 GHz,-0.706
2.852 GHz,0.969
2.852 GHz,-6.021
2.853 GHz,-15.563
2.853 GHz,-13.010
2.853 GHz,-3.979
2.854 GHz,-6.021
2.854 GHz,<invalid>
2.855 GHz,-3.979
2.856 GHz,-18.062
2.856 GHz,0.000
2.857 GHz,0.000
2.857 GHz,<invalid>
2.857 GHz,0.000
2.858 GHz,-15.563
2.858 GHz,-3.349
2.859 GHz,0.263
2.860 GHz,-6.990
2.860 GHz,0.000
2.861 GHz,0.969
2.861 GHz,-6.021
2.861 GHz,-3.979
2.862 GHz,-3.468
2.862 GHz,-0.706
2.863 GHz,-18.062
2.864 GHz,-12.041
2.864 GHz,-2.747
2.865 GHz,<invalid>
2.865 GHz,<invalid>
2.865 GHz,-7.696
2.866 GHz,-6.021
2.866 GHz,<invalid>
2.867 GHz,0.000
2.868 GHz,-6.021
2.868 GHz,<invalid>
2.869 GHz,-12.041
2.869 GHz,<invalid>
2.869 GHz,-4.087
2.870 GHz,-4.856
2.870 GHz,-7.959
2.871 GHz,<invalid>
2.872 GHz,-6.021
2.872 GHz,-3.522
2.873 GHz,-10.881
2.873 GHz,<invalid>
2.873 GHz,-3.912
2.874 GHz,0.000
2.874 GHz,-3.205
2.875 GHz,1.938
2.876 GHz,<invalid>
2.876 GHz,-6.795
2.877 GHz,-3.010
2.877 GHz,1.169
2.877 GHz,-3.010
2.878 GHz,-4.019
2.878 GHz,-6.021
2.879 GHz,0.067
2.880 GHz,-4.082
2.880 GHz,0.263
2.881 GHz,-11.072
2.881 GHz,0.263
2.881 GHz,-6.021
2.882 GHz,-7.696
2.882 GHz,-21.072
2.883 GHz,-13.010
2.884 GHz,-5.051
2.884 GHz,-8.519
2.885 GHz,-6.284
2.885 GHz,6.021
2.885 GHz,-6.021
2.886 GHz,9.542
2.886 GHz,-6.021
2.887 GHz,-0.902
2.888 GHz,0.000
2.888 GHz,-7.618
2.889 GHz,4.087
2.889 GHz,-8.519
2.889 GHz,-6.021
2.890 GHz,-1.367
2.890 GHz,-7.959
2.891 GHz,-7.097
2.892 GHz,0.000
2.892 GHz,-1.367
2.893 GHz,-0.196
2.893 GHz,0.463
2.893 GHz,-4.856
2.894 GHz,-9.031
2.894 GHz,<invalid>
2.895 GHz,-21.584
2.896 GHz,0.565
2.896 GHz,-3.522
2.897 GHz,0.000
2.897 GHz,-9.488
2.897 GHz,<invalid>
2.898 GHz,-1.675
2.898 GHz,<invalid>
2.899 GHz,-2.762
2.900 GHz,-5.051
2.900 GHz,<invalid>
2.901 GHz,-2.807
2.901 GHz,-4.082
2.901 GHz,-6.021
2.902 GHz,0.512
2.902 GHz,<invalid>
2.903 GHz,<invalid>
2.904 GHz,0.000
2.904 GHz,0.000
2.905 GHz,-2.041
2.905 GHz,0.706
2.905 GHz,6.284
2.906 GHz,-6.021
2.906 GHz,<invalid>
2.907 GHz,-8.519
2.908 GHz,-0.263
2.908 GHz,6.021
2.909 GHz,-6.021
2.909 GHz,-2.499
2.909 GHz,0.263
2.910 GHz,<invalid>
2.910 GHz,-6.021
2.911 GHz,-15.563
2.912 GHz,-0.196
2.912 GHz,-6.284
2.913 GHz,-6.990
2.913 GHz,0.067
2.913 GHz,-0.969
2.914 GHz,<invalid>
2.914 GHz,-5.051
2.915 GHz,-3.515
2.916 GHz,3.522
2.916 GHz,-4.346
2.917 GHz,3.259
2.917 GHz,-6.990
2.917 GHz,<invalid>
2.918 GHz,-1.367
2.918 GHz,1.584
2.919 GHz,-12.041
2.920 GHz,0.000
2.920 GHz,-0.902
2.921 GHz,0.263
2.921 GHz,-3.259
2.921 GHz,<invalid>
2.922 GHz,<invalid>
2.922 GHz,-15.563
2.923 GHz,<invalid>
2.924 GHz,0.969
2.924 GHz,-8.943
2.925 GHz,-12.041
2.925 GHz,0.000
2.925 GHz,<invalid>
2.926 GHz,-5.757
2.926 GHz,-3.522
2.927 GHz,-2.951
2.928 GHz,<invalid>
2.928 GHz,<invalid>
2.929 GHz,-2.041
2.929 GHz,0.263
2.929 GHz,0.067
2.930 GHz,0.000
2.930 GHz,-5.712
2.931 GHz,-6.284
2.932 GHz,-0.246
2.932 GHz,6.990
2.933 GHz,-6.990
2.933 GHz,12.109
2.933 GHz,-1.871
2.934 GHz,-4.082
2.934 GHz,-13.979
2.935 GHz,1.938
2.936 GHz,3.522
2.936 GHz,-3.892
2.937 GHz,-6.021
2.937 GHz,<invalid>
2.938 GHz,0.000
2.938 GHz,0.263
2.938 GHz,3.468
2.939 GHz,0.067
2.939 GHz,2.566
2.940 GHz,-1.367
2.941 GHz,-6.217
2.941 GHz,-0.050
2.942 GHz,0.497
2.942 GHz,2.980
2.942 GHz,-6.021
2.943 GHz,-4.442
2.943 GHz,12.041
2.944 GHz,<invalid>
2.945 GHz,<invalid>
2.945 GHz,6.021
2.946 GHz,3.522
2.946 GHz,-5.160
2.946 GHz,-3.522
2.947 GHz,-1.160
2.947 GHz,-5.825
2.948 GHz,<invalid>
2.949 GHz,-0.050
2.949 GHz,12.041
2.950 GHz,-6.329
2.950 GHz,3.214
2.950 GHz,0.571
2.951 GHz,0.000
2.951 GHz,3.419
2.952 GHz,9.488
2.953 GHz,1.938
2.953 GHz,-6.245
2.954 GHz,-4.605
2.954 GHz,6.883
2.954 GHz,0.263
2.955 GHz,1.901
2.955 GHz,-14.557
2.956 GHz,3.522
2.957 GHz,2.834
2.957 GHz,1.072
2.958 GHz,0.133
2.958 GHz,3.166
2.958 GHz,1.528
2.959 GHz,-1.369
2.959 GHz,3.571
2.960 GHz,5.152
2.961 GHz,24.487
2.961 GHz,1.614
2.962 GHz,7.576
2.962 GHz,12.485
2.962 GHz,6.083
2.963 GHz,-16.175
2.963 GHz,1.339
2.964 GHz,1.374
2.965 GHz,-2.466
2.965 GHz,0.214
2.966 GHz,0.079
2.966 GHz,5.646
2.966 GHz,-5.623
2.967 GHz,8.137
2.967 GHz,-0.613
2.968 GHz,-2.481
2.969 GHz,-0.017
2.969 GHz,12.446
2.970 GHz,0.285
2.970 GHz,4.810
2.970 GHz,0.869
2.971 GHz,-4.082
2.971 GHz,0.214
2.972 GHz,18.633
2.973 GHz,0.000
2.973 GHz,3.501
2.974 GHz,1.987
2.974 GHz,13.473
2.974 GHz,-4.656
2.975 GHz,-4.744
2.975 GHz,-0.150
2.976 GHz,6.284
2.977 GHz,-0.644
2.977 GHz,0.000
2.978 GHz,-4.357
2.978 GHz,2.499
2.978 GHz,-6.021
2.979 GHz,-6.021
2.979 GHz,3.522
2.980 GHz,-3.236
2.981 GHz,1.630
2.981 GHz,-2.499
2.982 GHz,-4.682
2.982 GHz,7.634
2.982 GHz,-0.969
2.983 GHz,2.499
2.983 GHz,1.169
2.984 GHz,3.522
2.985 GHz,-6.990
2.985 GHz,7.959
2.986 GHz,<invalid>
2.986 GHz,2.499
2.986 GHz,-5.456
2.987 GHz,-6.021
2.987 GHz,<invalid>
2.988 GHz,-4.682
2.989 GHz,14.510
2.989 GHz,1.597
2.990 GHz,6.021
2.990 GHz,-5.051
2.990 GHz,0.000
2.991 GHz,0.969
2.991 GHz,0.263
2.992 GHz,6.284
2.993 GHz,-6.021
2.993 GHz,-3.522
2.994 GHz,-4.346
2.994 GHz,0.000
2.994 GHz,0.000
2.995 GHz,-18.325
2.995 GHz,-2.197
2.996 GHz,0.571
2.997 GHz,0.880
2.997 GHz,-18.325
2.998 GHz,-3.979
2.998 GHz,<invalid>
2.998 GHz,<invalid>
2.999 GHz,7.959
2.999 GHz,-8.519
3.000 GHz,2.856
3.001 GHz,-0.398
3.001 GHz,<invalid>
3.002 GHz,6.021
3.002 GHz,2.816
3.002 GHz,<invalid>
3.003 GHz,-3.181
3.003 GHz,-5.051
3.004 GHz,-9.643E-16
3.005 GHz,3.010
3.005 GHz,3.274
3.006 GHz,-1.614
