"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
2.850 GHz,26.565
2.850 GHz,36.027
2.851 GHz,40.601
2.852 GHz,116.565
2.852 GHz,0.000
2.853 GHz,180.000
2.853 GHz,-63.435
2.853 GHz,-71.565
2.854 GHz,0.000
2.854 GHz,0.000
2.855 GHz,71.565
2.856 GHz,0.000
2.856 GHz,90.000
2.857 GHz,180.000
2.857 GHz,<invalid>
2.857 GHz,180.000
2.858 GHz,0.000
2.858 GHz,36.027
2.859 GHz,14.036
2.860 GHz,-26.565
2.860 GHz,90.000
2.861 GHz,63.435
2.861 GHz,0.000
2.861 GHz,18.435
2.862 GHz,26.565
2.862 GHz,40.601
2.863 GHz,0.000
2.864 GHz,180.000
2.864 GHz,30.964
2.865 GHz,<invalid>
2.865 GHz,0.000
2.865 GHz,104.036
2.866 GHz,0.000
2.866 GHz,0.000
2.867 GHz,-90.000
2.868 GHz,0.000
2.868 GHz,<invalid>
2.869 GHz,0.000
2.869 GHz,0.000
2.869 GHz,51.340
2.870 GHz,70.346
2.870 GHz,-36.870
2.871 GHz,0.000
2.872 GHz,0.000
2.872 GHz,0.000
2.873 GHz,0.000
2.873 GHz,0.000
2.873 GHz,11.310
2.874 GHz,0.000
2.874 GHz,-12.529
2.875 GHz,-36.870
2.876 GHz,<invalid>
2.876 GHz,38.660
2.877 GHz,-45.000
2.877 GHz,17.969
2.877 GHz,45.000
2.878 GHz,44.215
2.878 GHz,90.000
2.879 GHz,29.745
2.880 GHz,36.870
2.880 GHz,104.036
2.881 GHz,26.565
2.881 GHz,75.964
2.881 GHz,0.000
2.882 GHz,50.906
2.882 GHz,135.000
2.883 GHz,-63.435
2.884 GHz,-63.435
2.884 GHz,0.000
2.885 GHz,14.036
2.885 GHz,-90.000
2.885 GHz,0.000
2.886 GHz,180.000
2.886 GHz,0.000
2.887 GHz,19.440
2.888 GHz,0.000
2.888 GHz,33.690
2.889 GHz,38.660
2.889 GHz,0.000
2.889 GHz,0.000
2.890 GHz,16.314
2.890 GHz,-36.870
2.891 GHz,6.340
2.892 GHz,0.000
2.892 GHz,57.426
2.893 GHz,6.911
2.893 GHz,-5.440
2.893 GHz,42.274
2.894 GHz,45.000
2.894 GHz,0.000
2.895 GHz,0.000
2.896 GHz,38.660
2.896 GHz,90.000
2.897 GHz,180.000
2.897 GHz,-116.565
2.897 GHz,<invalid>
2.898 GHz,50.906
2.898 GHz,<invalid>
2.899 GHz,14.036
2.900 GHz,26.565
2.900 GHz,0.000
2.901 GHz,-6.520
2.901 GHz,0.000
2.901 GHz,28.072
2.902 GHz,45.000
2.902 GHz,<invalid>
2.903 GHz,<invalid>
2.904 GHz,90.000
2.904 GHz,0.000
2.905 GHz,18.435
2.905 GHz,12.529
2.905 GHz,75.964
2.906 GHz,180.000
2.906 GHz,<invalid>
2.907 GHz,0.000
2.908 GHz,-14.036
2.908 GHz,-90.000
2.909 GHz,0.000
2.909 GHz,0.000
2.909 GHz,14.036
2.910 GHz,<invalid>
2.910 GHz,0.000
2.911 GHz,180.000
2.912 GHz,-6.911
2.912 GHz,14.036
2.913 GHz,10.305
2.913 GHz,7.125
2.913 GHz,26.565
2.914 GHz,<invalid>
2.914 GHz,116.565
2.915 GHz,30.784
2.916 GHz,0.000
2.916 GHz,22.834
2.917 GHz,14.036
2.917 GHz,-10.305
2.917 GHz,0.000
2.918 GHz,16.314
2.918 GHz,36.870
2.919 GHz,0.000
2.920 GHz,0.000
2.920 GHz,-19.440
2.921 GHz,75.964
2.921 GHz,75.964
2.921 GHz,<invalid>
2.922 GHz,<invalid>
2.922 GHz,0.000
2.923 GHz,<invalid>
2.924 GHz,63.435
2.924 GHz,53.130
2.925 GHz,0.000
2.925 GHz,0.000
2.925 GHz,0.000
2.926 GHz,14.036
2.926 GHz,90.000
2.927 GHz,11.094
2.928 GHz,<invalid>
2.928 GHz,0.000
2.929 GHz,-18.435
2.929 GHz,104.036
2.929 GHz,-7.125
2.930 GHz,180.000
2.930 GHz,6.520
2.931 GHz,14.036
2.932 GHz,17.613
2.932 GHz,-63.435
2.933 GHz,63.435
2.933 GHz,82.875
2.933 GHz,82.875
2.934 GHz,0.000
2.934 GHz,0.000
2.935 GHz,-53.130
2.936 GHz,0.000
2.936 GHz,63.435
2.937 GHz,0.000
2.937 GHz,0.000
2.938 GHz,0.000
2.938 GHz,75.964
2.938 GHz,-63.435
2.939 GHz,-7.125
2.939 GHz,82.875
2.940 GHz,69.444
2.941 GHz,-21.161
2.941 GHz,-10.701
2.942 GHz,9.593
2.942 GHz,15.792
2.942 GHz,0.000
2.943 GHz,12.995
2.943 GHz,90.000
2.944 GHz,<invalid>
2.945 GHz,0.000
2.945 GHz,90.000
2.946 GHz,180.000
2.946 GHz,-11.449
2.946 GHz,0.000
2.947 GHz,0.000
2.947 GHz,6.911
2.948 GHz,<invalid>
2.949 GHz,3.549
2.949 GHz,90.000
2.950 GHz,6.520
2.950 GHz,6.520
2.950 GHz,69.444
2.951 GHz,0.000
2.951 GHz,4.673
2.952 GHz,-63.435
2.953 GHz,0.000
2.953 GHz,-2.793
2.954 GHz,-28.429
2.954 GHz,64.885
2.954 GHz,75.964
2.955 GHz,1.756
2.955 GHz,86.424
2.956 GHz,0.000
2.957 GHz,-6.238
2.957 GHz,45.000
2.958 GHz,37.304
2.958 GHz,-6.275
2.958 GHz,0.000
2.959 GHz,0.000
2.959 GHz,45.000
2.960 GHz,57.355
2.961 GHz,-72.646
2.961 GHz,32.106
2.962 GHz,-56.725
2.962 GHz,-71.834
2.962 GHz,56.725
2.963 GHz,83.758
2.963 GHz,0.000
2.964 GHz,0.000
2.965 GHz,2.518
2.965 GHz,0.000
2.966 GHz,4.270
2.966 GHz,9.871
2.966 GHz,13.294
2.967 GHz,56.725
2.967 GHz,0.000
2.968 GHz,-0.572
2.969 GHz,-3.576
2.969 GHz,72.646
2.970 GHz,0.000
2.970 GHz,56.725
2.970 GHz,0.000
2.971 GHz,0.000
2.971 GHz,0.000
2.972 GHz,69.444
2.973 GHz,0.000
2.973 GHz,1.178
2.974 GHz,45.000
2.974 GHz,57.995
2.974 GHz,24.880
2.975 GHz,-17.154
2.975 GHz,10.620
2.976 GHz,50.906
2.977 GHz,0.000
2.977 GHz,0.000
2.978 GHz,30.932
2.978 GHz,-90.000
2.978 GHz,-115.989
2.979 GHz,0.000
2.979 GHz,0.000
2.980 GHz,57.995
2.981 GHz,-8.823
2.981 GHz,0.000
2.982 GHz,0.000
2.982 GHz,-94.764
2.982 GHz,26.565
2.983 GHz,0.000
2.983 GHz,-17.969
2.984 GHz,0.000
2.985 GHz,-153.435
2.985 GHz,0.000
2.986 GHz,0.000
2.986 GHz,-90.000
2.986 GHz,-9.211
2.987 GHz,0.000
2.987 GHz,0.000
2.988 GHz,0.000
2.989 GHz,-131.186
2.989 GHz,-33.690
2.990 GHz,-90.000
2.990 GHz,10.305
2.990 GHz,180.000
2.991 GHz,-63.435
2.991 GHz,-75.964
2.992 GHz,-75.964
2.993 GHz,0.000
2.993 GHz,0.000
2.994 GHz,-22.834
2.994 GHz,0.000
2.994 GHz,-53.130
2.995 GHz,75.964
2.995 GHz,-37.304
2.996 GHz,-20.556
2.997 GHz,-48.705
2.997 GHz,75.964
2.998 GHz,-71.565
2.998 GHz,<invalid>
2.998 GHz,0.000
2.999 GHz,53.130
2.999 GHz,-90.000
3.000 GHz,6.613
3.001 GHz,-47.121
3.001 GHz,<invalid>
3.002 GHz,-90.000
3.002 GHz,-40.601
3.002 GHz,<invalid>
3.003 GHz,-19.440
3.003 GHz,-10.305
