"indep(__d, 1)
References : ['plot_vs(pnmx, noisefreq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(pnmx, noisefreq)
References : []
Dependency : []
Num. Points : [61]
Matrix Size : scalar
Type : Real"
1.000  Hz,6.754
1.259  Hz,3.770
1.585  Hz,0.783
1.995  Hz,-2.207
2.512  Hz,-5.198
3.162  Hz,-8.191
3.981  Hz,-11.184
5.012  Hz,-14.178
6.310  Hz,-17.172
7.943  Hz,-20.166
10.00  Hz,-23.160
12.59  Hz,-26.153
15.85  Hz,-29.145
19.95  Hz,-32.135
25.12  Hz,-35.124
31.62  Hz,-38.109
39.81  Hz,-41.092
50.12  Hz,-44.070
63.10  Hz,-47.043
79.43  Hz,-50.009
100.0  Hz,-52.966
125.9  Hz,-55.914
158.5  Hz,-58.849
199.5  Hz,-61.768
251.2  Hz,-64.669
316.2  Hz,-67.547
398.1  Hz,-70.398
501.2  Hz,-73.218
631.0  Hz,-76.001
794.3  Hz,-78.742
1.000 kHz,-81.438
1.259 kHz,-84.082
1.585 kHz,-86.672
1.995 kHz,-89.206
2.512 kHz,-91.682
3.162 kHz,-94.101
3.981 kHz,-96.465
5.012 kHz,-98.778
6.310 kHz,-101.044
7.943 kHz,-103.268
10.00 kHz,-105.454
12.59 kHz,-107.607
15.85 kHz,-109.733
19.95 kHz,-111.836
25.12 kHz,-113.920
31.62 kHz,-115.987
39.81 kHz,-118.041
50.12 kHz,-120.084
63.10 kHz,-122.119
79.43 kHz,-124.146
100.0 kHz,-126.168
125.9 kHz,-128.184
158.5 kHz,-130.196
199.5 kHz,-132.203
251.2 kHz,-134.207
316.2 kHz,-136.204
398.1 kHz,-138.195
501.2 kHz,-140.177
631.0 kHz,-142.145
794.3 kHz,-144.091
1.000 MHz,-146.004
