"freq
References : ['dB(Z(1,1))','dB(Z(2,2))']
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(1,1))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(2,2))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real"
100.0 MHz,62.205,62.399
100.0 MHz,62.201,62.394
100.1 MHz,62.196,62.390
100.2 MHz,62.192,62.386
100.2 MHz,62.188,62.381
100.2 MHz,62.184,62.377
100.3 MHz,62.180,62.373
100.3 MHz,62.176,62.368
100.4 MHz,62.172,62.364
100.5 MHz,62.168,62.360
100.5 MHz,62.163,62.355
100.5 MHz,62.159,62.351
100.6 MHz,62.155,62.347
100.7 MHz,62.151,62.343
100.7 MHz,62.147,62.338
100.8 MHz,62.143,62.334
100.8 MHz,62.139,62.330
100.8 MHz,62.135,62.325
100.9 MHz,62.130,62.321
101.0 MHz,62.126,62.317
101.0 MHz,62.122,62.312
101.0 MHz,62.118,62.308
101.1 MHz,62.114,62.304
101.2 MHz,62.110,62.299
101.2 MHz,62.106,62.295
101.2 MHz,62.102,62.291
101.3 MHz,62.098,62.287
101.3 MHz,62.094,62.282
101.4 MHz,62.090,62.278
101.5 MHz,62.085,62.274
101.5 MHz,62.081,62.269
101.5 MHz,62.077,62.265
101.6 MHz,62.073,62.261
101.7 MHz,62.069,62.257
101.7 MHz,62.065,62.252
101.8 MHz,62.061,62.248
101.8 MHz,62.057,62.244
101.8 MHz,62.053,62.240
101.9 MHz,62.049,62.235
102.0 MHz,62.045,62.231
102.0 MHz,62.041,62.227
102.0 MHz,62.037,62.223
102.1 MHz,62.032,62.218
102.2 MHz,62.028,62.214
102.2 MHz,62.024,62.210
102.2 MHz,62.020,62.206
102.3 MHz,62.016,62.201
102.3 MHz,62.012,62.197
102.4 MHz,62.008,62.193
102.5 MHz,62.004,62.189
102.5 MHz,62.000,62.184
102.5 MHz,61.996,62.180
102.6 MHz,61.992,62.176
102.7 MHz,61.988,62.172
102.7 MHz,61.984,62.167
102.8 MHz,61.980,62.163
102.8 MHz,61.976,62.159
102.8 MHz,61.972,62.155
102.9 MHz,61.968,62.150
103.0 MHz,61.964,62.146
103.0 MHz,61.960,62.142
103.0 MHz,61.956,62.138
103.1 MHz,61.952,62.134
103.2 MHz,61.948,62.129
103.2 MHz,61.944,62.125
103.2 MHz,61.940,62.121
103.3 MHz,61.936,62.117
103.3 MHz,61.932,62.113
103.4 MHz,61.927,62.108
103.5 MHz,61.923,62.104
103.5 MHz,61.919,62.100
103.5 MHz,61.915,62.096
103.6 MHz,61.911,62.092
103.7 MHz,61.907,62.087
103.7 MHz,61.903,62.083
103.8 MHz,61.899,62.079
103.8 MHz,61.895,62.075
103.8 MHz,61.891,62.071
103.9 MHz,61.887,62.066
104.0 MHz,61.883,62.062
104.0 MHz,61.879,62.058
104.0 MHz,61.875,62.054
104.1 MHz,61.871,62.050
104.2 MHz,61.868,62.046
104.2 MHz,61.864,62.041
104.2 MHz,61.860,62.037
104.3 MHz,61.856,62.033
104.3 MHz,61.852,62.029
104.4 MHz,61.848,62.025
104.5 MHz,61.844,62.021
