"freq
References : ['dBm(Vf)']
Dependency : [freq]
Num. Points : [1]
Matrix Size : scalar
Type : Real","dBm(Vf)
References : []
Dependency : [freq]
Num. Points : [2001]
Matrix Size : scalar
Type : Real"
0.0000 Hz,-135.391
5.000 MHz,-137.608
10.00 MHz,-129.374
15.00 MHz,-137.560
20.00 MHz,-129.337
25.00 MHz,-137.491
30.00 MHz,-129.370
35.00 MHz,-137.573
40.00 MHz,-129.402
45.00 MHz,-137.440
50.00 MHz,-129.385
55.00 MHz,-137.601
60.00 MHz,-129.363
65.00 MHz,-137.486
70.00 MHz,-129.394
75.00 MHz,-137.499
80.00 MHz,-129.359
85.00 MHz,-137.565
90.00 MHz,-129.203
95.00 MHz,-137.508
100.0 MHz,-129.365
105.0 MHz,-137.511
110.0 MHz,-129.349
115.0 MHz,-137.507
120.0 MHz,-129.351
125.0 MHz,-137.486
130.0 MHz,-129.344
135.0 MHz,-137.415
140.0 MHz,-129.344
145.0 MHz,-137.535
150.0 MHz,-129.336
155.0 MHz,-137.429
160.0 MHz,-129.234
165.0 MHz,-137.461
170.0 MHz,-129.345
175.0 MHz,-137.403
180.0 MHz,-129.313
185.0 MHz,-137.460
190.0 MHz,-129.319
195.0 MHz,-137.374
200.0 MHz,-129.308
205.0 MHz,-137.213
210.0 MHz,-129.354
215.0 MHz,-137.390
220.0 MHz,-129.330
225.0 MHz,-137.157
230.0 MHz,-129.361
235.0 MHz,-137.332
240.0 MHz,-129.302
245.0 MHz,-137.612
250.0 MHz,-128.618
255.0 MHz,-137.775
260.0 MHz,-129.000
265.0 MHz,-137.320
270.0 MHz,-129.190
275.0 MHz,-137.457
280.0 MHz,-129.300
285.0 MHz,-137.131
290.0 MHz,-129.268
295.0 MHz,-137.117
300.0 MHz,-129.299
305.0 MHz,-137.259
310.0 MHz,-129.313
315.0 MHz,-137.709
320.0 MHz,-129.261
325.0 MHz,-137.153
330.0 MHz,-129.234
335.0 MHz,-137.015
340.0 MHz,-129.036
345.0 MHz,-136.960
350.0 MHz,-129.275
355.0 MHz,-137.217
360.0 MHz,-129.292
365.0 MHz,-137.604
370.0 MHz,-129.289
375.0 MHz,-136.890
380.0 MHz,-129.172
385.0 MHz,-137.260
390.0 MHz,-129.403
395.0 MHz,-137.344
400.0 MHz,-129.250
405.0 MHz,-137.880
410.0 MHz,-127.692
415.0 MHz,-136.909
420.0 MHz,-129.200
425.0 MHz,-136.755
430.0 MHz,-129.092
435.0 MHz,-136.396
440.0 MHz,-129.145
445.0 MHz,-136.855
450.0 MHz,-129.170
455.0 MHz,-136.148
460.0 MHz,-129.211
465.0 MHz,-136.587
470.0 MHz,-129.188
475.0 MHz,-136.352
480.0 MHz,-129.000
485.0 MHz,-136.463
490.0 MHz,-129.127
495.0 MHz,-137.140
500.0 MHz,-127.874
505.0 MHz,-136.422
510.0 MHz,-129.093
515.0 MHz,-136.431
520.0 MHz,-128.985
525.0 MHz,-135.586
530.0 MHz,-129.040
535.0 MHz,-136.305
540.0 MHz,-129.141
545.0 MHz,-135.968
550.0 MHz,-129.041
555.0 MHz,-136.334
560.0 MHz,-129.032
565.0 MHz,-135.486
570.0 MHz,-129.184
575.0 MHz,-135.770
580.0 MHz,-128.952
585.0 MHz,-136.271
590.0 MHz,-127.815
595.0 MHz,-135.948
600.0 MHz,-128.967
605.0 MHz,-136.076
610.0 MHz,-129.087
615.0 MHz,-135.710
620.0 MHz,-128.838
625.0 MHz,-135.697
630.0 MHz,-128.968
635.0 MHz,-137.516
640.0 MHz,-129.000
645.0 MHz,-135.829
650.0 MHz,-128.635
655.0 MHz,-136.005
660.0 MHz,-128.175
665.0 MHz,-135.486
670.0 MHz,-128.811
675.0 MHz,-135.526
680.0 MHz,-129.095
685.0 MHz,-135.429
690.0 MHz,-128.733
695.0 MHz,-135.449
700.0 MHz,-128.833
705.0 MHz,-135.314
710.0 MHz,-128.693
715.0 MHz,-135.266
720.0 MHz,-128.859
725.0 MHz,-134.916
730.0 MHz,-128.604
735.0 MHz,-135.342
740.0 MHz,-128.624
745.0 MHz,-135.800
750.0 MHz,-127.934
755.0 MHz,-135.044
760.0 MHz,-128.694
765.0 MHz,-134.922
770.0 MHz,-128.643
775.0 MHz,-135.031
780.0 MHz,-128.574
785.0 MHz,-135.052
790.0 MHz,-128.429
795.0 MHz,-134.655
800.0 MHz,-128.511
805.0 MHz,-134.869
810.0 MHz,-128.613
815.0 MHz,-132.840
820.0 MHz,-128.772
825.0 MHz,-134.802
830.0 MHz,-128.452
835.0 MHz,-134.625
