"IB
References : ['hFE']
Dependency : [IB]
Num. Points : [11]
Matrix Size : scalar
Type : Real","VCE
References : ['hFE']
Dependency : [IB,VCE]
Num. Points : [11,301]
Matrix Size : scalar
Type : Real","hFE
References : []
Dependency : [IB,VCE]
Num. Points : [11,301]
Matrix Size : scalar
Type : Real"
5.000E-6,0.000,4.297
5.000E-6,0.020,-20.590
5.000E-6,0.040,-58.605
5.000E-6,0.060,-107.861
5.000E-6,0.080,-160.526
5.000E-6,0.100,-206.901
5.000E-6,0.120,-241.216
5.000E-6,0.140,-263.378
5.000E-6,0.160,-276.462
5.000E-6,0.180,-283.825
5.000E-6,0.200,-287.900
5.000E-6,0.220,-290.166
5.000E-6,0.240,-291.452
5.000E-6,0.260,-292.207
5.000E-6,0.280,-292.674
5.000E-6,0.300,-292.981
5.000E-6,0.320,-293.201
5.000E-6,0.340,-293.370
5.000E-6,0.360,-293.512
5.000E-6,0.380,-293.637
5.000E-6,0.400,-293.753
5.000E-6,0.420,-293.863
5.000E-6,0.440,-293.971
5.000E-6,0.460,-294.076
5.000E-6,0.480,-294.181
5.000E-6,0.500,-294.285
5.000E-6,0.520,-294.388
5.000E-6,0.540,-294.491
5.000E-6,0.560,-294.594
5.000E-6,0.580,-294.698
5.000E-6,0.600,-294.800
5.000E-6,0.620,-294.903
5.000E-6,0.640,-295.006
5.000E-6,0.660,-295.109
5.000E-6,0.680,-295.212
5.000E-6,0.700,-295.315
5.000E-6,0.720,-295.418
5.000E-6,0.740,-295.521
5.000E-6,0.760,-295.624
5.000E-6,0.780,-295.727
5.000E-6,0.800,-295.830
5.000E-6,0.820,-295.933
5.000E-6,0.840,-296.035
5.000E-6,0.860,-296.138
5.000E-6,0.880,-296.241
5.000E-6,0.900,-296.344
5.000E-6,0.920,-296.447
5.000E-6,0.940,-296.550
5.000E-6,0.960,-296.653
5.000E-6,0.980,-296.756
5.000E-6,1.000,-296.859
5.000E-6,1.020,-296.962
5.000E-6,1.040,-297.064
5.000E-6,1.060,-297.167
5.000E-6,1.080,-297.270
5.000E-6,1.100,-297.373
5.000E-6,1.120,-297.476
5.000E-6,1.140,-297.579
5.000E-6,1.160,-297.682
5.000E-6,1.180,-297.785
5.000E-6,1.200,-297.888
5.000E-6,1.220,-297.991
5.000E-6,1.240,-298.094
5.000E-6,1.260,-298.196
5.000E-6,1.280,-298.299
5.000E-6,1.300,-298.402
5.000E-6,1.320,-298.505
5.000E-6,1.340,-298.608
5.000E-6,1.360,-298.711
5.000E-6,1.380,-298.814
5.000E-6,1.400,-298.917
5.000E-6,1.420,-299.020
5.000E-6,1.440,-299.123
5.000E-6,1.460,-299.225
5.000E-6,1.480,-299.328
5.000E-6,1.500,-299.431
5.000E-6,1.520,-299.534
5.000E-6,1.540,-299.637
5.000E-6,1.560,-299.740
5.000E-6,1.580,-299.843
5.000E-6,1.600,-299.946
5.000E-6,1.620,-300.049
5.000E-6,1.640,-300.152
5.000E-6,1.660,-300.254
5.000E-6,1.680,-300.357
5.000E-6,1.700,-300.460
5.000E-6,1.720,-300.563
5.000E-6,1.740,-300.666
5.000E-6,1.760,-300.769
5.000E-6,1.780,-300.872
5.000E-6,1.800,-300.975
5.000E-6,1.820,-301.078
5.000E-6,1.840,-301.181
5.000E-6,1.860,-301.284
5.000E-6,1.880,-301.386
5.000E-6,1.900,-301.489
5.000E-6,1.920,-301.592
5.000E-6,1.940,-301.695
5.000E-6,1.960,-301.798
5.000E-6,1.980,-301.901
5.000E-6,2.000,-302.004
5.000E-6,2.020,-302.107
5.000E-6,2.040,-302.210
5.000E-6,2.060,-302.313
5.000E-6,2.080,-302.415
5.000E-6,2.100,-302.518
5.000E-6,2.120,-302.621
5.000E-6,2.140,-302.724
5.000E-6,2.160,-302.827
5.000E-6,2.180,-302.930
5.000E-6,2.200,-303.033
5.000E-6,2.220,-303.136
5.000E-6,2.240,-303.239
5.000E-6,2.260,-303.342
5.000E-6,2.280,-303.444
5.000E-6,2.300,-303.547
5.000E-6,2.320,-303.650
5.000E-6,2.340,-303.753
5.000E-6,2.360,-303.856
5.000E-6,2.380,-303.959
5.000E-6,2.400,-304.062
5.000E-6,2.420,-304.165
5.000E-6,2.440,-304.268
5.000E-6,2.460,-304.371
5.000E-6,2.480,-304.474
5.000E-6,2.500,-304.576
5.000E-6,2.520,-304.679
5.000E-6,2.540,-304.782
5.000E-6,2.560,-304.885
5.000E-6,2.580,-304.988
5.000E-6,2.600,-305.091
5.000E-6,2.620,-305.194
5.000E-6,2.640,-305.297
5.000E-6,2.660,-305.400
5.000E-6,2.680,-305.503
5.000E-6,2.700,-305.605
5.000E-6,2.720,-305.708
5.000E-6,2.740,-305.811
5.000E-6,2.760,-305.914
5.000E-6,2.780,-306.017
5.000E-6,2.800,-306.120
5.000E-6,2.820,-306.223
5.000E-6,2.840,-306.326
5.000E-6,2.860,-306.429
5.000E-6,2.880,-306.532
5.000E-6,2.900,-306.635
5.000E-6,2.920,-306.737
5.000E-6,2.940,-306.840
5.000E-6,2.960,-306.943
5.000E-6,2.980,-307.046
5.000E-6,3.000,-307.149
5.000E-6,3.020,-307.252
5.000E-6,3.040,-307.355
5.000E-6,3.060,-307.458
5.000E-6,3.080,-307.561
5.000E-6,3.100,-307.664
5.000E-6,3.120,-307.766
5.000E-6,3.140,-307.869
5.000E-6,3.160,-307.972
5.000E-6,3.180,-308.075
5.000E-6,3.200,-308.178
5.000E-6,3.220,-308.281
5.000E-6,3.240,-308.384
5.000E-6,3.260,-308.487
5.000E-6,3.280,-308.590
5.000E-6,3.300,-308.693
5.000E-6,3.320,-308.795
5.000E-6,3.340,-308.898
5.000E-6,3.360,-309.001
5.000E-6,3.380,-309.104
5.000E-6,3.400,-309.207
5.000E-6,3.420,-309.310
5.000E-6,3.440,-309.413
5.000E-6,3.460,-309.516
5.000E-6,3.480,-309.619
5.000E-6,3.500,-309.722
5.000E-6,3.520,-309.825
5.000E-6,3.540,-309.927
5.000E-6,3.560,-310.030
5.000E-6,3.580,-310.133
5.000E-6,3.600,-310.236
5.000E-6,3.620,-310.339
5.000E-6,3.640,-310.442
5.000E-6,3.660,-310.545
5.000E-6,3.680,-310.648
5.000E-6,3.700,-310.751
5.000E-6,3.720,-310.854
5.000E-6,3.740,-310.956
5.000E-6,3.760,-311.059
5.000E-6,3.780,-311.162
5.000E-6,3.800,-311.265
5.000E-6,3.820,-311.368
5.000E-6,3.840,-311.471
5.000E-6,3.860,-311.574
5.000E-6,3.880,-311.677
5.000E-6,3.900,-311.780
5.000E-6,3.920,-311.883
5.000E-6,3.940,-311.986
5.000E-6,3.960,-312.088
5.000E-6,3.980,-312.191
5.000E-6,4.000,-312.294
5.000E-6,4.020,-312.397
5.000E-6,4.040,-312.500
5.000E-6,4.060,-312.603
5.000E-6,4.080,-312.706
5.000E-6,4.100,-312.809
5.000E-6,4.120,-312.912
5.000E-6,4.140,-313.015
5.000E-6,4.160,-313.117
5.000E-6,4.180,-313.220
5.000E-6,4.200,-313.323
5.000E-6,4.220,-313.426
5.000E-6,4.240,-313.529
5.000E-6,4.260,-313.632
5.000E-6,4.280,-313.735
5.000E-6,4.300,-313.838
5.000E-6,4.320,-313.941
5.000E-6,4.340,-314.044
5.000E-6,4.360,-314.146
5.000E-6,4.380,-314.249
5.000E-6,4.400,-314.352
5.000E-6,4.420,-314.455
5.000E-6,4.440,-314.558
5.000E-6,4.460,-314.661
5.000E-6,4.480,-314.764
5.000E-6,4.500,-314.867
5.000E-6,4.520,-314.970
5.000E-6,4.540,-315.073
5.000E-6,4.560,-315.176
5.000E-6,4.580,-315.278
5.000E-6,4.600,-315.381
5.000E-6,4.620,-315.484
5.000E-6,4.640,-315.587
5.000E-6,4.660,-315.690
5.000E-6,4.680,-315.793
5.000E-6,4.700,-315.896
5.000E-6,4.720,-315.999
5.000E-6,4.740,-316.102
5.000E-6,4.760,-316.205
5.000E-6,4.780,-316.307
5.000E-6,4.800,-316.410
5.000E-6,4.820,-316.513
5.000E-6,4.840,-316.616
5.000E-6,4.860,-316.719
5.000E-6,4.880,-316.822
5.000E-6,4.900,-316.925
5.000E-6,4.920,-317.028
5.000E-6,4.940,-317.131
5.000E-6,4.960,-317.234
5.000E-6,4.980,-317.337
5.000E-6,5.000,-317.439
5.000E-6,5.020,-317.542
5.000E-6,5.040,-317.645
5.000E-6,5.060,-317.748
5.000E-6,5.080,-317.851
5.000E-6,5.100,-317.954
5.000E-6,5.120,-318.057
5.000E-6,5.140,-318.160
5.000E-6,5.160,-318.263
5.000E-6,5.180,-318.366
5.000E-6,5.200,-318.468
5.000E-6,5.220,-318.571
5.000E-6,5.240,-318.674
